тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Критерии (Методы сканирования),"Категория определяет технические подходы к обнаружению уязвимостей в IT-инфраструктуре. Выбор метода сканирования напрямую влияет на полноту выявления, точность результатов и минимизацию деструктивного воздействия на целевые системы. Современные сканеры уязвимостей комбинируют несколько подходов для достижения максимального покрытия при сохранении приемлемого уровня ложных срабатываний.","Сканеры уязвимостей используют гибридную архитектуру сбора данных: агентное сканирование обеспечивает глубокий доступ к локальным параметрам ОС и приложений, агентless-сканирование позволяет быстро охватить сетевые сегменты без установки ПО, authenticated-сканы с учётными данными дают доступ к скрытым конфигурациям и установленным патчам. Каждый метод имеет свои ограничения и области применимости, определяемые типом целевых активов и требованиями к безопасности сканирования.","Разнообразие методов сканирования гарантирует, что ни один актив не останется непроверенным независимо от типа инфраструктуры — от корпоративных endpoint'ов до сетевого оборудования и облачных ресурсов. Использование authenticated-сканов снижает ложные срабатывания на 40–60%, что экономит время команд безопасности на валидацию результатов. Непрерывное сканирование (continuous) сокращает среднее время обнаружения новых уязвимостей с недель до часов после публикации CVE."
функция,3,Агентное сканирование (agent-based),"Агентное сканирование предполагает установку лёгкого программного агента на каждый контролируемый хост, который непрерывно или по расписанию собирает данные об уязвимостях локальной системы. Этот метод обеспечивает наиболее полный и точный сбор информации о конфигурации ОС, установленных приложениях, патчах и настройках безопасности.","Агенты работают с повышенными привилегиями локально, имея доступ к реестру ОС, системным файлам, списку процессов, сетевых соединений и конфигурациям приложений без передачи данных по сети. Поддерживаются платформы Windows, Linux, macOS. Данные агентов передаются на центральный сервер сканирования по защищённым каналам (TLS), что минимизирует нагрузку на сеть и исключает сетевые ограничения (файрволы, сегментация VLAN).","Агентное сканирование обеспечивает точность выявления уязвимостей на уровне 95%+ благодаря прямому доступу к системным данным, что снижает затраты на ручную валидацию результатов. Агенты непрерывно мониторят состояние системы, обеспечивая near real-time обнаружение новых уязвимостей без необходимости запуска сетевых сканов. Критично для активов в удалённых офисах, мобильных устройств и систем за NAT/файрволами, недоступных для сетевого сканирования."
функция,3,Агентless-сканирование сети (network scanning),"Агентless-сканирование выполняется удалённо с центрального сервера сканера, который обращается к целевым системам по сетевым протоколам без установки какого-либо ПО на конечные точки. Это наиболее быстрый способ получить первичную картину уязвимостей, особенно при сканировании больших сетевых сегментов.","Сканер отправляет сетевые запросы к целевым хостам по протоколам TCP/UDP, использует banner grabbing, fingerprinting ОС и служб, проверяет версии ПО по сигнатурам из базы уязвимостей. Метод работает через стандартные сетевые порты (22/SSH, 445/SMB, 161/SNMP, 3389/RDP) и не требует аутентификации. Основные ограничения: сканирование может быть заблокировано файрволами, не выявляет локальные уязвимости без открытых портов, результаты менее точны по сравнению с authenticated-сканами.","Агентless-сканирование позволяет за часы охватить сетевые сегменты объёмом в тысячи хостов, что критично при первичном аудите и M&A-сценариях. Не требует процесса развёртывания агентов, что сокращает time-to-value до дней вместо недель. Обеспечивает покрытие активов, на которые невозможно или нецелесообразно устанавливать агенты: сетевое оборудование, embedded-системы, IoT-устройства."
функция,3,Authenticated scans (с учётными данными),"Authenticated-сканирование выполняется с использованием валидных учётных данных (логин/пароль, SSH-ключи, API-токены), что позволяет сканеру войти в систему и провести глубокий анализ конфигураций, установленного ПО, прав доступа и применённых патчей. Этот метод даёт наиболее полные и точные результаты выявления уязвимостей.","При authenticated-сканировании сканер получает доступ к локальному реестру ОС, менеджерам пакетов (rpm, dpkg, MSI), конфигурационным файлам, журналам событий, политикам безопасности и базам данных установленных приложений. Поддерживаются протоколы SSH (Linux/Unix), SMB/WMI (Windows), SNMPv3, API облачных провайдеров. Сканер может проверять наличие конкретных файлов, версий библиотек, состояния служб, настроек групповых политик и прав доступа к файловой системе.","Authenticated-сканирование снижает количество ложных срабатываний на 40–60% по сравнению с unauthenticated-сканами, что прямо экономит ресурсы команд безопасности. Выявляет уязвимости, недоступные для сетевого сканирования: локальные повышения привилегий, ошибки конфигурации, отсутствующие патчи внутри ОС. Обеспечивает доказательную базу для compliance-аудитов: аудиторы требуют сканирования с учётными данными как более достоверный метод."
функция,2,Unauthenticated scans (без учётных данных),"Unauthenticated-сканирование проводится без предоставления учётных данных и имитирует внешнего злоумышленника, оценивая видимую поверхность атаки. Этот метод показывает, какие уязвимости доступны из сети без аутентификации, что важно для оценки рисков публично доступных сервисов.","Сканер опрашивает открытые порты TCP/UDP, собирает баннеры сетевых служб, определяет версии ПО по сетевым сигнатурам, проверяет наличие известных уязвимостей в обнаруженных версиях. Использует техники banner grabbing, TCP/IP fingerprinting, анализ ответов сетевых служб. Не требует хранения и управления учётными данными, что упрощает администрирование, но даёт менее полную картину уязвимостей.","Unauthenticated-сканирование моделирует реальный вектор атаки внешнего нарушителя, давая понимание видимой поверхности атаки. Используется для сканирования активов, для которых невозможно предоставить учётные данные: устройства партнёров, legacy-системы, IoT/OT-сегменты. Требует минимальных административных затрат на подготовку, поскольку не нужно управлять учётными записями для сканирования."
функция,2,Continuous scanning (непрерывное),"Непрерывное сканирование предполагает постоянный мониторинг инфраструктуры на наличие уязвимостей без привязки к фиксированным расписаниям. При появлении новых активов в сети, установке нового ПО или публикации новых CVE сканер автоматически инициирует проверку, обеспечивая near real-time обнаружение.","Continuous scanning реализуется через постоянно активные агенты на endpoint'ах, триггерные механизмы сетевого мониторинга (определение новых устройств в сегменте), интеграцию с feeds новых уязвимостей (NVD, vendor advisories). При публикации нового CVE сканер автоматически проверяет все активы на наличие уязвимого ПО и уведомляет команду безопасности. Интегрируется с CI/CD пайплайнами для проверки образов контейнеров при каждом деплое.","Непрерывное сканирование сокращает среднее время обнаружения критичных уязвимостей с недель/месяцев до часов после их публикации, что критично при массовых уязвимостях (например, Log4j, PrintNightmare). Устраняет слепые зоны, возникающие между запланированными сканами: новый актив, появившийся в сети, будет проверен в течение минут, а не недель. Автоматическая реакция на новые угрозы снижает окно экспозиции (exposure window) и ассоциированные риски для бизнеса."
категория,3,Критерии (Покрытие инфраструктуры),"Категория определяет спектр типов IT-активов, которые сканер уязвимостей способен обнаруживать и проверять на наличие уязвимостей. Полнота покрытия инфраструктуры — ключевой фактор эффективности Vulnerability Management: каждый неохваченный актив представляет собой потенциальную точку входа для атаки, невидимую для команды безопасности.","Современные enterprise-инфраструктуры представляют собой гетерогенную среду, включающую on-premise серверы и рабочие станции, сетевое оборудование, виртуальные машины, контейнеры, облачные ресурсы, IoT/OT-устройства и web-приложения. Сканер должен поддерживать различные методы сканирования для каждого типа активов: агенты для endpoint'ов, SNMP/SSH для сетевого оборудования, API для облачных ресурсов, специализированные плагины для web-приложений и контейнеров. Интеграция с CMDB через связь e33 обеспечивает получение актуального инвентаря для определения Scope сканирования.","Полнота покрытия напрямую определяет уровень защищённости организации: среднестатистическая компания имеет 8–15% неучтённых активов (shadow IT), которые представляют собой слепые зоны для безопасности. Расширение покрытия на облачные ресурсы, контейнеры и IoT/OT сокращает поверхность атаки и обеспечивает compliance-требования регуляторов, требующих полного учёта активов. Каждый тип инфраструктуры требует специализированного подхода, и сканер должен адаптироваться к гетерогенной среде."
функция,3,"Endpoint'ы (Windows, Linux, macOS)","Поддержка сканирования endpoint'ов — рабочих станций, ноутбуков и серверов на базе основных операционных систем. Endpoint'ы составляют основу IT-инфраструктуры любой организации и является основной мишенью для атак, поскольку на них выполняется бизнес-логика и хранятся корпоративные данные.","Сканер поддерживает глубокое сканирование Windows (через WMI, PowerShell, Registry), Linux (через SSH, shell-команды, менеджеры пакетов rpm/dpkg), macOS (через SSH, system_profiler, pkgutil). Проверяются версии ОС, установленные приложения, отсутствующие обновления, ошибки конфигурации безопасности, локальные учётные записи и права доступа. Агенты endpoint'ов работают в фоновом режиме с минимальным потреблением ресурсов CPU/RAM.","Endpoint'ы — основной вектор атак: 70%+ успешных инцидентов начинаются с компрометации рабочей станции. Поддержка всех трёх ОС гарантирует, что ни одно устройство не останется непроверенным независимо от используемой платформы. Сканирование endpoint'ов является базовым требованием compliance-стандартов (PCI DSS, ISO 27001), и его отсутствие создаёт критический риск при аудитах."
функция,3,"Сетевое оборудование (роутеры, свитчи, файрволы)","Сканирование сетевой инфраструктуры — маршрутизаторов, коммутаторов, файрволов, точек доступа и другого сетевого оборудования на предмет уязвимостей в прошивках, конфигурациях и открытых сервисах. Сетевое оборудование является критичным звеном инфраструктуры, и его компрометация может привести к массовому нарушению безопасности.","Сканер опрашивает сетевое оборудование по протоколам SNMP (v1/v2c/v3), SSH, Telnet, NETCONF, использует vendor-specific API (Cisco IOS, Juniper JunOS, Arista EOS, Palo Alto PAN-OS). Проверяются версии прошивок, конфигурации ACL, правила фильтрации, учётные записи управления, включённые сервисы, SSL/TLS-сертификаты и настройки шифрования. Результаты коррелируются с базами CVE для выявления известных уязвимостей в прошивках.","Компрометация сетевого оборудования — один из наиболее опасных сценариев, поскольку даёт злоумышленнику контроль над трафиком всей организации. Сканирование сетевой инфраструктуры позволяет выявлять устаревшие прошивки и небезопасные конфигурации до их эксплуатации. Критично для compliance: стандарты требуют регулярной проверки конфигураций сетевых устройств на соответствие security baseline."
функция,2,"Облачные ресурсы (AWS, Azure, GCP)","Сканирование облачной инфраструктуры, включая виртуальные машины, бессерверные функции, управляемые сервисы, хранилища и сетевые компоненты в публичных облаках AWS, Microsoft Azure и Google Cloud Platform. Облачные ресурсы создаются динамически, что требует специализированных методов обнаружения и сканирования.","Сканер интегрируется с облачными API (AWS EC2/ECS/Lambda APIs, Azure ARM API, GCP Compute API) для автоматического обнаружения ресурсов и получения метаданных конфигурации. Проверяются образы VM, конфигурации security groups, IAM-политики, настройки шифрования хранилищ, сетевые ACL, параметры бессерверных функций и конфигурации Kubernetes-кластеров. Поддерживается сканирование как изнутри облака (через развёрнутые агенты), так и извне (через публичные endpoint'ы).","Облачные расходы растут непропорционально бюджету, а облачные ресурсы часто создаются без согласования с IT (shadow cloud). Сканирование облачной инфраструктуры обеспечивает visibility уязвимостей в гибридных средах, что критично для 85%+ организаций, использующих облака. Выявление misconfigurations в облаке (открытые S3-бакеты, избыточные IAM-права) предотвращает инциденты, подобные крупнейшим data breaches последних лет."
