тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Asset Lifecycle Management,"Система управления полным жизненным циклом IT-активов: от формирования потребности и закупки через эксплуатацию, обслуживание и модернизацию до списания и утилизации. Обеспечивает сквозную видимость всех этапов жизни актива с привязкой к финансовым и операционным метрикам, создавая единую точку управления для всех физических и логических активов организации.","Реализуется через специализированный модуль или платформу ITAM с workflow-движком, управляющим переходами актива между статусами жизненного цикла (planning, procurement, deployed, maintenance, retirement, disposal). Интегрируется с CMDB для получения технических характеристик CI, с ERP для синхронизации финансовых данных, с системами закупок для создания заявок на приобретение. Поддерживает автоматические правила перехода статусов на основе возраста актива, порогов отказов и данных мониторинга.",Снижает совокупную стоимость владения (TCO) активами на 15–25% за счёт оптимизации timing закупок и предотвращения простоев от выхода оборудования из строя. Обеспечивает предсказуемость капитальных затрат через планирование замены по возрастным и техническим критериям. Создаёт аудитоспособный след всех переходов актива для регуляторных проверок и внутреннего контроля. В организации с 10 000+ активов автоматизация жизненного цикла сокращает ручной труд на управление активами на 40–60%.
категория,3,Закупка и ввод в эксплуатацию,"Категория охватывает начальные этапы жизненного цикла актива: формирование потребности, согласование закупки, физическое получение оборудования, его конфигурирование, тестирование и официальный ввод в эксплуатацию. Обеспечивает связь между бизнес-потребностью, закупочным процессом и операционным развёртыванием, гарантируя что каждый новый актив проходит утверждённый путь перед попаданием в производственную среду.","Включает workflow согласования заявки на закупку (purchase requisition) с маршрутизацией через ответственных лиц, интеграцию с закупочными системами и ERP для создания заказа на поставку (purchase order), процесс receiving и инспекции полученного оборудования, конфигурирование и установку ПО, первоначальное тестирование, регистрацию актива в CMDB с присвоением уникального идентификатора и финальный переход статуса в 'deployed'. Интегрируется с ITSM для создания связанных задач на provisioning.","Стандартизирует процесс приобретения активов, исключая импульсивные и неконтролируемые закупки (shadow IT). Обеспечивает прозрачность закупочного конвейера: от заявки до ввода в эксплуатацию, с полным аудитным следом согласований. Сокращает время provisioning нового оборудования с дней до часов за счёт автоматизации workflow. Позволяет финансовому директору видеть будущие обязательства по капитальным затратам ещё до оформления заказа."
функция,2,Заявка на закупку актива,"Функция формирования, согласования и утверждения заявки на приобретение нового IT-актива. Включает указание технических требований, обоснования необходимости, выбор поставщика, оценку стоимости и сроков поставки. Является точкой входа актива в систему управления жизненным циклом.","Реализуется через форму заявки с обязательными полями: тип актива, технические спецификации, количество, бюджетная статья, срок необходимости, обоснование. Workflow маршрутизирует заявку через функционального руководителя, IT-директора и отдел закупок. Интегрируется с каталогом IT-услуг (Service Catalog) для выбора стандартных конфигураций, с ERP для проверки наличия бюджета и создания purchase order. Поддерживает правила автоматического утверждения для заявок в пределах делегированных лимитов.","Централизует процесс закупки активов, исключая дублирование и некоординированные приобретения. Обеспечивает предварительное согласование бюджета, предотвращая незапланированные расходы. Создаёт первичный аудитный след для последующего финансового учёта. В организации без централизованного управления закупками до 20% приобретений оказываются избыточными или не соответствующими корпоративным стандартам."
функция,3,Ввод в эксплуатацию,"Функция физического развёртывания актива, его конфигурирования, тестирования и официального ввода в эксплуатацию с регистрацией в CMDB. Включает получение оборудования, инспекцию комплектности, установку и настройку, интеграцию в инфраструктуру, первоначальное тестирование и передачу в операционную эксплуатацию.","Процесс включает этапы: receiving (приёмка и сверка с заказом), физическую инсталляцию, конфигурирование ОС и ПО, сетевую интеграцию, функциональное тестирование, регистрацию в CMDB с присвоением уникального ID, технических атрибутов и связей, назначение владельца, запись начальной стоимости и даты ввода. Интегрируется с Discovery для автоматического обнаружения и верификации нового актива, с ITSM для создания связанных задач и оповещения заявителя о готовности.","Гарантирует, что только протестированное и соответствующее стандартам оборудование попадает в производственную среду. Создаёт точную отправную точку для финансового учёта: дата ввода, начальная стоимость, срок амортизации. Исключает ситуации 'теневого' оборудования, которое работает без учёта и поддержки. В enterprise-среде сокращает время от получения оборудования до ввода в эксплуатацию с 5–7 дней до 1–2 дней."
категория,3,Эксплуатация и обслуживание,"Категория охватывает период активной эксплуатации актива: управление статусом 'deployed', обслуживание по гарантийным и постгарантийным контрактам, управление инцидентами и проблемами, связанными с активом, отслеживание производительности и состояния. Это самый продолжительный этап жизненного цикла, на который приходится основная часть TCO.","Включает управление статусом актива в режиме эксплуатации, интеграцию с системами мониторинга для отслеживания состояния, управление гарантийными обязательствами и maintenance-контрактами (сроки, условия, поставщик), обработку инцидентов и проблем через ITSM, планирование профилактического обслуживания. Интегрируется с CMDB для отслеживания изменений конфигурации, с ITSM для корреляции инцидентов с активом, с Monitoring для получения метрик доступности и производительности.",Обеспечивает максимальное время безотказной работы активов за счёт своевременного обслуживания и быстрого реагирования на инциденты. Позволяет точно рассчитывать операционные затраты на каждый актив и принимать обоснованные решения о продлении контрактов на обслуживание. В организации с парком 5000+ активов эффективное управление обслуживанием снижает совокупные расходы на 10–15% за счёт предотвращения внеплановых отказов и оптимизации maintenance-контрактов.
функция,3,Управление статусами жизненного цикла,"Центральная функция управления жизненным циклом, обеспечивающая документированные переходы актива между статусами: planning ? procurement ? deployed ? maintenance ? retirement ? disposal. Каждый переход сопровождается workflow согласования, обновлением атрибутов и оповещением заинтересованных сторон.","Реализуется через настраиваемую модель состояний (state machine) с определёнными правилами переходов между статусами. Каждый переход инициирует workflow: проверку условий (возраст, пороги отказов, данные мониторинга), маршрутизацию на согласование ответственным лицам, автоматическое обновление записи в CMDB, генерацию связанных задач в ITSM, запись в аудитный журнал. Поддерживает пользовательские статусы и правила для различных типов активов (серверы, сетевое оборудование, рабочие станции, IoT-устройства). Интегрируется со всеми downstream-системами для поддержания консистентности статусов.","Создаёт единую точку истины о текущем состоянии каждого актива, что критично для управленческих решений и аудита. Исключает хаотичные переходы и 'потерянные' активы без чёткого статуса. Позволяет строить отчёты по распределению активов по этапам жизненного цикла для планирования бюджета и мощностей. Без управления статусами до 15% активов в крупных организациях находятся в неопределённом состоянии, что блокирует финансовый учёт и планирование замены."
функция,2,Управление гарантиями и контрактами на обслуживание,"Функция учёта и управления гарантийными обязательствами, maintenance-контрактами и соглашениями о поддержке активов. Включает регистрацию контрактов, отслеживание сроков действия, автоматические уведомления об истечении, принятие решений о продлении или переходе на альтернативную поддержку.","Включает реестр контрактов с атрибутами: поставщик, тип покрытия (гарантия, расширенная гарантия, maintenance), срок действия, стоимость, условия SLA (время реакции, время восстановления), перечень покрываемых активов. Поддерживает автоматические alerts за 30/60/90 дней до истечения контракта, workflow принятия решения о продлении, интеграцию с ITSM для автоматической маршрутизации инцидентов на покрываемых активах к соответствующему поставщику поддержки. Сопоставляет затраты на обслуживание со стоимостью актива для расчёта TCO.","Предотвращает ситуации, когда актив выходит из строя после истечения контракта без альтернативного плана поддержки. Оптимизает затраты на maintenance путём своевременного пересмотра условий и конкурентного выбора поставщиков. Обеспечивает оперативное принятие решений при инцидентах: если актив на гарантии — вызывать производителя; если гарантия истекла — оценивать стоимость ремонта против замены. Типовая экономия от оптимизации maintenance-контрактов составляет 8–12% годовых расходов на поддержку."
функция,2,Корреляция инцидентов и проблем с активом,"Функция связи операционных событий (инцидентов, проблем, изменений) с конкретным активом для накопления operational history и принятия обоснованных решений о дальнейшей эксплуатации, ремонте или замене. Каждое событие, связанное с активом, обогащает его профиль данными о надёжности.","Интегрируется с ITSM Core для получения данных об инцидентах и проблемах, привязанных к CI актива. Накапливает метрики: количество инцидентов за период, среднее время восстановления (MTTR), частота отказов (MTBF), связанные изменения, известные ошибки (Known Errors). При превышении пороговых значений частоты отказов автоматически инициирует процесс оценки целесообразности замены. Обогащает CMDB operational context для последующего анализа при планировании закупок.",Превращает операционные данные в управленческие insight'ы: актив с 5+ инцидентами за квартал становится кандидатом на замену независимо от возраста. Позволяет выявлять систематические проблемы с моделями оборудования или поставщиками. Сокращает время принятия решений при инцидентах за счёт мгновенного доступа к истории актива и его обслуживанию. Обеспечивает data-driven подход к управлению активами вместо интуитивных решений.
категория,2,Модернизация и оптимизация,"Категория охватывает процессы модернизации, апгрейда и оптимизации активов в период их эксплуатации. Включает планирование замены устаревшего оборудования, управление апгрейдами конфигурации, расчёт совокупной стоимости владения (TCO) и принятие решений 'ремонтировать vs заменить' на основе экономических критериев.","Включает функции планирования замены по возрасту актива, техническим критериям (пороги производительности, совместимость) и метрикам отказов, управление апгрейдами (добавление RAM, замена дисков, обновление ПО), расчёт TCO с учётом капитальных затрат, операционных расходов и рисков. Интегрируется с CMDB для получения технических характеристик, с Monitoring для анализа производительности, с ITAM для расчёта стоимости, с ERP для оценки остаточной балансовой стоимости. Поддерживает сценарное моделирование для сравнения вариантов продления эксплуатации, модернизации и замены.","Снижает TCO активов за счёт принятия оптимальных решений о модернизации или замене. Предотвращает ситуации, когда устаревшее оборудование продолжает эксплуатироваться с растущими рисками отказа и растущими затратами на поддержку. Обеспечивает прозрачность будущих капитальных затрат через прогноз плановых замен на 1–3 года вперёд. Позволяет рационально распределять ограниченный бюджет между заменой и модернизацией."
функция,2,Модернизация и апгрейд,"Функция управления изменениями конфигурации существующего актива: добавление компонентов (RAM, диски, сетевые карты), обновление программного обеспечения, замена устаревших подсистем. Модернизация позволяет продлить срок службы актива и отложить капитальные затраты на замену.","Включает процесс создания заявки на апгрейд, оценку технической возможности и экономической целесообразости, согласование через Change Management, выполнение физических работ по модернизации, обновление конфигурационных данных в CMDB, тестирование после апгрейда и возврат актива в эксплуатацию. Интегрируется с CMDB для верификации текущей конфигурации и совместимости, с Change Management для согласования работ, с Inventory для фиксации новой конфигурации.","Позволяет продлить срок службы актива на 1–2 года за счёт целевых апгрейдов, что откладывает капитальные затраты и снижает среднегодовой TCO на 5–10%. Обеспечивает документированный процесс модернизации с полным аудитным следом. Предотвращает хаотичные модернизации без оценки целесообразности. В enterprise-среде централизованное управление апгрейдами исключает ситуации, когда одни активы модернизируются избыточно, а другие — критично нуждающиеся — остаются без внимания."
