тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Аппаратная инвентаризация (Hardware Inventory),"Ведение детального справочника всего IT-оборудования предприятия: серверы, рабочие станции, сетевые устройства, периферия. Формирует исчерпывающий перечень аппаратных активов с полным набором технических атрибутов, обеспечивая основу для управления активами, планирования закупок и подготовки к аудитам.","Сбор аппаратных конфигураций через агентов инвентаризации, SNMP-запросы и API гипервизоров. Хранение серийных номеров, asset tags, моделей оборудования, спецификаций (CPU, RAM, диски, сетевые адаптеры), MAC-адресов, версий прошивок BIOS/UEFI. Поддержка иерархической структуры: шасси — модули — компоненты. Интеграция с Discovery для получения обнаруженных активов и с NAC для получения статуса допуска в сеть.","Обеспечивает точный учёт всего оборудования для финансовой отчётности, аудита и планирования замены. Сокращает потери активов, исключает «теневое» оборудование и даёт ответ на вопрос «что у нас есть физически» за минуты вместо недель ручного сбора. Является основой для расчёта TCO и амортизации в ITAM."
функция,3,Учёт серийных номеров и asset tags,"Фиксация уникальных идентификаторов каждого аппаратного актива: серийных номеров производителя, инвентарных номеров организации (asset tags), баркодов и RFID-меток. Обеспечивает однозначную идентификацию устройства независимо от его сетевого имени или IP-адреса.","Автоматический сбор серийных номеров через WMI (Windows), SMBIOS/DMI (Linux), API гипервизоров для виртуальных машин. Поддержка ручного ввода и импорта asset tags из ERP. Сопоставление серийного номера с инвентарным номером и сетевым идентификатором (hostname/IP) для построения единой идентичности актива.",Исключает дублирование записей об одном устройстве и позволяет однозначно связать физический актив с финансовой записью в ERP. При аудите обеспечивает доказательную базу: каждый серийный номер подтверждает физическое существование актива. Сокращает риски хищения и потери оборудования.
функция,3,Технические характеристики оборудования,"Сбор и хранение детальных спецификаций каждого аппаратного компонента: процессор, оперативная память, дисковая подсистема, сетевые интерфейсы, видеокарты, контроллеры. Обеспечивает полную техническую картину парка оборудования.","Автоматический опрос аппаратной конфигурации через агенты: CPU (модель, частота, количество ядер, сокетов), RAM (объём, тип, частота, слоты), диски (ёмкость, тип HDD/SSD/NVMe, интерфейс, RAID-конфигурация), сетевые адаптеры (скорость, MAC-адреса). Поддержка версионирования: фиксация изменений конфигурации (апгрейд RAM, замена диска).","Позволяет планировать модернизацию оборудования на основе фактических спецификаций, а не приблизительных оценок. Обеспечивает основу для сравнительного анализа производительности и выявления узких мест. При планировании закупок даёт точную картину текущих мощностей."
функция,2,Местоположение и перемещение оборудования,"Отслеживание физического местоположения каждого актива: здание, этаж, комната, стойка, рабочее место. Фиксация истории перемещений оборудования между подразделениями и площадками.","Хранение атрибутов местоположения: site (площадка), building, floor, room, rack, rack position, workplace. Интеграция со штрихкод-сканерами и RFID для фиксации перемещения. Автоматическое обновление местоположения на основе данных DHCP (подсеть ? площадка) и NAC (порт коммутатора ? физическое место).",Сокращает время поиска оборудования при инцидентах и плановом обслуживании. Обеспечивает точное распределение активов по подразделениям для charge-back. При перемещении сотрудника или ликвидации площадки даёт полную картину затронутого оборудования.
категория,3,Инвентаризация программного обеспечения (Software Inventory),"Ведение исчерпывающего перечня всего установленного программного обеспечения на конечных устройствах и серверах: операционные системы, прикладные программы, системное ПО, библиотеки и компоненты. Сбор точных версий, редакций и путей установки для каждого программного продукта.","Агентный сбор данных об установленном ПО: перечисление установленных программ через реестр Windows (HKLM\\Software), пакетные менеджеры Linux (dpkg, rpm, yum), API macOS (system_profiler). Сбор MSI product codes, путей установки, размеров, дат установки и последнего обновления. Интеграция с Software Recognition Engine для нормализации сырых данных в канонические наименования продуктов.","Является основой для лицензионного учёта (SAM): без точного перечня установленного ПО невозможно определить соответствие между закупленными правами и фактическим использованием. Позволяет выявлять неразрешённое ПО, устаревшие версии с известными уязвимостями и избыточные установки. Снижает риски аудита вендоров и штрафы за нелицензионное ПО."
функция,3,Версии и редакции ПО,"Фиксация точных версий, редакций, билдов и архитектур (x86/x64) каждого установленного программного продукта. Различение редакций одного продукта (Professional vs Enterprise, Standard vs Datacenter) для корректного лицензионного учёта.","Сбор версий из ресурсов исполняемых файлов (file version, product version), реестра Windows, метаданных пакетов. Сопоставление с базой знаний Software Recognition для определения точной редакции (например, Microsoft Office 2021 Professional Plus vs Home & Business). Поддержка мажорных и минорных версий, service pack, patch level, build number.","Точное определение редакций критично для лицензионного compliance: стоимость лицензии на Enterprise-редакцию может в десятки раз превышать Standard. Позволяет выявлять установки более дорогих редакций, чем требуется бизнесу, и оптимизировать расходы на ПО."
функция,2,Количественный учёт установок ПО,"Подсчёт общего количества установок каждого программного продукта по всему парку устройств. Агрегация данных для получения сводных показателей: сколько копий продукта X установлено, на каких устройствах, в каких подразделениях.","Агрегация инвентарных данных по нормализованным наименованиям ПО. Группировка установок по продукту, версии, редакции, подразделению, площадке. Поддержка правил исключения (exclude patterns) для исключения системных компонентов и демо-версий из лицензионного подсчёта.","Дает точную цифру для сопоставления с закупленными лицензиями: «установлено 980 копий, закуплено 1000 лицензий, избыток 20» или «установлено 1050, дефицит 50». Является основой для оптимизации лицензионных расходов и подготовки к аудитам вендоров."
функция,2,Выявление неразрешённого и теневого ПО,"Идентификация программного обеспечения, установленного без согласования IT-департамента: пиратские копии, пробные версии с истекшим сроком, ПО из неодобренного списка (blacklist), личные лицензии сотрудников на корпоративных устройствах.","Сравнение обнаруженного ПО с whitelist (одобренный список) и blacklist (запрещённый список). Выявление trial-версий по признакам (ограниченный срок лицензии, watermarks). Обнаружение ПО из списка high-risk категорий (P2P, crypto-mining, remote access tools). Генерация алертов при обнаружении запрещённого ПО с маршрутизацией в Service Desk.","Снижает юридические и репутационные риски, связанные с использованием нелицензионного ПО. Предотвращает инциденты информационной безопасности, вызванные неавторизованным ПО. Обеспечивает compliance с корпоративными политиками и требованиями регуляторов."
категория,3,Учёт лицензий (License Inventory),Ведение реестра всех приобретённых лицензий на программное обеспечение с привязкой к конкретным устройствам и пользователям. Сопоставление закупленных прав (entitlements) с фактическими установками для выявления дефицита или избытка лицензий.,"Хранение лицензионных данных: тип лицензии (OEM, Volume, Subscription, Perpetual, Concurrent), количество приобретённых прав, номер лицензионного соглашения (EA, MPSA, SPLA), срок действия, метрика лицензирования (per device, per user, per core). Интеграция с SAM для расчёта effective license position (ELP). Автоматическое сопоставление установок с лицензиями.","Обеспечивает готовность к лицензионным аудитам вендоров за часы вместо недель. Позволяет выявить неиспользуемые лицензии для переиспользования или отказа от renewal. Снижает риск финансовых санкций за недолицензирование, которые могут достигать миллионов долларов в крупных организациях."
функция,3,Effective License Position (ELP),"Расчёт эффективной лицензионной позиции по каждому вендору и продукту: соотношение между закупленными правами (entitlements) и фактическими установками или использованием. Выявление дефицита (under-licensed), избытка (over-licensed) и зоны риска.","Автоматическое сопоставление данных об установленном ПО из инвентаря с закупленными лицензиями из License Management с учётом метрики лицензирования. Поддержка сложных моделей: процессорные лицензии (Oracle, IBM), конкурентные (concurrent), named user, device-based. Расчёт ELP по каждому продукту и вендору с учётом downgrade rights и вторичного использования.",Центральный показатель для SAM: позволяет принимать решения о закупке новых лицензий или списании избыточных. При аудите вендора даёт точный ответ на вопрос «сколько прав у нас есть и сколько используется» без многонедельного ручного сбора данных.
