SECTION,SOURCE_FILE,PRIMARY_KEY,STR_1,STR_2,STR_3,STR_4,STR_5,STR_6,STR_7
__README__,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,"Колонки STR для REFERENCE_ZONE и REFERENCE_CLASS: STR_1=what, STR_2=techGoal, STR_3=businessGoal, STR_4=howWorks. Для FUNCTION_ROW: STR_1=type, STR_2=priority, STR_3=title, STR_4=general, STR_5=technical, STR_6=business. Правь текст в STR_*; PRIMARY_KEY и SECTION для справочника не меняй без согласования. Функции — PRIMARY_KEY = имя листа (как в имени CSV после номера). Исходники: корневой справочник + Enterprise_IT_Landscape_47_классов__*.csv. Полный корпус исследования: kb/research-corpus.txt (в этот CSV не включён). Перегенерация: node scripts/export-kb-master-for-excel.mjs",,,,,,,
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-bi,"Бизнес-аналитика и отчётность. Зона инсайтов: агрегация данных из всех зон в хранилище, построение отчётов и дашбордов для принятия решений CIO, CFO, CEO.",Консолидация данных из всех зон для анализа и отчётности.,"Data-driven decisions: планирование ИТ-бюджета, анализ эффективности команд, прогнозирование.",ETL/ELT из всех зон ? DWH ? OLAP/витрины ? дашборды и ad-hoc отчёты для руководства.,,,
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-cld,"Облачное управление. Зона мультиоблачности: оркестрация ресурсов, governance, cost control, policy enforcement в публичных и private cloud.",Централизованное управление ресурсами и политиками в мультиоблачной среде.,"Сокращение shadow IT, оптимизация облачных расходов, стандартизация облачных сервисов.","Единый портал/политики для заказа, развёртывания и контроля ресурсов в AWS/Azure/GCP/vSphere.",,,
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-cmdb,"CMDB / Golden Record — отдельный архитектурный якорь: единый граф активов и связей (SoT), куда стекаются нормализованные CI и откуда читают ITSM, Security, FinOps и BI. Визуально отделён от конвейера нормализации, чтобы не смешивать «очистку данных» с «учётом правды».",Обеспечить одну согласованную модель CI и связей для эксплуатации рисков финансов и отчётности.,Снижение расхождений между командами ускорение RCA и изменений обоснованность KPI и лицензионного учёта.,Принимает загрузки из нормализационного контура и интеграций отдаёт API события и витрины в downstream-системы; версионирует изменения атрибутов и связей.,,,
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-disc,"Дискаверинг и инвентаризация. Зона сбора и первичной агрегации данных об активах: сканирование сети, опрос агентов, облачные обвёртки. Превращает «тёмную материю» инфраструктуры в структурированный реестр.",Автоматически обнаруживать и собирать данные обо всех ИТ-активах в единый реестр.,"Прозрачность инфраструктуры, снижение потерь оборудования, обоснование инвестиций.","Агенты, SNMP-сканеры, API-коннекторы к облакам и сетевому оборудованию собирают данные и передают в CMDB/Inventory.",,,
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-fin,"Финансы и управление жизненным циклом. Зона денег: сколько стоит ИТ, оптимизация лицензий, синхронизация с бухгалтерией. Переводит технические активы в финансовые показатели.","Связать технические активы с финансовыми метриками: стоимость, амортизация, лицензии.","Оптимизация ИТ-затрат, compliance с лицензионной политикой, обоснование инвестиций.","Собирает данные из CMDB, нормализует лицензии, считает TCO и ROI, синхронизирует с ERP для бухгалтерии.",,,
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-itsm,"Управление ИТ-услугами. Зона процессов: как реагировать на инциденты, как вносить изменения, где хранить знания. Связывает инфраструктуру с бизнес-услугами через процессы и каталог.",Автоматизация ИТ-процессов по ITIL на единой платформе.,"Снижение времени простоя, прозрачность ИТ-затрат, измеримость SLA.","Тикетная система + CMDB + workflow engine; маршрутизирует обращения, считает метрики, управляет SLA.",,,
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-norm,"Нормализация и обогащение. Зона очистки данных: устраняет дубли, приводит к единому формату, распознаёт ПО и владельцев. Без нормализации CMDB превращается в «свалку» необработанных записей.",Привести сырые данные из множества источников к единому каноническому виду.,"Возможность сопоставлять активы из разных систем, точный учёт, исключение «фантомных» записей.","ETL-процессы: извлечение из z-src/z-disc ? трансформация (правила, ML) ? загрузка в CMDB с дедупликацией и обогащением.",,,
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-ops,"Операции и эксплуатация. Зона непрерывности: мониторинг производительности, доставка ПО, патчи, управление конфигурацией. Гарантирует, что инфраструктура работает стабильно и актуальна.","Обеспечить стабильность, доступность и актуальность инфраструктуры и приложений.","Минимизация downtime, предсказуемость поставки изменений, снижение операционных рисков.",Мониторинг ? алерты ? автоматизированное или ручное реагирование; CI/CD для доставки; CM для поддержания состояния.,,,
REFERENCE_ZONE,IT_Architecture_Zones_Classes_Reference__1_Справочник.csv,z-sec,"Информационная безопасность. Зона защиты: обнаружение угроз, управление доступом, предотвращение утечек, compliance. Обеспечивает CIA (confidentiality, integrity, availability) инфраструктуры.","Защита инфраструктуры и данных от угроз, инсайдеров и несанкционированного доступа.","Снижение репутационных и финансовых рисков, compliance с регуляторикой.","Сбор событий, корреляция, применение политик, блокировка, аудит, реагирование на инциденты ИБ.",,,
