тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Критерии (Каналы поступления),"Мультиканальная система приёма обращений пользователей в Service Desk, обеспечивающая единую точку контакта (Single Point of Contact) между пользователями и IT-организацией. Современные платформы поддерживают от 4 до 8 каналов коммуникации, что позволяет пользователям выбирать наиболее удобный способ обращения. Качество покрытия каналов напрямую влияет на удовлетворённость пользователей и скорость первого отклика.","Каналы поступления интегрируются с единой ticketing-системой через API, email parsing, webhook-интеграции. Каждый канал требует отдельной конфигурации маршрутизации и SLA: email — IMAP/SMTP интеграция, портал — веб-интерфейс с SSO, чат — WebSocket/WebRTC, телефон — CTI-интеграция с АТС, Slack/Teams — бот-фреймворки. Данные из всех каналов конвертируются в единый формат тикета с сохранением контекста источника.","Мультиканальность снижает барьеры для обращения пользователей, повышает скорость регистрации инцидентов и позволяет отслеживать эффективность каждого канала. Организации с полным охватом каналов показывают CSAT на 15-25% выше, чем при использовании только email и телефона. Каналы self-service (портал, чат-боты) снижают нагрузку на первую линию поддержки на 20-40%."
функция,3,Email,Приём и обработка обращений пользователей через электронную почту — традиционный и наиболее распространённый канал подачи заявок в Service Desk.,"Интеграция через IMAP/SMTP или Microsoft Graph API для автоматического создания тикетов из входящих писем. Поддерживается парсинг темы, тела письма и вложений, автоматическое определение категории по ключевым словам, обратная связь с пользователем через email-уведомления.","Email остаётся каналом №1 для корпоративных пользователей. Без автоматической конвертации писем в тикеты агенты тратят до 30% времени на ручную регистрацию обращений, что увеличивает time-to-response и снижает прозрачность."
функция,3,Self-service portal,"Веб-портал самообслуживания, позволяющий пользователям самостоятельно создавать заявки, отслеживать их статус, искать решения в базе знаний и заказывать IT-услуги без участия агентов.","Реализуется как веб-приложение с адаптивным дизайном, интегрированное с ticketing-системой через REST API. Поддерживает SSO-аутентификацию (SAML/OAuth), каталог услуг (Service Catalog), поиск по Knowledge Base и персонализированный dashboard пользователя.","Портал самообслуживания — ключевой канал снижения нагрузки на поддержку. Организации с развитым self-service фиксируют 40-60% deflection rate (обращений, решённых без агента), что прямо сокращает стоимость операций IT-поддержки."
функция,2,Телефон,"Телефонный канал поддержки — канал для срочных и критичных обращений, требующих немедленного голосового контакта с агентом.","Интеграция через CTI (Computer Telephony Integration) или VoIP-шлюзы с ACD (Automatic Call Distribution). Поддерживается IVR-меню, автоматическая маршрутизация на основе Caller ID, запись разговоров и связывание звонков с тикетами.","Телефон остаётся критичным каналом для P1-инцидентов и пользователей с ограниченными техническими навыками. FCR (First Call Resolution) по телефону в среднем на 10-15% выше, чем по другим каналам, благодаря возможности оперативной диагностики в реальном времени."
функция,2,"Чат (live chat, chatbot)","Канал мгновенного текстового общения, включающий live-чат с агентами и AI-чат-ботов для первичной обработки обращений.","Реализуется через WebSocket-соединения с виджетом на портале или мессенджерах. Чат-боты используют NLP/NLU-движки для понимания запросов, интеграцию с Knowledge Base и эскалацию на human agent при необходимости.","Чат сокращает среднее время ответа до 2-5 минут против 30-60 минут по email. Чат-боты первой линии разрешают 15-30% типовых запросов (сброс пароля, запрос доступа) без участия агента, снижая операционные затраты."
функция,2,Slack / Microsoft Teams,"Интеграция Service Desk с корпоративными мессенджерами, позволяющая пользователям создавать и отслеживать тикеты без выхода из привычной среды коммуникации.","Реализуется через bot-фреймворки (Bot Framework для Teams, Bolt для Slack) с REST API интеграцией к ticketing-платформе. Поддерживаются slash-команды, интерактивные карточки (adaptive cards), уведомления в каналы и личные сообщения.","Интеграция с Teams/Slack повышает adoption self-service среди технических команд на 25-35%, так как пользователи не переключаются между инструментами. Сокращается время создания тикета до 30 секунд."
функция,2,API для интеграции,"Программный интерфейс для автоматического создания тикетов из внешних систем (мониторинг, CI/CD, security tools) без участия пользователя.","REST API с OAuth 2.0/SAML аутентификацией, поддерживающий CRUD-операции с тикетами, вебхуки для асинхронных уведомлений и rate limiting. Используется для автоматического создания инцидентов из alerts мониторинга и security-событий.","API-интеграция устраняет ручной труд при регистрации системных событий, сокращая time-to-ticket с минут до секунд. 60-80% P1-инцидентов в зрелых организациях создаются автоматически через API из monitoring-систем."
функция,1,Мобильное приложение,"Нативное мобильное приложение для iOS/Android, позволяющее пользователям и агентам взаимодействовать с Service Desk с мобильных устройств.","Нативные или PWA-приложения с push-уведомлениями, офлайн-доступом к Knowledge Base, возможностью создания тикетов с фото/сканами и голосовым вводом. Интеграция через REST API с центральной платформой.","Мобильное приложение критично для организаций с полевыми сотрудниками и удалёнными командами. Повышает доступность поддержки на 20-30% вне рабочего места, ускоряя resolution срочных запросов."
категория,3,Критерии (Управление тикетами),"Функциональность по управлению жизненным циклом тикетов: от создания до закрытия. Включает присвоение исполнителей, приоритизацию по влиянию и срочности, категоризацию, установление связей между обращениями и SLA-ориентированную маршрутизацию. Это ядро операционной работы Service Desk, определяющее эффективность обработки обращений.","Управление тикетами реализуется через структурированную базу данных с поддержкой полиморфных связей (parent/child/related), движок бизнес-правил (business rules engine) для автоматической маршрутизации на основе категории, приоритета и загрузки исполнителей. Интеграция с CMDB обеспечивает привязку тикетов к CI для определения бизнес-влияния.","Эффективное управление тикетами сокращает среднее время разрешения (MTTR) на 30-40% за счёт автоматической маршрутизации и чёткой приоритизации. Без структурированного управления тикетами организации сталкиваются с потерей обращений, дублированием работы и невозможностью отслеживать SLA."
функция,3,"Создание, назначение, приоритизация","Базовые операции создания тикета, назначения ответственного исполнителя или группы и установления приоритета на основе влияния на бизнес и срочности.","Автоматическое или ручное создание тикетов с обязательными полями (запроситель, категория, описание, приоритет). Маршрутизация на основе round-robin, загрузки агентов или категории. Приоритизация по матрице Impact ? Urgency с интеграцией к CMDB для определения критичности затронутого CI.","Правильная приоритизация гарантирует, что критичные инциденты получают ресурсы первыми. Организации с автоматической маршрутизацией показывают соответствие SLA на 20-30% выше по сравнению с ручным назначением."
