тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Управление жизненным циклом патчей,"Центральная дисциплина Patch Management, охватывающая полный цикл обработки обновлений: от обнаружения доступных патчей через тестирование и утверждение до контролируемого развёртывания и верификации результата. Категория обеспечивает замкнутый цикл: сканирование выявляет уязвимость, Patch Management устанавливает обновление, повторное сканирование подтверждает устранение. Без управления жизненным циклом патчи остаются необнаруженными, нетестированными или неустановленными — известные уязвимости остаются открытыми месяцами.","Реализуется через агенты или агентлесс-сканеры, подключённые к репозиториям обновлений (WSUS/SCCM для Windows, YUM/APT для Linux, vendor-specific для приложений). Система собирает метаданные о доступных патчах (CVE, CVSS, KB-номер, дата публикации), сопоставляет их с инвентарём установленного ПО и ОС, формирует очередь установки с приоритизацией по критичности. Интеграция с CMDB обеспечивает фильтрацию по окружениям (production/staging/lab) и классам критичности активов. После установки выполняется post-patch verification — перезагрузка, проверка версий, smoke-тесты, обновление статуса в Vulnerability Management через поток e52.","Сокращение среднего времени закрытия критичных уязвимостей (patch lag) с недель до 72 часов, что напрямую снижает риск успешной атаки. Каждый неустановленный патч — это потенциальная точка входа для злоумышленника; управление жизненным циклом превращает хаотичный процесс обновлений в предсказуемый, контролируемый и измеримый. ROI выражается в предотвращении инцидентов безопасности, стоимость которых для enterprise может достигать миллионов долларов, а также в снижении штрафов за несоответствие требованиям регуляторов."
категория,3,Тестирование и валидация патчей,"Категория, обеспечивающая проверку работоспособности и совместимости патчей перед установкой в production-среду. Включает lab-тестирование, пилотное развёртывание на подмножестве систем, smoke-тестирование и rollback-планирование. Без тестирования установка патчей превращается в рулетку: обновление может нарушить работу критичного приложения, вызвать конфликт с legacy-компонентами или привести к непредсказуемому поведению ОС.","Строится на многоуровневой модели валидации: pre-production lab с клонами production-конфигураций ? пилотная группа (5-10% парка) ? полное развёртывание. Используются snapshot-технологии виртуализации для быстрого отката, автоматизированные тестовые сценарии (компоненты ОС, критичные приложения, сетевые сервисы), анализ зависимостей через CMDB для выявления рисков каскадных отказов. Интеграция с Change Management обеспечивает согласование maintenance window. Результаты тестирования документируются и служат основанием для approve/reject решения.","Предотвращение простоев production-систем из-за некорректных патчей — стоимость часа простоя критичного сервиса может исчисляться сотнями тысяч долларов. Структурированное тестирование снижает риск «патч-по-субботам», когда обновления устанавливаются в выходные без проверки, а в понедельник команда занимается аварийным откатом. Создаёт доверие к процессу обновлений: бизнес знает, что каждый патч проверен, и риск деградации минимален."
категория,3,Maintenance Windows и планирование,"Категория, обеспечивающая контролируемое планирование установки патчей во временные окна, минимизирующие влияние на бизнес-операции. Maintenance windows определяют, когда разрешено прерывать работу систем для обновлений, с учётом бизнес-графика, пиковых нагрузок, зависимостей между системами и согласований через CAB. Без планирования установка патчей происходит хаотично — в рабочее время, во время пиковых нагрузок или критичных бизнес-процессов.","Строится на интеграции с Change Management: каждая установка патчей оформляется как change request с привязкой к Change Calendar. Система учитывает зависимости между сервисами через CMDB (service maps), временные зоны для глобальных инфраструктур, требования к последовательности (сначала БД, потом приложения), windows для разных классов критичности (critical — emergency window вне расписания, high — стандартное окно, medium/low — регулярное окно). Поддерживает staged rollout: по дата-центрам, по регионам, по когортам серверов с порогами успешности перехода между этапами.","Минимизация влияния обновлений на бизнес-операции: каждый патч устанавливается в заранее согласованное окно, когда прерывание сервиса не критично. Сокращение количества экстренных изменений (emergency changes), которые нарушают плановый график работы команд и повышают риск ошибок. CAB получает полную картину планируемых работ с оценкой влияния, что позволяет принимать обоснованные решения и избегать конфликтов между изменениями."
категория,2,Compliance и отчётность,"Категория, обеспечивающая документирование процесса обновлений и формирование отчётности для внутреннего контроля, регуляторов и аудиторов. Включает фиксацию фактов установки/неустановки патчей, обоснование отсрочек (exceptions), историю изменений и метрики покрытия. Без compliance-отчётности процесс Patch Management становится непрозрачным: невозможно доказать, что патч был установлен, или обосновать, почему установка была отложена.","Реализуется через централизованный репозиторий статусов патчей с привязкой к каждому активу из CMDB: дата последнего обновления, список неустановленных патчей с причинами (exception workflow), история установок с журналами операций. Автоматическая генерация compliance-отчётов: процент покрытия critical/high/medium патчами, средний patch lag по классам критичности, тренды своевременности установки. Интеграция с GRC для включения patch compliance в реестр рисков и передачи evidence аудиторам. Поддержка сопоставления с фреймворками: CIS Controls, NIST, PCI DSS, SOX.","Обеспечение аудитоспособности: регуляторы и внутренние аудиторы требуют доказательств своевременной установки обновлений безопасности. Автоматическая отчётность сокращает время подготовки к аудиту с недель до часов. Каждый exception (отсрочка установки) документирован с бизнес-обоснованием и сроком пересмотра, что защищает организацию от обвинений в халатности. Метрики patch compliance служат KPI для команд эксплуатации и входят в управленческие дашборды."
категория,2,Автоматизация и оркестрация,"Категория, охватывающая автоматизированные механизмы доставки, установки и верификации патчей без ручного вмешательства. Включает push/push-установку, scheduled deployment, auto-remediation критичных уязвимостей, self-service patching для разработчиков. Без автоматизации установка патчей на тысячах серверов требует армии администраторов и растягивается на недели — в то время как эксплойты для критичных уязвимостей появляются через часы после публикации патча.","Основана на агентах управления (SCCM, BigFix, Ansible, Puppet, Chef, SaltStack) или бессерверных механизмах (AWS Systems Manager Patch Manager, Azure Update Manager). Поддерживает канареечное развёртывание (canary deployment) с автоматическим откатом при обнаружении отказов, A/B-патчинг для кластерных систем, rolling updates. Интеграция с CI/CD для обновления образов контейнеров и golden images. Event-driven паттерн: триггер от Vulnerability Management (новая critical CVE) ? автоматическое создание change request ? approval workflow ? деплой ? верификация ? обновление статуса.","Сокращение labor costs на обновления: автоматизация исключает ручные операции на сотнях и тысячах систем, высвобождая инженеров для стратегических задач. Ускорение реакции на угрозы: critical патчи развёртываются в часы, а не недели — что критично при появлении zero-day уязвимостей и массовых эксплойт-кампаний (например, WannaCry, Log4j). Масштабируемость: один инженер управляет patching тысяч серверов через политики и дашборды вместо ручного подключения к каждому."
категория,1,Интеграция с экосистемой управления,"Категория, обеспечивающая связь Patch Management со смежными системами IT-ландшафта: CMDB (инвентарь и критичность активов), Vulnerability Management (приоритизация уязвимостей), Change Management (согласование окон), ITSM (инциденты из-за патчей), Monitoring (контроль состояния после обновления). Без интеграции Patch Management работает изолированно: не учитывает бизнес-критичность систем, не получает данных об уязвимостях, не согласовывает окна — что приводит к конфликтам и сбоям.","Интеграция с CMDB через API: импорт списка систем с атрибутами (ОС, версия, окружение, критичность, владелец) для формирования patching scope. Связь e52 с Vulnerability Management: передача patch status (дата установки, версия, покрытие) для замыкания цикла управления уязвимостями. Интеграция с Change Management через REST API: автоматическое создание RFC, проверка Change Calendar на конфликты. Связь с ITSM: создание задач на ручное тестирование, регистрация инцидентов при сбоях после патча. Интеграция с Monitoring: post-patch health check по метрикам CPU, памяти, диска, доступности сервисов.","Повышение эффективности всего IT-ландшафта через сквозную интеграцию: каждый патч приоритизируется по критичности актива из CMDB, согласовывается через Change Management, контролируется Monitoring после установки. Это создаёт единый, прозрачный процесс, понятный всем стейкхолдерам — от команды безопасности до бизнес-владельцев сервисов. Снижение количества конфликтов между командами: каждый видит общую картину и согласовывает свои действия."
функция,3,Обнаружение и инвентаризация доступных патчей,"Функция непрерывного мониторинга репозиториев обновлений (Microsoft Update, Red Hat Network, vendor-specific feeds) для выявления новых патчей, релевантных инфраструктуре организации. Система сопоставляет опубликованные обновления с инвентарём установленных ОС и приложений, формируя перечень требуемых патчей с метаданными (CVE-ID, CVSS-оценка, KB-номер, тип обновления — security/critical/optional).","Интеграция с источниками обновлений через API и RSS-фиды: Microsoft Security Response Center, vendor security advisories, NVD (National Vulnerability Database). Агенты на конечных точках собирают список установленного ПО и версий ОС, сопоставляют с базой данных патчей для определения применимости. Формирование очереди патчей с атрибутами: критичность (critical/high/medium/low), затронутые системы, требования к перезагрузке, зависимости между патчами (supersedence chain).","Гарантия, что ни один релевантный патч безопасности не останется незамеченным. Автоматическое обнаружение исключает зависимость от ручного мониторинга vendor-сайтов, который приводит к пропускам и задержкам. Полный перечень доступных патчей с оценкой риска позволяет командам эксплуатации принимать обоснованные решения о приоритетах и ресурсах."
функция,3,Приоритизация патчей по критичности,"Функция ранжирования доступных патчей по степени риска для бизнеса, комбинируя техническую критичность (CVSS), контекст актива (критичность из CMDB), наличие известных эксплойтов (EPSS, CISA KEV) и экспозицию (доступность системы из интернета). Результат — упорядоченная очередь установки, где наиболее опасные уязвимости на наиболее критичных активах получают максимальный приоритет.","Алгоритм приоритизации комбинирует несколько факторов: базовую CVSS-оценку, наличие эксплойта в KEV (Known Exploited Vulnerabilities) от CISA, доступность PoC в открытых источниках, класс критичности актива из CMDB (critical/high/medium/low), exposure (DMZ, internal, isolated). Взвешенная формула рассчитывает risk score, который определяет SLA установки: critical — 72 часа, high — 7 дней, medium — 30 дней. Интеграция с Threat Intelligence для учёта активных кампаний эксплуатации конкретных CVE.","Фокус ограниченных ресурсов эксплуатации на максимально значимых рисках. Вместо попытки установить все патчи сразу (что невозможно в enterprise) команда работает с приоритизированной очередью, где каждый элемент обоснован количественной оценкой риска. Это повышает эффективность команды и снижает вероятность того, что критичная уязвимость останется открытой из-за завала некритичными задачами."
функция,3,Контролируемая установка патчей,"Функция выполнения установки обновлений на целевые системы в соответствии с утверждённым планом: выборочная или массовая установка, контроль прогресса, обработка ошибок, управление перезагрузками. Обеспечивает, что патч фактически установлен и система вернулась в рабочее состояние, а не только «запланирован» или «отправлен».","Агенты управления выполняют скачивание, установку и верификацию патчей по расписанию или по триггеру. Поддержка различных режимов: unattended (полностью автоматическая), attended (администратор подтверждает), maintenance window-only (только в разрешённое окно). Управление перезагрузками: отложенная перезагрузка, группировка нескольких патчей в одну перезагрузку, координация кластерных перезагрузок для обеспечения высокой доступности. Обработка ошибок: rollback при неудаче, retry с экспоненциальной задержкой, журналирование каждого шага.","Гарантия фактического закрытия уязвимостей: каждый approved патч доводится до установки на целевой системе с подтверждением результата. Контроль перезагрузок минимизирует простои сервисов. Обработка ошибок предотвращает ситуации, когда частично установленный патч оставляет систему в нестабильном состоянии — что может быть хуже, чем отсутствие патча."
функция,3,Post-patch верификация и замыкание цикла,"Функция подтверждения успешности установки патча и обновления статуса во всех связанных системах. Включает проверку версии ПО/ОС после установки, smoke-тесты критичных сервисов, сравнение с ожидаемым состоянием и передачу результатов в Vulnerability Management. Замыкает цикл: сканирование ? установка ? подтверждение устранения.","После установки выполняется комплекс проверок: сравнение версии ОС/ПО с ожидаемой, проверка целостности установленных файлов, запуск smoke-тестов (доступность ключевых сервисов, корректность аутентификации, базовые функциональные проверки), сбор метрик производительности (CPU, память, диск) для выявления аномалий. Результат передаётся в Vulnerability Management через поток e52 (patch status): статус «установлен», дата установки, версия после обновления. Несоответствия инициируют инцидент в ITSM для ручного расследования.","Уверенность, что установленный патч действительно устранил уязвимость — а не создал видимость работы. Полное замыкание цикла позволяет Vulnerability Management подтвердить снижение риска и обновить метрики для управленческой отчётности. Своевременное выявление проблем после установки (до жалоб пользователей) сокращает MTTR инцидентов, связанных с обновлениями."
