тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Критерии (Управление инцидентами),"Управление инцидентами — ключевой процесс ITSM, направленный на минимизацию негативного влияния сбоев и нарушений в работе ИТ-сервисов на бизнес-операции. Включает регистрацию, классификацию, диагностику, разрешение и закрытие инцидентов в рамках согласованных SLA. Эффективность этого процесса напрямую определяет доступность сервисов и удовлетворённость пользователей.","Процесс реализуется через интегрированную платформу ITSM с каналами приёма обращений (email, портал, чат, API, телефония), автоматической маршрутизацией, привязкой к CMDB для impact analysis, статусной моделью жизненного цикла и механизмами эскалации. Интеграция с мониторинговыми системами обеспечивает автоматическое создание инцидентов по критическим алертам. Связь с CMDB сокращает MTTR на 25–40% за счёт мгновенного доступа к контексту актива и его зависимостям.","Сокращение времени восстановления сервисов напрямую транслируется в минимизацию простоя бизнеса. Каждый час простоя критичного сервиса может стоить организации от тысяч до миллионов долларов. Структурированный процесс управления инцидентами снижает MTTR, повышает процент разрешения в рамках SLA и улучшает CSAT. Автоматизация маршрутизации и связь с CMDB позволяют сократить операционные затраты на Service Desk на 20–30%."
функция,3,"Интуитивный intake тикетов (email, портал, чат, API)","Многоканальный приём обращений пользователей, обеспечивающий регистрацию тикетов через удобные и привычные интерфейсы: self-service портал, email, чаты, мобильные приложения и программные API.","Интеграция с email-шлюзом для автоматического создания тикетов из писем, веб-портал с адаптивным дизайном, REST API для приёма событий из внешних систем, чат-интеграции (Slack, Teams, Telegram). Поддержка шаблонов и форм с динамическими полями для структурированного сбора информации.","Повышение доступности Service Desk для пользователей снижает барьер регистрации инцидентов, ускоряет время реакции и повышает охват процесса. Многоканальность позволяет сократить среднее время регистрации инцидента с 15–20 минут (телефон) до 2–3 минут (портал/чат)."
функция,2,Автоматическая классификация и категоризация,"Автоматическое определение категории, подкатегории и типа тикета на основе содержания обращения, источника и исторических данных для направления на соответствующую группу разрешения.","Использование правил на основе ключевых слов, регулярных выражений, ML-моделей классификации обращений по категориям (аппаратные/программные/сетевые). Интеграция с NLP-движками для анализа текста обращения и извлечения сущностей.","Снижение нагрузки на первую линию поддержки, ускорение маршрутизации тикетов и повышение точности направления. Автоматическая классификация позволяет сократить время определения ответственной группы на 30–50%."
функция,2,AI-триаж и маршрутизация тикетов,"Использование алгоритмов искусственного интеллекта для анализа содержания тикета, определения его срочности и направления наиболее подходящей команде или специалисту с учётом их загрузки и компетенций.","ML-модели на основе исторических данных о разрешении тикетов, алгоритмы рекомендательных систем для подбора исполнителя, интеграция с данными CMDB об активах и их владельцах. Обучение на данных о предыдущих назначениях и времени разрешения.","Оптимизация загрузки команд поддержки, сокращение цикла переназначений между группами и повышение эффективности разрешения. AI-триаж позволяет сократить среднее время назначения на 40–60% и повысить FCR на 15–25%."
функция,3,Приоритизация на основе влияния и срочности,"Система присвоения приоритетов инцидентам на основе оценки влияния на бизнес и срочности решения, что позволяет фокусировать ресурсы на критичных событиях.","Матрица приоритов (Impact ? Urgency), автоматический расчёт приоритета на основе данных CMDB (критичность сервиса, количество затронутых пользователей), настраиваемые правила приоритизации с учётом категории актива, времени суток и типа инцидента.","Обеспечение фокуса ресурсов на инцидентах с максимальным бизнес-влиянием, предотвращение перегрузки критическим приоритетом и гарантия соблюдения SLA для критичных сервисов."
функция,3,Статусы и переходы (New ? Assigned ? In Progress ? Resolved ? Closed),"Формализованная модель жизненного цикла инцидента с чётко определёнными статусами, переходами между ними и условиями перехода, обеспечивающая прозрачность и управляемость процесса.","Настраиваемая workflow engine со статусной моделью, проверками прав на переходы, SLA-таймерами для каждого статуса, условиями автоматического перевода (например, закрытие после подтверждения пользователем), аудитом изменений статусов.","Прозрачность статуса инцидента для всех участников процесса, возможность отслеживания прогресса и выявления узких мест. Стандартизированная модель жизненного цикла повышает предсказуемость процесса и качество отчётности."
функция,3,SLA-ориентированная маршрутизация,"Механизм автоматического направления инцидентов с учётом согласованных SLA, обеспечивающий соблюдение временных рамок реакции и разрешения для каждого уровня приоритета.","SLA-таймеры обратного отсчёта, автоматическая эскалация при приближении к порогу SLA, учёт рабочего времени и календарей, календарные/нерабочие часы, интеграция с OLA для внутренних команд. Учёт целевых времени реакции (TTR) и разрешения (TTO) для каждого приоритета.","Гарантия соблюдения договорных обязательств перед бизнесом, снижение риска финансовых санкций за нарушение SLA и повышение доверия к ИТ-департаменту."
функция,3,Эскалация (автоматическая и ручная),"Механизм повышения уровня внимания к инциденту при приближении к порогам SLA, возникновении критических ситуаций или необходимости привлечения дополнительных компетенций и полномочий.","Иерархическая модель эскалации (функциональная и иерархическая), настраиваемые правила автоматической эскалации по таймерам SLA, уведомления руководству, автоматическое создание задач для вышестоящих групп, audit trail всех эскалаций.","Предотвращение просрочек разрешения критичных инцидентов, обеспечение оперативного привлечения ресурсов для сложных случаев. Автоматическая эскалация снижает риск человеческой ошибки и забытых тикетов."
функция,3,Связь с CMDB (контекст активов и зависимостей),"Интеграция инцидентной системы с CMDB для автоматического получения контекста затронутого актива: владелец, критичность, зависимости, история изменений и инцидентов.","API-интеграция с CMDB для запроса CI-атрибутов, service map для определения затронутых сервисов, impact analysis для оценки масштаба влияния, обратная запись инцидентов в историю CI. Связь по уникальным идентификаторам CI.","Сокращение MTTR на 25–40% за счёт мгновенного доступа к контексту актива. Привязка инцидента к CMDB обеспечивает обоснованную приоритизацию и маршрутизацию, исключая догадки оператора."
функция,3,Уведомления заинтересованным сторонам,"Автоматизированная система оповещения пользователей, владельцев сервисов и руководства о статусе инцидентов, приближении к SLA и изменениях статуса.","Много канальная система уведомлений (email, SMS, push, мессенджеры), настраиваемые шаблоны для разных событий, правила подписки на обновления, интеграция с корпоративными коммуникационными платформами, управление группами рассылки.",Прозрачность коммуникации повышает удовлетворённость пользователей и снижает нагрузку на Service Desk от повторных запросов статуса. Своевременные уведомления о массовых инцидентах позволяют бизнесу оперативно адаптировать процессы.
