тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,1,Общие критерии,"Базовые организационно-экономические характеристики класса Executive Dashboards, определяющие его легитимность в enterprise-архитектуре, совокупную стоимость владения (TCO) и требования к эксплуатации. Управленческие панели являются терминальным звеном десятислойной архитектуры и предназначены для трансляции ИТ-метрик на язык бизнеса — деньги, риски, конкурентные позиции.","Определяют архитектурные и эксплуатационные ограничения: зависимость от качества нижележащих слоёв (z-src ? z-disc ? z-norm ? CMDB ? z-itsm/z-fin/z-sec/z-ops/z-cld), требования к SLA по актуальности данных (< 24 часов), модели развёртывания (SaaS / On-premise / Hybrid) и интеграционные контракты с BI/DWH через связь e43.","Влияют на принятие решения о внедрении, бюджетное планирование и оценку окупаемости инвестиций (ROI). Критичны для обоснования перед советом директоров: без C-level отчётности управление IT-функцией происходит на основе фрагментарной информации и интуиции."
функция,1,Стоимость (TCO),"Совокупная стоимость владения класса Executive Dashboards, включающая лицензии на BI-платформу и визуализацию, подписку на cloud-хостинг (если SaaS), внедрение, настройку ETL-процессов, обучение пользователей и сопровождение.","Модель лицензирования может быть per-user (CIO, CTO, CFO, CISO), per-dashboard или per-data-source. Определяет доступность модулей (предиктивная аналитика, ML-фичи, advanced visualization часто требуют премиум-уровня). Скрытые затраты включают ETL-разработку, data governance, очистку данных и кастомизацию визуализаций.","Определяет окупаемость инвестиций: Executive Dashboards сокращают время подготовки управленческих отчётов с недель до минут, снижают затраты на ручную агрегацию данных и позволяют принимать решения на основе фактов, а не интуиции. Неправильная оценка TCO приводит к 'пустым дашбордам' — впечатляющему интерфейсу на некачественных данных."
функция,1,Пакеты технической поддержки,"Модели сопровождения платформы Executive Dashboards с различным SLA: от базовой поддержки до расширенного пакета с data engineering, обучением аналитиков и консалтингом по data governance.","Влияет на время реакции при сбоях визуализации, доступность экспертов по data modeling, каналы поддержки (portal, чат, dedicated CSM). Расширенный пакет включает обучение business users созданию ad-hoc отчётов и программы повышения data literacy.","Снижает зависимость от внутренней экспертизы в data visualization и BI, ускоряет time-to-value при запуске новых дашбордов. Критичен для организаций без выделенной команды data analytics."
категория,3,Критерии (Визуализация KPI и C-level отчётность),"Фундаментальный функционал Executive Dashboards — визуальное представление ключевых показателей эффективности ИТ-функции для руководителей уровня C-suite. Реализует принцип layered information design: верхний уровень содержит 5–7 ключевых показателей для быстрой оценки ситуации, при необходимости пользователь детализирует до операционных данных.","От этого функционала зависит скорость восприятия управленческой информации, качество принятия решений и способность руководства реагировать на изменения. Технически реализуется через интеграцию с BI/DWH по связи e43 с агрегированными KPI, трендами и прогнозами. Используются библиотеки визуализации (D3.js, Highcharts, Tableau, Power BI) с поддержкой real-time и near-real-time обновлений.","Определяет способность руководства оперативно оценивать состояние ИТ-функции: стоимость услуг, уровень compliance, плотность уязвимостей, эффективность процессов, зрелость ландшафта. Без C-level отчётности каждый руководитель видит свою часть картины, но общего представления никто не имеет."
функция,3,C-level KPI dashboard (5–7 ключевых показателей),"Главная управленческая панель с 5–7 ключевыми показателями эффективности ИТ-функции, оптимизированная для восприятия за 5 минут. Показатели охватывают все домены: стоимость ИТ, качество сервисов, безопасность, зрелость процессов, доступность инфраструктуры.","Реализуется через layered information design: верхний слой — scorecard с ключевыми метриками (IT spending vs budget, MTTR, SLA compliance %, open critical incidents, vulnerability exposure, cloud cost trend, CMDB coverage). Каждый показатель имеет целевое значение, тренд и индикатор отклонения. Поддерживается drill-down от KPI до операционных данных через 3–4 уровня детализации.","Позволяет CIO, CTO, CISO за 5 минут получить полное представление о состоянии ИТ-функции вместо недель ручного сбора данных. Обеспечивает data-driven подход к стратегическим решениям: инвестиции, оптимизация, управление рисками."
функция,3,Layered information design (иерархическая детализация),"Архитектурный паттерн построения дашбордов, при котором пользователь последовательно погружается от сводных показателей к детальным данным. Верхний уровень содержит 5–7 KPI, средний — аналитические разрезы, нижний — операционные данные.","Реализуется через многоуровневую навигацию: Summary ? Trends ? Details ? Raw Data. Каждый уровень использует различные типы визуализаций — scorecards (summary), line/bar charts (trends), tables с фильтрами (details), export в Excel/CSV (raw). Поддерживается параметрическая передача контекста между уровнями (click-through).",Снижает когнитивную нагрузку на руководителей: вместо перегруженных таблиц они видят только нужный уровень детализации. Ускоряет принятие решений на 40–60% за счёт быстрого доступа от стратегического показателя до корневой причины.
функция,3,Role-based dashboards (панели по ролям),"Персонализированные панели мониторинга для различных ролей руководства: CIO (общая эффективность ИТ), CISO (безопасность и риски), CFO (стоимость и бюджет), CTO (инфраструктура и разработка), COO (доступность бизнес-сервисов).","Реализуется через ролевую модель доступа (RBAC) с привязкой к AD/LDAP. Каждая роль получает преднастроенный набор виджетов, KPI и разрешений на drill-down. Поддерживается кастомизация layout, частоты обновления и каналов уведомлений (email, мобильное приложение).",Обеспечивает каждому члену руководства фокус на своей зоне ответственности без информационного шума. Сокращает время на поиск релевантной информации и повышает вовлечённость руководства в data-driven процессы.
функция,2,Real-time / near-real-time обновление,"Механизм обновления данных на дашбордах с минимальной задержкой от операционного события до визуализации. Целевое значение — актуальность данных менее 24 часов, для критичных KPI — near-real-time (15 минут).","Реализуется через streaming data pipelines (Kafka, Event Hub), push-уведомления от BI/DWH или регулярный ETL с частотой от 5 минут до 1 часа. Требует оптимизации запросов к DWH, кэширования агрегатов и использования in-memory вычислений для снижения latency.","Обеспечивает принятие решений на основе актуальных данных, а не устаревших срезов. Критично для реагирования на инциденты безопасности, управления облачными затратами и мониторинга SLA — где задержка в данные означает задержку в решениях."
категория,3,Критерии (Scorecards),"Стратегические scorecards (Balanced Scorecard, IT Strategy Scorecard) — инструмент структурированной оценки эффективности ИТ-функции по четырём и более перспективам: финансовой, процессной, обучения и роста, клиентской. Превращает ИТ-метрики в стратегические индикаторы, понятные бизнесу.","Технически реализуются через интеграцию KPI datasets из CMDB, ITSM, Security, FinOps с бизнес-логикой нормализации и взвешивания. Поддерживается привязка к стратегическим целям организации (OKR, BSC) с целевыми значениями, порогами и индикаторами статуса (зелёный/жёлтый/красный).","Позволяют CIO демонстрировать вклад ИТ в достижение бизнес-стратегии, а не только операционные показатели. Обеспечивают основу для ежеквартальных отчётов перед советом директоров и аргументации ИТ-бюджета."
функция,3,"Balanced IT Scorecard (финансы, процессы, рост, клиенты)","Сбалансированная система показателей ИТ-функции по четырём классическим перспективам: финансовая (стоимость, ROI), процессная (SLA, MTTR, изменения), обучения и роста (зрелость, автоматизация), клиентская (удовлетворённость, self-service adoption).","Требует агрегации данных из 6+ зон: z-fin (финансовые метрики), z-itsm (процессные), z-sec (риски), z-ops (доступность), CMDB (зрелость данных). Каждая перспектива содержит 3–5 взвешенных KPI с целевыми значениями, рассчитываемыми через формулы в BI-слое.","Переводит ИТ-метрики на язык бизнес-стратегии, позволяя оценивать ИТ не только по затратам, но и по вкладу в бизнес-процессы, инновации и удовлетворённость пользователей. Стандарт де-факто для ежеквартальных отчётов CIO перед CEO и советом директоров."
