тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,IPAM (IP Address Management),"Централизованное управление пространством IP-адресов предприятия: планирование, распределение, учёт и мониторинг использования всех IP-адресов во всех сетевых сегментах. Является репозиторием единой версии правды об IP-адресации, обеспечивая фундамент для Discovery-сканирования, корреляции событий безопасности и диагностики сетевых инцидентов.","Ведение единой базы данных всех IP-адресов предприятия: IPv4 и IPv6, публичные и приватные диапазоны, статические и динамические назначения. Поддержка иерархической структуры: суперсети (supernets) ? подсети (subnets) ? отдельные адреса. Автоматическая интеграция с DHCP и DNS для синхронизации актуального состояния адресов. API-интерфейс для Discovery-систем, SIEM и CMDB. Предотвращение конфликтов IP-адресов через централизованный контроль выделения.","Исключает ситуации, когда один и тот же IP-адрес назначается двум устройствам, что приводит к сетевым сбоям и потере доступности критичных сервисов. Обеспечивает полноту Discovery-сканирования: система обнаружения знает все диапазоны, которые необходимо сканировать. При расследовании инцидентов ИБ позволяет за минуты определить, какое устройство имело конкретный IP в прошлом, сокращая время расследования с дней до минут."
функция,3,Управление IP-пулами и подсетями,"Централизованный учёт всех IP-диапазонов предприятия: распределение подсетей по площадкам, VLAN, сегментам сети, отслеживание статуса каждого адреса (свободен, занят, зарезервирован, неиспользуемый). Планирование адресного пространства с учётом роста инфраструктуры.","Иерархическая модель: суперсеть ? подсеть (CIDR-нотация, например 10.0.0.0/20) ? отдельный хост. Ведение атрибутов каждой подсети: VLAN ID, gateway, mask, broadcast, DNS-серверы, домен, площадка, ответственный. Отслеживание утилизации (utilization rate) каждого пула: процент занятых адресов, прогноз исчерпания. Автоматические alerts при достижении пороговых значений занятости (80%, 90%, 95%).","Предотвращает кризис исчерпания IP-адресов в критичных сегментах, который может блокировать подключение новых устройств и остановить расширение инфраструктуры. Позволяет планировать адресное пространство на годы вперёд на основе фактических трендов роста. При аудите даёт полную картину использования адресного пространства: сколько адресов выделено, сколько фактически используется, где есть резерв."
функция,3,Соответствие IP-MAC и привязка к активам,Отслеживание соответствия между IP-адресами и MAC-адресами устройств в реальном времени и в исторической ретроспективе. Формирование единой идентификации актива по связке IP + MAC для передачи в Discovery и CMDB.,"Автоматический сбор соответствия IP-MAC из DHCP-lease таблиц, ARP-таблиц маршрутизаторов и коммутаторов (SNMP), агентов на endpoints. Хранение истории соответствий: какой MAC имел какой IP и в какой временной период. Разрешение конфликтов: обнаружение duplicate IP, изменения MAC по фиксированному IP. Передача IP-идентификации в Discovery (e47) для сопоставления с обнаруженными CI.","Критично для расследований инцидентов безопасности: позволяет ответить на вопрос «какое устройство имело IP 10.0.1.15 две недели назад» за секунды вместо часов ручного поиска по логам. Обеспечивает точность Discovery-сканирования: каждый IP корректно сопоставлен с устройством, что исключает «слепые зоны» и ложные записи в CMDB."
функция,2,Резервирование и статическое назначение IP,"Управление зарезервированными IP-адресами для критичных систем: серверов, сетевого оборудования, принтеров, систем видеонаблюдения. Фиксация статических назначений с привязкой к MAC-адресу или hostname.","Создание резерваций (reservations): фиксация IP-адреса за конкретным MAC-адресом в DHCP, либо исключение адреса из динамического пула для ручного назначения. Хранение метаданных резервации: имя хоста, описание, ответственный, тип устройства, срок резервации. Интеграция с DNS: автоматическое создание A- и PTR-записей при резервировании. Проверка конфликтов: запрет на резервирование уже занятого адреса.","Гарантирует стабильность критичных сервисов: серверы баз данных, шлюзы, принт-серверы всегда имеют фиксированный IP-адрес, что исключает сбои клиентских приложений при смене адреса. Упрощает администрирование: администратор видит все зарезервированные адреса в едином интерфейсе, а не в разрозненных конфигурациях DHCP-серверов."
категория,3,DNS (Domain Name System),"Управление доменными именами и зонами предприятия: обеспечение разрешения имён в IP-адреса (прямое) и IP-адресов в имена (обратное). Централизованное управление DNS-записями, обеспечение отказоустойчивости DNS-инфраструктуры и интеграция с DHCP для динамических обновлений.","Управление DNS-зонами: прямые (forward) зоны для разрешения имён в IP, обратные (reverse) зоны для разрешения IP в имена (PTR-записи). Поддержка типов записей: A, AAAA, CNAME, MX, NS, SRV, TXT, SOA. Интеграция с DHCP: динамические обновления DNS (Dynamic DNS) при выделении или освобождении IP через DHCP. Поддержка split-horizon DNS: разные ответы для внутренних и внешних запросов. Интеграция с Active Directory для разрешения имён в корпоративной среде.","Обеспечивает работу всех сетевых сервисов, зависящих от разрешения имён: корпоративные приложения, электронная почта, аутентификация, доступ к общим ресурсам. Сбой DNS приводит к недоступности всех сервисов, использующих имена хостов. Централизованное управление исключает ошибки конфигурации, которые могут создавать уязвимости или перебои в работе."
функция,3,Управление DNS-зонами и записями,"Централизованное управление всеми DNS-зонами предприятия: корневые зоны, делегированные поддомены, обратные зоны. Создание, изменение и удаление DNS-записей с контролем целостности и предотвращением дублирования.","Поддержка прямых зон (forward): домен ? IP (A, AAAA, CNAME, MX, NS, SRV, TXT). Обратные зоны (reverse): IP ? домен (PTR). Иерархическая делегация зон: корпоративный домен, поддомены по подразделениям, площадкам, cloud-окружениям. Проверка целостности: запрет на создание duplicate A-записей, проверка согласованности прямых и обратных зон, валидация форматов. Поддержка DNSSEC для защиты от подмены записей.","Централизованное управление исключает фрагментацию, при которой разные подразделения ведут собственные DNS-записи без согласования, создавая конфликты имён и непредсказуемое поведение приложений. Обеспечивает единую схему именования, которая позволяет администраторам и приложениям однозначно идентифицировать любой хост в инфраструктуре."
функция,2,Прямое и обратное разрешение имён,"Обеспечение двунаправленного разрешения имён: hostname ? IP-адрес (прямое, A/AAAA-записи) и IP-адрес ? hostname (обратное, PTR-записи). Критично для корректной работы приложений, логов безопасности и Discovery-систем.","Прямое разрешение: ответ на запрос типа A/AAAA с IP-адресом хоста. Обратное разрешение: ответ на PTR-запрос с каноническим именем хоста. Автоматическое создание обратных записей при создании прямых (forward-confirmed reverse DNS, FCrDNS). Интеграция с DHCP: автоматическая регистрация и обновление записей при выделении/освобождении IP. Кэширование и TTL-управление для оптимизации производительности.","Обратное разрешение (PTR) критично для фильтрации спама, аутентификации в корпоративных приложениях и корреляции событий безопасности: SIEM преобразует IP-источника в понятное имя хоста, что ускоряет анализ инцидентов. Отсутствие корректных PTR-записей приводит к отказам в аутентификации и ложным срабатываниям security-систем."
функция,2,Интеграция DHCP-DNS (Dynamic DNS),Автоматическая регистрация и обновление DNS-записей при динамическом выделении IP-адресов через DHCP. Обеспечение согласованности между арендованными адресами и DNS-именами без участия администратора.,"Механизм Dynamic DNS updates: DHCP-сервер автоматически создаёт A- и PTR-записи при выдаче lease клиенту и удаляет их при истечении или освобождении. Поддержка secure dynamic updates (GSS-TSIG): аутентифицированные обновления с использованием Kerberos, предотвращающие несанкционированную регистрацию записей. Управление временем жизни записей (TTL) и очисткой устаревших записей (aging/scavenging).","Исключает ручной труд администраторов по созданию и удалению DNS-записей при каждом подключении/отключении устройства. В средах с большим количеством мобильных устройств и виртуальных машин, которые создаются и уничтожаются динамически, ручное управление DNS-записями становится невозможным. Гарантирует, что каждое устройство в сети доступно по имени, даже при динамическом IP."
категория,3,DHCP (Dynamic Host Configuration Protocol),"Автоматическое распределение IP-адресов и сетевых параметров устройствам при подключении к сети. Управление DHCP-scopes, lease-арендами, параметрами сетевой конфигурации (gateway, DNS, NTP, WINS). Критичен для оперативного подключения новых устройств и мобильных пользователей.","Управление DHCP-scopes: определение диапазонов динамического распределения, exclusion ranges, reservations. Настройка опций DHCP (option 3 — router, option 6 — DNS-servers, option 15 — domain name, option 66/67 — PXE-boot). Управление временем аренды (lease time) по типам устройств: короткие lease для гостевых сетей, длинные для стационарных. Поддержка DHCP-relay (IP-helper) для централизованного обслуживания удалённых подсетей. Failover-кластеризация DHCP-серверов для обеспечения отказоустойчивости.","Сокращает время подключения новых устройств к сети с часов ручной настройки до минут автоматического получения параметров. Исключает ошибки ручного ввода IP-адресов, которые могут приводить к конфликтам и сетевым сбоям. В гетерогенных средах (офисы, филиалы, гостевые сети) обеспечивает единообразие сетевой конфигурации без участия администраторов на каждой площадке."
функция,3,Управление DHCP-scopes и lease-арендами,"Определение и управление диапазонами динамического распределения IP-адресов (scopes), временем жизни аренды (lease time) и параметрами сетевой конфигурации, передаваемыми клиентам. Мониторинг активных аренд и их соответствия подсетям.","Создание DHCP-scopes: начальный и конечный адрес, маска подсети, gateway, DNS-серверы, домен, lease time (default, max, min). Исключения (exclusions): диапазоны адресов, не участвующие в динамическом распределении (например, для статических назначений). Отслеживание активных (active) и свободных (free) lease. Мониторинг использования scope: процент занятости, прогноз исчерпания. Поддержка многосайтовых конфигураций: отдельные scopes для каждой площадки, VLAN, типа устройств.","Позволяет оптимально распределять адресное пространство: короткие lease (1-8 часов) для гостевых сетей с высокой текучестью устройств, длинные lease (7-30 дней) для корпоративных стационарных устройств. При достижении порога заполнения scope генерирует alert для расширения диапазона, предотвращая ситуацию, когда новые устройства не могут подключиться к сети."
функция,2,История DHCP-аренд и аудит,"Ведение журнала всех DHCP-аренд с фиксацией соответствия IP-MAC-имя хоста на каждый момент времени. Хранение истории для расследований инцидентов, аудита и аналитики.","Фиксация каждого события DHCP: DISCOVER, OFFER, REQUEST, ACK, RELEASE, DECLINE. Хранение атрибутов lease: IP-адрес, MAC-адрес клиента, hostname, время начала аренды (start), время окончания (end), тип выделения (dynamic/reservation/bad_address). Период хранения истории: не менее 12 месяцев для compliance и расследований. Поиск по критериям: IP, MAC, hostname, временной диапазон. Экспорт данных в SIEM для корреляции событий безопасности.","Критично для расследований инцидентов информационной безопасности: позволяет задним числом определить, какое физическое устройство (по MAC-адресу) имело конкретный IP в момент инцидента. Обеспечивает compliance с требованиями регуляторов к хранению журналов сетевой активности. При аудите подключений даёт полный перечень устройств, которые были в сети за период."
функция,2,DHCP-relay и многосайтовая архитектура,"Обеспечение выделения IP-адресов устройствам в удалённых подсетях, где нет локального DHCP-сервера, через relay-агентов (IP-helper). Централизованное управление DHCP для распределённой инфраструктуры с филиалами, VLAN и cloud-сегментами.","Настройка DHCP-relay (IP-helper) на маршрутизаторах и коммутаторах L3: перенаправление DHCP-широковещательных запросов из локальной подсети на центральный DHCP-сервер. Политики распределения по источнику запроса: выделение адреса из нужного scope на основе IP-интерфейса relay-агента ( giaddr). Поддержка Option 82 (circuit ID, remote ID) для идентификации порта коммутатора и VLAN. Failover-кластеризация: пара DHCP-серверов в режиме load balancing или hot standby.","Сокращает операционные затраты: не требуется развёртывание и обслуживание отдельных DHCP-серверов в каждом филиале. Централизованное управление обеспечивает единые политики адресации и упрощает резервное копирование конфигураций. При отказе основного DHCP-сервера failover-механизм гарантирует непрерывность выделения адресов, исключая простои сети."
категория,3,Интеграция со слоем Discovery и сетевой инфраструктурой,"Взаимодействие IPAM/DNS/DHCP с системами Discovery, NMS, CMDB и SIEM для обеспечения полного цикла от выделения адреса до идентификации актива. IP-адрес является первичным идентификатором, по которому Discovery определяет наличие устройства в сети, а SIEM коррелирует события безопасности.","Поток IP-идентификации в Discovery (e47): передача соответствий IP-MAC-hostname для сопоставления с результатами сканирования. Интеграция с NMS: получение данных о сетевой топологии (VLAN, подсети, порты) и передача данных об адресации для построения карты сети. Интеграция с CMDB: обогащение CI-записей IP-адресом, подсетью, VLAN, DNS-именем. Интеграция с SIEM: экспорт истории DHCP-аренд для корреляции событий по IP-адресу.","Создаёт замкнутый цикл: IP выделяется через DHCP, регистрируется в IPAM, обнаруживается Discovery, попадает в CMDB как качественная CI-запись, используется SIEM для корреляции событий. Без этой интеграции каждая система ведёт свой собственный учёт адресов, что приводит к рассогласованию данных, слепым зонам и невозможности быстрого расследования инцидентов."
функция,3,IP-идентификация для Discovery (e47),Передача данных о соответствии IP-адресов MAC-адресам и hostname в систему Discovery для использования в качестве начальных идентификаторов при сканировании сети. Формирование списка целей для Discovery-сканирования на основе актуального состояния IPAM.,"Формирование фида (feed) для Discovery: список всех активных IP-адресов с атрибутами MAC, hostname, lease type, VLAN, подсеть. Определение scope сканирования: передача списка подсетей и диапазонов, которые необходимо сканировать. Обратная связь: получение от Discovery результатов сканирования для корректировки данных в IPAM (например, обнаружение устройства с IP, отсутствующим в DHCP-lease). Интеграция по API: REST/SOAP или экспорт в форматах CSV, JSON.","Обеспечивает полноту Discovery-сканирования: система обнаружения знает все подсети и диапазоны, которые необходимо охватить, что исключает слепые зоны. При обнаружении нового устройства Discovery использует данные IPAM для первичной идентификации, сокращая время обработки. Без этой интеграции Discovery сканирует «вслепую», пропуская изолированные сегменты и дублируя записи."
функция,2,Интеграция с CMDB и NMS,Обогащение конфигурационных записей в CMDB данными об IP-адресации и обмен данными с системой управления сетью (NMS) для построения единой топологической модели инфраструктуры.,"Интеграция с CMDB: передача IP-адреса, подсети, VLAN ID, DNS-имени, MAC-адреса как атрибутов CI. Автоматическое создание связей CI: устройство — IP-адрес — подсеть — VLAN — сетевой интерфейс. Интеграция с NMS: получение данных о топологии (LLDP/CDP neighbors, таблицы MAC-адресов коммутаторов) для построения карты сетевых связей. Передача в NMS данных о статусе IP-адресов для корреляции с событиями сетевого оборудования.","Создаёт в CMDB полную картину сетевой принадлежности каждого актива: к какой подсети и VLAN подключено устройство, через какой коммутатор, какой DNS-имя имеет. При инциденте позволяет за секунды определить, какие устройства затронуты сбоем в конкретной подсети или на конкретном коммутаторе."
