тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Критерии (Обнаружение и инвентаризация),"Автоматизированное обнаружение и учёт ИТ-активов являются фундаментальной функцией ITAM, обеспечивающей полноту и актуальность инвентарной базы. Без систематического сканирования организация теряет видимость значительной части инфраструктуры, что приводит к неконтролируемым рискам, лишним затратам и невозможности эффективного управления жизненным циклом активов.","Discovery-слой ITAM использует комбинацию агентных и бесагентных методов сбора данных: сетевое сканирование (SNMP, WMI, SSH, ICMP), агенты на endpoint'ах, интеграция с облачными API (AWS, Azure, GCP) и подключение к NAC-системам для выявления новых устройств. Результаты сканирования передаются в нормализационный слой z-norm, где происходит дедупликация и обогащение данных перед загрузкой в CMDB.","Полнота инвентаризации напрямую влияет на финансовый результат: в средней организации 8–15% сетевых устройств не учтены в инвентаре, а 30% облачных ресурсов являются неиспользуемыми. Каждый необнаруженный актив — это потенциальная точка входа для инцидента безопасности, источник незаконных лицензионных отчислений и элемент, искажающий управленческую отчётность."
функция,3,Сканирование on-premise сетей,"Сканирование корпоративной сети — базовая функция обнаружения, обеспечивающая выявление всех физических и виртуальных устройств внутри периметра организации. Это включает серверы, рабочие станции, сетевое оборудование, принтеры и другие подключённые устройства.","Используются протоколы ICMP (ping-sweep), SNMP (опрос MIB), WMI (Windows Management Instrumentation), SSH (для Linux/Unix) и NetBIOS для сбора данных об устройствах. Сканеры опрашивают заданные IP-диапазоны, собирают MAC-адреса, hostname, версию ОС, открытые порты и базовую конфигурацию оборудования. Интеграция с IPAM обеспечивает покрытие всех выделенных адресных пространств.","Полное покрытие корпоративной сети исключает «слепые зоны», которые могут содержать неучтённое оборудование с устаревшим ПО, непокрытое лицензиями, или несанкционированные устройства. Целевой показатель покрытия — ? 98% корпоративных сегментов, что обеспечивает достоверность всех downstream-процессов: от лицензионного учёта до управления уязвимостями."
функция,2,"Облачные платформы (AWS, Azure, GCP)","Облачный discovery расширяет видимость инвентаризации за пределы on-premise инфраструктуры, обеспечивая учёт виртуальных машин, контейнеров, хранилищ и сетевых сервисов, развёрнутых в публичных облаках. Без этой функции облачные активы превращаются в «чёрный ящик» с неуправляемыми затратами.","Интеграция реализуется через API облачных провайдеров: AWS (EC2, S3, RDS, Lambda), Azure (VM, Storage, AKS), GCP (Compute Engine, Cloud Storage, GKE). Собираются метаданные ресурсов: тип инстанса, регион, теги, IAM-политики, статус запуска, сетевые конфигурации, параметры биллинга. Поддерживается multi-cloud inventory с нормализацией данных в единую модель.","Исследования показывают, что 30% облачных ресурсов в средней организации являются неиспользуемыми или неоптимально сконфигурированными. Cloud discovery позволяет выявить «забытые» ресурсы, сравнить фактическое потребление с бюджетом и обеспечить прозрачность облачных затрат для финансового планирования. Экономия за счёт FinOps-практик составляет 15–25% в первый год."
функция,2,Удалённые endpoint'ы (remote workforce),"Учёт удалённых устройств сотрудников — критически важная функция в эпоху распределённых команд и гибридного формата работы. Endpoint'ы, работающие вне корпоративной сети, традиционно остаются за пределами visibility IT-департамента, создавая значительные риски.","Сбор данных осуществляется через перманентных агентов (UEM/MDM), VPN-концентраторы (сбор данных о подключениях), облачные шлюзы безопасности и интеграцию с NAC. Агенты передают данные о конфигурации, установленном ПО, состоянии security policy даже при отсутствии прямого подключения к корпоративной сети.","Работа 30–50% сотрудников вне офиса означает, что значительная часть инфраструктуры находится за пределами прямого контроля. Каждый неучтённый удалённый ноутбук — это потенциальная точка утечки данных, источник нелицензионного ПО и объект, не покрытый корпоративными политиками безопасности."
функция,2,Continuous monitoring для real-time visibility,"Непрерывный мониторинг инфраструктуры обеспечивает актуальность инвентарных данных в режиме, близком к реальному времени, вместо периодического сканирования. Это позволяет обнаруживать новые устройства в течение часов, а не дней после их появления в сети.","Continuous monitoring реализуется через постоянных агентов на endpoint'ах, интеграцию с NAC для отслеживания новых подключений, syslog-сбор для регистрации событий, облачные event-driven API и автоматические триггеры сканирования при обнаружении новых устройств. Данные обновляются в CMDB с частотой от 15 минут до 4 часов в зависимости от класса CI.","Среднее время между появлением нового устройства в сети и его обнаружением при периодическом сканировании составляет 24+ часа. За это время необнаруженный актив может стать источником инцидента безопасности, привести к нарушению compliance или вызвать конфликт IP-адресов. Continuous monitoring сокращает это окно до минимума."
категория,3,Критерии (Покрытие активов),"Полнота покрытия типов активов определяет границы видимости ITAM-системы и качество управленческих решений, принимаемых на её основе. Категория охватывает все классы ИТ-активов: от физического оборудования и программного обеспечения до облачных ресурсов и виртуальных сред.","ITAM должен поддерживать учёт активов всех типов через единую модель данных с расширяемой схемой классов CI. Каждый тип актива имеет специфический набор атрибутов: для оборудования — серийный номер, спецификации, местоположение; для ПО — версия, лицензия, метрики использования; для облачных ресурсов — tenant, region, instance type, tags; для виртуальных сред — hypervisor, конфигурация, зависимости.","Неполное покрытие типов активов приводит к фрагментации управления: оборудование учитывается в одной системе, облачные ресурсы — в другой, лицензии — в третьей. Это исключает возможность расчёта полной стоимости владения (TCO) и создаёт «слепые зоны» при принятии решений об оптимизации инфраструктуры."
функция,3,"Аппаратное обеспечение (ноутбуки, серверы, сетевое оборудование)","Учёт аппаратных активов — фундаментальная функция ITAM, охватывающая всё физическое оборудование организации: рабочие станции и ноутбуки сотрудников, серверное оборудование дата-центров, сетевые устройства (коммутаторы, маршрутизаторы, firewall), периферийное оборудование и IoT-устройства.","Сбор данных включает: модель и производителя, серийный номер, аппаратные спецификации (CPU, RAM, диски, NIC), MAC-адрес, местоположение (здание, этаж, стойка), статус (в эксплуатации, резерв, ремонт, списан), гарантийные сроки. Данные поступают от Discovery-агентов, ручного ввода при закупке и синхронизации с поставщиками через API.","Аппаратные активы составляют 40–60% ИТ-бюджета капитальных расходов (CapEx). Неучтённое оборудование продолжает амортизироваться, занимать складские площади и потреблять электроэнергию. Точный учёт оборудования позволяет оптимизировать закупки, планировать замену до истечения гарантии и избежать двойных инвестиций."
функция,3,Программное обеспечение и лицензии,"Учёт программного обеспечения и лицензий — критическая функция ITAM, обеспечивающая соответствие лицензионным соглашениям и оптимизацию затрат на ПО. Включает инвентаризацию установленного ПО, сопоставление с лицензионными правами (entitlements) и выявление рисков недолицензирования или избыточных запасов.","Software inventory собирается через агенты, сканирование реестров ОС (Windows Registry, Linux package managers), анализ установочных директорий и интеграцию с endpoint management. License Management модуль сопоставляет обнаруженные установки с записями о закупленных лицензиями из ERP, учитывая метрики лицензирования: per-device, per-user, per-core, concurrent. Поддерживается Software Recognition для идентификации коммерческих продуктов по сигнатурам.","До 30% годового бюджета на ПО теряется на неиспользуемых лицензиях, а риск финансовых санкций при аудите вендора может достигать миллионов долларов. Эффективный учёт ПО обеспечивает compliance, позволяет рационализировать портфель приложений и подготовиться к лицензионным аудитам за часы, а не недели."
функция,2,Облачные ресурсы и SaaS-подписки,"Учёт облачных ресурсов и SaaS-подписок — функция, ставшая критически важной с ростом облачных расходов. Включает учёт виртуальных машин, хранилищ, сетевых сервисов, контейнерных платформ и SaaS-приложений, оплачиваемых по подписке.","Данные собираются через API облачных провайдеров (AWS Cost Explorer, Azure Resource Manager, GCP Cloud Asset Inventory) и SaaS management platforms. Учитываются: тип ресурса, конфигурация, регион, теги, владелец, метрики использования (CPU%, объём трафика), стоимость по моделям on-demand, reserved, spot. Интеграция с SSO позволяет выявлять SaaS-приложения, используемые сотрудниками.","Облачные расходы растут в среднем на 20–30% ежегодно, при этом 35% облачных ресурсов считаются неоптимальными — либо неиспользуемыми, либо избыточно сконфигурированными. Учёт облачных активов позволяет реализовать FinOps-практики: распределение затрат по подразделениям (chargeback), выявление неэффективного потребления и оптимизацию резервирования."
функция,2,Виртуальные среды,"Учёт виртуальных сред охватывает виртуальные машины, контейнеры и виртуальную сетевую инфраструктуру, развёрнутую на гипервизорах и платформах оркестрации. Виртуализация добавляет уровень абстракции, требующий специализированных методов инвентаризации.","Discovery виртуальных сред выполняется через API гипервизоров (VMware vSphere, Hyper-V, Proxmox) и платформ оркестрации (Kubernetes, OpenShift). Собираются данные о: гипервизоре и его версии, конфигурации VM (vCPU, vRAM, vDisk), виртуальных сетях и VLAN, снапшотах, состоянии VM (powered on/off, suspended), контейнерных образах и подах. Важно отслеживать связь между физическим хостом и размещёнными на нём VM для планирования ёмкости.","Виртуализация позволяет сократить капитальные затраты на оборудование на 30–50%, но создаёт риск «vm sprawl» — неконтролируемого роста числа виртуальных машин, многие из которых не выполняют рабочих нагрузок. Учёт виртуальных сред позволяет оптимизировать плотность размещения VM, планировать ёмкость инфраструктуры и избежать лицензионных нарушений при виртуализации ПО."
категория,2,Критерии (Глубина данных),"Глубина собираемых данных о каждом активе определяет качество управленческих решений и полноту downstream-процессов. Поверхностные данные позволяют лишь базовый учёт, в то время как детальные атрибуты обеспечивают precise planning, accurate financial forecasting и proactive lifecycle management.","Глубина данных измеряется насыщенностью CI-атрибутов: от минимального набора (hostname, IP, тип устройства) до полного профиля, включающего спецификации, местоположение, владельца, состояние здоровья, гарантийные сроки, стоимость, лицензионные параметры, связи с другими CI и историю изменений. Каждый дополнительный атрибут добавляет ценность для конкретных процессов: владелец — для маршрутизации инцидентов, стоимость — для принятия решений repair/replace, состояние — для планирования замены.","Организации с глубокой детализацией инвентарных данных принимают обоснованные решения о замене оборудования, сокращая среднее время простоя на 25–40%. Знание полной стоимости актива (TCO) позволяет обосновывать инвестиции перед CFO, а назначенные владельцы обеспечивают accountability на всех этапах жизненного цикла."
функция,3,"Модель, серийный номер, спецификации (CPU, RAM, диск)","Технические спецификации актива — базовый набор атрибутов, однозначно идентифицирующих устройство и определяющих его производительные характеристики. Эти данные критичны для планирования ёмкости, оценки соответствия требованиям приложений и принятия решений о модернизации.","Данные собираются через WMI/WinRM (Windows), SSH/SNMP (Linux, сетевые устройства), SMC/DMI (macOS), API гипервизоров и облачных провайдеров. Включают: производителя и модель, серийный номер ( chassis, BIOS, материнская плата), процессор (модель, количество ядер, частота), оперативную память (объём, тип, частота), дисковую подсистему (тип, объём, RAID-конфигурация), сетевые интерфейсы (скорость, MAC).","Точные спецификации позволяют определить остаточную стоимость актива, спрогнозировать срок его морального износа и обосновать замену перед финансовыми stakeholders. При инциденте знание конфигурации ускоряет принятие решения: ремонтировать, заменить на аналог или арендовать временное оборудование."
