Зона/Класс,Что это,Технологическая цель,Бизнес-цель,Как работает
z-src,"Источники данных / Системы-источники. Зона первичных данных: всё, что производит или хранит информацию об активах, пользователях, финансах и доступах. Без этой зоны нет сырых данных для инвентаризации и аналитики.","Производить и хранить структурированные данные об ИТ-активах, персонале, финансах и доступах для дальнейшей агрегации.","Обеспечить фундамент для учёта, аналитики и управления ИТ-активами и персоналом.","Системы ведут транзакционные и справочные данные; отдают их через API, БД-коннекторы, файловый обмен или агенты в зоны дискаверинга и нормализации."
z-src | Endpoints?Servers,"Рабочие станции, ноутбуки, физические и виртуальные серверы, VDI.",Обеспечить вычислительную инфраструктуру для пользователей и приложений.,Работа сотрудников и хостинг бизнес-приложений.,"ОС + агенты/SNMP/WMI отдают данные об аппаратной конфигурации, статусе, сетевом адресе."
z-src | HRM?HRIS,"Кадровые системы (1С:ЗУП, SAP HCM, Workday, Босс-кадровик).","Хранить оргструктуру, штатное расписание, кадровые события.","Управление персоналом, расчёт зарплаты, привязка активов к сотрудникам.","Ведёт справочники сотрудников, подразделений, должностей; через API/DB-sync отдаёт изменения."
z-src | ERP?Procurement,"ERP-системы и модули закупок (SAP, 1С:ERP, Oracle).","Автоматизировать бухгалтерию, закупки, склад, производство.","Контроль затрат, прозрачность цепочки поставок, списание активов по бухгалтерии.",Транзакционная БД с модулями MM/FI/CO; интегрируется с финансами и складом через IDoc/RFC/REST.
z-src | IAM?IGA?PAM,"Управление идентификацией, доступом и привилегированными учётными записями (Active Directory, SailPoint, CyberArk).","Централизованно выдавать, отзывать и аудировать доступы.","Снижение рисков утечек, compliance (SOX, 152-ФЗ), сокращение shadow IT.",Identity Store + политики RBAC/ABAC; workflow на выдачу прав; PAM-сессии записывают действия привилегированных пользователей.
z-disc,"Дискаверинг и инвентаризация. Зона сбора и первичной агрегации данных об активах: сканирование сети, опрос агентов, облачные обвёртки. Превращает «тёмную материю» инфраструктуры в структурированный реестр.",Автоматически обнаруживать и собирать данные обо всех ИТ-активах в единый реестр.,"Прозрачность инфраструктуры, снижение потерь оборудования, обоснование инвестиций.","Агенты, SNMP-сканеры, API-коннекторы к облакам и сетевому оборудованию собирают данные и передают в CMDB/Inventory."
z-disc | Inventory,"CMDB / реестр IT-активов (ServiceNow CMDB, Device42, Lansweeper, ITMen/InfrITMen).",Единый реестр всех CI с атрибутами и связями.,"Прозрачность инфраструктуры, снижение потерь оборудования, обоснование инвестиций.","Агрегирует данные из агентов, SNMP, API облаков; хранит связи «хостинг-приложение-сервер-сеть»."
z-disc | Cloud Inventory,"Облачный ассет-менеджмент (AWS Config, Azure Resource Graph, GCP Asset Inventory).","Учёт ресурсов в мультиоблаке: ВМ, контейнеры, бакеты, IAM-роли.","Контроль облачных расходов, предотвращение «забытых» ресурсов, security posture.",Читает API облачных провайдеров в real-time; отслеживает создание/изменение/удаление ресурсов.
z-disc | UEM?MDM,"Unified Endpoint Management / Mobile Device Management (Microsoft Intune, VMware Workspace ONE, Kandji).","Управление конфигурацией, политиками и compliance конечных устройств.","Защита корпоративных данных на мобильных/удалённых устройствах, BYOD.","Агент на устройстве получает профили (Wi-Fi, VPN, сертификаты); remote wipe/lock; инвентаризация установленного ПО."
z-disc | NAC,"Network Access Control (Cisco ISE, ForeScout, Aruba ClearPass).",Контроль подключения устройств к сети на основе идентичности и posture.,"Предотвращение подключения неавторизованных/заражённых устройств, сегментация.",Проверяет 802.1X/MAC/профиль устройства при подключении; не прошёл проверку — отправляет в изоляцию (quarantine VLAN).
