тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Типы вычислительных устройств,"Класс Endpoints/Servers охватывает все физические и виртуальные вычислительные устройства, на которых исполняется бизнес-логика предприятия: рабочие станции, ноутбуки, физические серверы, виртуальные машины, контейнерные хосты и VDI-инстансы. Каждое устройство является независимым источником структурированных данных о себе самом и формирует фундамент всего downstream-процесса Discovery и CMDB.","Устройства классифицируются по форм-фактору (desktop, laptop, rack server, blade, VM, container host), назначению (рабочая станция сотрудника, сервер приложений, сервер БД, файл-сервер, терминальный сервер) и среде исполнения (bare metal, виртуализированная среда VMware vSphere/ Hyper-V, облачный инстанс AWS EC2/Azure VM, контейнер Docker/Kubernetes). Для каждого типа устройства определён набор обязательных и опциональных CI-атрибутов, формирующих карточку конфигурационной единицы в CMDB.","Полнота учёта всех типов устройств напрямую определяет точность лицензионного compliance, качество планирования закупок и достоверность управленческой отчётности. Неучтённые виртуальные машины и контейнерные хосты ведут к незапланированным расходам на лицензии и облачные ресурсы, а отсутствие инвентаризации рабочих станций повышает риски информационной безопасности."
категория,3,Методы сбора данных с устройств,"Класс Endpoints/Servers предоставляет технические механизмы извлечения конфигурационных данных: агентный сбор, бесагентное сканирование по сетевым протоколам, API-запросы к гипервизорам и облачным провайдерам, а также чтение локальных подсистем ОС. Выбор метода сбора определяет полноту, детализацию и актуальность получаемых CI-атрибутов.","Агентный сбор реализуется через установку лёгких агентов Discovery на endpoints, которые периодически считывают данные из WMI (Windows), /proc и /sys (Linux), system_profiler (macOS) и передают на серверы нормализации. Бесагентный сбор использует протоколы WMI, SSH, SNMP для удалённого опроса устройств по сети. API гипервизоров (VMware vCenter API, Hyper-V WMI) предоставляют данные о виртуальных машинах и их хостах. Облачные API (AWS EC2 API, Azure ARM API, GCP Compute API) возвращают метаданные облачных инстансов.","Автоматизация сбора данных сокращает затраты на ручную инвентаризацию на 80–95% и обеспечивает актуальность данных в течение 24 часов. Организации с парком свыше 1 000 устройств экономят 2–4 FTE за счёт отказа от ручного опроса, а аудиторские проверки проходят за считанные часы вместо недель сбора данных."
категория,3,Атрибуты конфигурационных единиц (CI),"Каждое вычислительное устройство генерирует набор CI-атрибутов — структурированных данных, которые после нормализации и реконсиляции формируют golden record в CMDB. Эти атрибуты разделяются на аппаратные, программные, сетевые, операционные и идентификационные группы и служат основой для всех downstream-процессов: ITSM, ITAM, Security, Monitoring.","Аппаратные атрибуты включают CPU (модель, ядра, частота), RAM (объём, тип), дисковую подсистему (ёмкость, тип RAID, модели SSD/HDD), сетевые адаптеры (MAC-адреса, скорость), серийные номера (по SMBIOS/DMI), UUID материнской платы, версию BIOS/UEFI. Программные атрибуты — список установленного ПО с версиями, путями установки, MSI product codes, publisher signatures. Сетевые — IP-адреса, FQDN, домен, VLAN. Идентификационные — hostname, NetBIOS-имя, доменное имя, серийный номер ОС.","Качество и полнота CI-атрибутов определяют точность всех управленческих процессов: от расчёта лицензий до оценки рисков устаревания оборудования. Организации с заполненностью обязательных CI-атрибутов выше 95% сокращают время разрешения инцидентов на 40–60% за счёт точного контекста, а лицензионные аудиты проходят без выявления рисков недолицензирования."
категория,3,Интеграции со слоем Discovery,"Endpoints/Servers являются первичным источником данных для всего слоя Discovery (z-disc). CI-атрибуты, собранные с устройств, передаются по связи e1 в Discovery-системы, где проходят первичную структуризацию перед нормализацией. Качество этой интеграции определяет полноту обнаружения и достоверность downstream-данных в CMDB.","Основная интеграция — поток e1 (CI-атрибуты от Endpoints/Servers к Discovery): агенты на устройствах передают собранные данные на серверы Discovery по защищённым каналам (HTTPS/TLS, VPN). Вторичная интеграция — поток e28 (инвентарные признаки к Inventory): серийные номера и аппаратные идентификаторы передаются в системы инвентаризации для списочного учёта. Дополнительные интеграции: данные о виртуальных машинах поступают от гипервизоров, облачные инстансы — от Cloud Inventory через API провайдеров.","Надёжная интеграция Endpoints с Discovery-слоем исключает слепые зоны и обеспечивает полноту инвентаризации выше 98%. Каждый необнаруженный сервер — это потенциальная уязвимость, неучтённая лицензия и финансовый риск. Организации с полным покрытием Discovery снижают риски инцидентов безопасности на 30–50% за счёт устранения shadow IT."
категория,2,Аппаратный инвентарь и конфигурация,"Аппаратная конфигурация устройств — фундаментальный атрибутный класс, включающий данные о процессорах, оперативной памяти, дисковой подсистеме, сетевых адаптерах, материнской плате и периферийном оборудовании. Эти данные извлекаются из прошивок SMBIOS/DMI, системных интерфейсов WMI, /proc, lshw и определяют производительные характеристики и классификацию устройства.","Сбор аппаратных данных выполняется через низкоуровневые интерфейсы: WMI классы Win32_Processor, Win32_PhysicalMemory, Win32_DiskDrive, Win32_NetworkAdapter (Windows); /proc/cpuinfo, /proc/meminfo, lshw, lsscsi (Linux); ioreg, system_profiler (macOS). Каждый компонент получает уникальный идентификатор: CPU — model name и stepping, RAM — part number и DIMM slot, диски — model, serial number, firmware version. SMBIOS предоставляет serial number chassis, asset tag, manufacturer, product name, UUID.","Точный аппаратный инвентарь позволяет планировать обновления оборудования, рассчитывать амортизацию и определять end-of-life статусы. Организации с автоматизированным сбором аппаратных данных сокращают сроки подготовки к аудитам с недель до часов и оптимизируют закупки за счёт точного понимания реальной конфигурации парка."
категория,2,Программный инвентарь и учёт ПО,"Программный инвентарь включает данные обо всех установленных программных продуктах: операционных системах, системном ПО, прикладных приложениях, утилитах и компонентах среды исполнения. Эти данные являются критическим входом для Software Recognition и лицензионного учёта (SAM), а также определяют поверхность атаки для Security.","Сбор данных о ПО выполняется через реестр установленных программ (Windows Registry — HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall), менеджеры пакетов (dpkg, rpm, yum, apt для Linux), установщики macOS (pkgutil, /Applications), WMI класс Win32_Product. Для каждого продукта фиксируются: display name, version, install date, publisher, install location, MSI product code. Дополнительно собираются данные о компонентах среды: версии .NET Framework, Java Runtime, Python, PowerShell.",Полный программный инвентарь — основа SAM-оптимизации. Типовая организация экономит 15–30% годового бюджета на ПО за счёт выявления неиспользуемых установок и предотвращения недолицензирования. Данные об установленном ПО также критичны для управления уязвимостями: каждая необновлённая версия — потенциальная точка входа для атаки.
категория,2,Операционные системы,"Операционная система — центральный атрибут классификации устройства, определяющий методы сбора данных, политики безопасности, совместимость ПО и сроки поддержки. Класс Endpoints/Servers охватывает все корпоративные ОС: клиентские (Windows, macOS, Linux-дистрибутивы), серверные (Windows Server, RHEL, Ubuntu Server, SUSE) и мобильные (iOS, Android).","Для каждой ОС собираются: имя продукта (каноническое наименование), версия (major.minor.build), редакция (Home, Pro, Enterprise, Datacenter), архитектура (x86, x64, ARM), язык интерфейса, дата установки, последнее обновление (patch level), статус поддержки (EOL/EOS даты). Windows: WMI Win32_OperatingSystem, wmic os get. Linux: /etc/os-release, uname -a, lsb_release. macOS: system_profiler SPSoftwareDataType, sw_vers. Мобильные ОС: MDM-API (Intune, VMware Workspace ONE).","Учёт версий ОС критичен для compliance и безопасности: устройства с устаревшими, неподдерживаемыми ОС — первоочередной риск для аудиторов и основная цель для атак. Организации с автоматизированным отслеживанием версий ОС сокращают время реакции на критические уязвимости с недель до часов и проходят compliance-аудиты без замечаний."
категория,2,Виртуальная и облачная инфраструктура,"Современный IT-парк включает значительную долю виртуализированных и облачных ресурсов, которые требуют специализированных методов обнаружения и атрибуции. Виртуальные машины, контейнеры и бессерверные функции обладают спецификой: динамическое создание/уничтожение, клонирование, миграция между хостами, что требует дополнительных идентификаторов и методов сопоставления.","Для виртуальных машин собираются: VM name, VM UUID (bios.uuid), instance UUID, vCPU, allocated RAM, дисковые образа (VMDK, VHD), снапшоты, хост-гипервизор (ESXi host, Hyper-V host), resource pool, DRS-группа, vApp. Для облачных инстансов: instance ID, instance type (t3.medium, Standard_D2s_v3), AMI/image ID, VPC, availability zone, security groups, IAM role, launch time, state. Для контейнеров: container ID, image, namespace, pod name, node, orchestrator (Kubernetes cluster). Идентификация VM при миграции (vMotion) требует отслеживания VM UUID независимо от хоста.","Виртуальные и облачные ресурсы часто создаются без централизованного контроля, что приводит к cloud sprawl — непропорциональному росту затрат. Организации с полным инвентарём виртуальной инфраструктуры выявляют 20–30% неиспользуемых или избыточно сконфигурированных ресурсов и снижают облачные расходы на 15–25% в первый год."
категория,2,Сетевые атрибуты и идентификация,"Сетевые атрибуты устройств обеспечивают их идентификацию в корпоративной сети и служат ключевыми полями для реконсиляции данных из различных источников Discovery. IP-адрес, MAC-адрес, FQDN и доменное имя формируют сетевой профиль устройства, необходимый для корреляции с данными NAC, IPAM, DNS и SIEM.","Сетевые атрибуты включают: IPv4/IPv6 адреса (все интерфейсы), MAC-адреса (для каждого NIC), FQDN (Fully Qualified Domain Name), NetBIOS-имя, домен Active Directory, DNS-суффиксы, VLAN ID, default gateway, подсеть. Эти данные извлекаются через: WMI Win32_NetworkAdapterConfiguration (Windows), ip addr / ifconfig (Linux), ifconfig / networksetup (macOS). MAC-адрес является стабильным идентификатором при смене IP и критичен для matching rules реконсиляции. FQDN используется для построения DNS-зависимостей и корреляции с логами SIEM.","Полные сетевые атрибуты позволяют корректно маршрутизировать инциденты, проводить расследования ИБ-событий и планировать сетевую инфраструктуру. При расследовании инцидента безопасности сопоставление IP-адреса на момент события с MAC и устройством через CMDB сокращает время расследования с дней до минут."
категория,1,Идентификационные атрибуты и серийные номера,"Идентификационные атрибуты — уникальные идентификаторы устройства, которые обеспечивают стабильность его идентичности во времени и позволяют сопоставлять записи из различных источников Discovery. Эти атрибуты служат якорями для реконсиляции и дедупликации в нормализационном слое.","Ключевые идентификаторы: serial number (производителя, из SMBIOS), UUID материнской платы (System UUID по DMI), asset tag (при наличии), hostname, NetBIOS-имя, VM UUID (для виртуальных машин), облачный instance ID. Для matching rules реконсиляции используются комбинации: serial number + manufacturer, MAC-адрес + hostname, UUID + домен, IP + FQDN. При переустановке ОС с нуля serial number и UUID оборудования остаются неизменными, что позволяет распознать существующий актив.","Надёжная идентификация предотвращает дублирование записей в CMDB и обеспечивает непрерывность истории актива при переустановках, миграциях и обновлениях. Организации с корректными matching rules снижают коэффициент дублирования CI с 30–40% до 2–3%, что исключает ошибки при расчёте лицензий и планировании закупок."
категория,1,Управление доступом и локальные учётные записи,"Данные о локальных учётных записях и политиках доступа на устройствах формируют контекст безопасности и используются Security-слоем для оценки поверхности атаки. Наличие неактивных, привилегированных или незащищённых локальных аккаунтов — индикатор риска, требующий внимания команд ИБ.","Собираются данные о локальных пользователях (Windows: net user, WMI Win32_UserAccount; Linux: /etc/passwd, /etc/shadow), группах и их членстве (Administrators, sudoers, root), статусе паролей (enabled/disabled, password required, password last set), политиках аутентификации (Local Security Policy), наличии UAC/AppArmor/Selinux. Интеграция с IAM/AD позволяет определить соответствие локальных и доменных учётных записей.","Контроль локальных учётных записей — обязательное требование стандартов ISO 27001, PCI DSS, SOC 2. Выявление неактивных аккаунтов, аккаунтов с неистёкшими паролями и привилегированных локальных администраторов снижает риск компрометации на 40–60%. Данные о локальных учётных записях обогащают расследования инцидентов и сертификацию доступов."
категория,1,Состояние и жизненный цикл устройства,"Атрибуты состояния устройства отражают его текущий статус в эксплуатации: активен, выключен, в режиме обслуживания, в резерве, списан. Эти данные используются для планирования мощностей, расчёта доступности и управления жизненным циклом актива от ввода в эксплуатацию до утилизации.","Состояние устройства определяется по: статусу питания (on/off/hibernate), доступности по сети (ping, WMI/SSH-ответ), времени последней загрузки (uptime), времени последнего успешного сбора данных агентом, статусу в домене (trusted/untrusted), состоянию дискового шифрования (BitLocker, FileVault, LUKS), статусу обновлений безопасности (missing patches). Для виртуальных машин дополнительно: power state, tools status, snapshot presence, quiescing status.","Точные данные о состоянии устройств позволяют оптимизировать энергопотребление, планировать замену оборудования до достижения end-of-life и обеспечивать непрерывность бизнеса. Выявление устройств, выключенных более 90 дней, позволяет высвободить лицензии и снизить затраты на простаивающие активы."
функция,3,Агентный сбор данных,Функция агентного сбора данных обеспечивает автоматическое извлечение CI-атрибутов с вычислительных устройств через установленных лёгких агентов Discovery. Агент работает как системная служба с минимальным потреблением ресурсов и периодически передаёт собранные данные на серверы нормализации.,"Агент устанавливается как служба (Windows) или демон (Linux) с привилегиями local system / root для доступа к низкоуровневым API. Сбор выполняется по расписанию (обычно каждые 4–24 часа), данные кэшируются локально и передаются по HTTPS/TLS на upstream-сервер. Агент собирает: аппаратную конфигурацию через WMI/libhd, список ПО через реестр/пакетные менеджеры, сетевые настройки через WinSock/ioctl. Поддерживаются режимы online-передачи и offline-буферизации при недоступности сервера. Расход ресурсов: CPU < 1%, RAM < 50 MB, сетевой трафик < 500 KB за цикл сбора.","Агентный сбор обеспечивает наиболее полный и достоверный набор CI-атрибутов с минимальными сетевыми требованиями. Организации с агентным покрытием выше 95% достигают полноты инвентаризации на уровне 98%+ и сокращают время на ручную инвентаризацию на 90%. Агенты критичны для устройств в удалённых сегментах и за NAT, где бесагентное сканирование невозможно."
функция,3,Бесагентное сканирование (WMI/SSH/SNMP),"Функция бесагентного сканирования позволяет собирать CI-атрибуты с устройств без установки агентов через стандартные сетевые протоколы. Этот метод применяется для устройств, где установка агентов невозможна или нежелательна: сетевое оборудование, устаревшие ОС, устройства сторонних организаций, embedded-системы.","WMI (Windows Management Instrumentation): удалённое подключение через TCP 135/445 с учётными данными доменного администратора, выполнение WQL-запросов к классам Win32_*. SSH (Linux/Unix): подключение по TCP 22 с ключом или паролем, выполнение скриптов сбора данных (shell, Python). SNMP v1/v2c/v3: опрос MIB-дерева (1.3.6.1.2.1.25 для host resources, 1.3.6.1.4.1 для vendor-specific) для получения аппаратных параметров и сетевой конфигурации. Таймауты: WMI — 60 секунд, SSH — 30 секунд, SNMP — 10 секунд на запрос. Требования: сетевой доступ от сканера к устройству, открытые порты, корректные учётные данные.","Бесагентное сканирование расширяет покрытие Discovery на устройства, где установка агентов невозможна, и снижает операционные затраты на развёртывание. Однако метод имеет ограничения: неполнота данных (нет информации о пользователях и некоторых параметрах ПО), зависимость от сетевой доступности, необходимость хранения учётных данных. Организации используют комбинацию агентного и бесагентного сбора для достижения 98%+ покрытия."
