тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Синхронизация стоимости активов,"Центральный домен ERP Sync, обеспечивающий двунаправленный обмен финансовыми данными об IT-активах между системой управления активами (ITAM) и корпоративной ERP-системой. Включает передачу стоимости приобретения, балансовой стоимости, амортизационных начислений и остаточной стоимости, а также обратный поток данных о закупках из ERP в ITAM. Является фундаментом для обеспечения соответствия операционного и бухгалтерского учёта активов.","Реализуется через интеграционные адаптеры, соединяющие ITAM-платформу с ERP-системой (SAP, Oracle, 1С, Microsoft Dynamics) через REST API, SOAP, файловый обмен (XML, CSV, JSON) или ESB/iPaaS-шину. Поддерживает маппинг финансовых атрибутов активов (purchase price, book value, depreciation, residual value) на бухгалтерские счета ERP по типам активов (ОС, НМА, материалы). Интегрируется с зонами z-fin (ITAM, SAM, FinOps), z-cmdb (CMDB) и зоной источников (ERP/Procurement). Синхронизация выполняется по расписанию (ежедневно/ежечасно) или в реальном времени через событийную шину.","Устраняет расхождения между операционным учётом ITAM и бухгалтерским учётом ERP, которые типично достигают 10–25% в организациях без автоматической синхронизации. Обеспечивает единую версию правды о стоимости IT-инфраструктуры для CFO, аудиторов и IT-директора. Сокращает трудозатраты на ручное согласование данных между IT и бухгалтерией на 70–90%. Позволяет проходить финансовые аудиты без критических замечаний за счёт доказуемой связки каждого актива с финансовой проводкой."
функция,3,Синхронизация стоимости активов ITAM ? ERP,"Функция автоматической передачи финансовых атрибутов IT-активов из ITAM в ERP-систему для формирования бухгалтерских проводок: стоимость приобретения, балансовая стоимость, накопленная амортизация, остаточная стоимость. Обеспечивает точное отражение IT-активов в финансовой отчётности организации.","Передаёт финансовые атрибуты по связи e39: первоначальная стоимость (purchase price), текущая балансовая стоимость (book value), накопленная амортизация (accumulated depreciation), остаточная стоимость (residual value), валюта, дата приобретения, дата ввода в эксплуатацию, срок полезного использования. Поддерживает маппинг типов активов ITAM на план счетов ERP (ОС-01, НМА-04, КВ-08 и др.), валютную конверсию, группировку по бухгалтерским счетам. Использует интеграционные протоколы: REST API, OData, RFC (для SAP), файловый обмен через SFTP. Обеспечивает идемпотентность операций и rollback при ошибках.","Гарантирует, что каждый актив, учтённый в ITAM, корректно отражается в бухгалтерском балансе. Исключает ситуации, когда активы числятся в эксплуатации, но отсутствуют в финансовом учёте, или наоборот — списаны в бухгалтерии, но продолжают эксплуатироваться. Типичный результат — сокращение расхождений между ITAM и ERP до 0,3% и менее. Позволяет CFO за минуты получить точную стоимость IT-инфраструктуры в разрезе категорий активов."
функция,3,Синхронизация данных о закупках ERP ? ITAM,Функция автоматической передачи данных о закупках IT-активов из ERP-системы в ITAM для создания инвентарных записей и запуска процессов управления жизненным циклом. Каждая закупочная проводка (purchase order) в ERP инициирует появление актива в операционном учёте ITAM.,"Получает данные из ERP по связи с Procurement: номер заказа на закупку (PO), номенклатура, количество, стоимость единицы и общая стоимость, поставщик, дата заказа, дата поступления, бюджетная статья, cost center. Автоматически создаёт черновые записи активов в ITAM со статусом 'planning' или 'procurement'. Интегрируется с модулем Asset Lifecycle для запуска workflow ввода в эксплуатацию. Поддерживает различные форматы экспорта данных из ERP: IDoc (SAP), XML-пакеты, CSV-файлы, прямые API-вызовы. Обеспечивает двунаправленную связь: ERP ? ITAM (данные о закупке) и ITAM ? ERP (подтверждение приёмки и ввода в эксплуатацию).","Исключает двойной ввод данных о закупках: бухгалтерия регистрирует закупку в ERP, а ITAM автоматически получает все необходимые данные. Сокращает время от момента закупки до появления актива в операционном учёте с дней до часов. Обеспечивает прослеживаемость каждого актива до источника закупки (PO-номер, поставщик, договор), что критично для аудита и управления поставщиками. Позволяет выявлять активы, поступившие без закупочной документации (shadow procurement)."
функция,2,Синхронизация амортизации и балансовой стоимости,"Функция обмена данными об амортизационных начислениях между ERP и ITAM. ERP передаёт в ITAM рассчитанные амортизационные суммы, а ITAM обогащает ERP данными о фактическом состоянии и местоположении активов для корректировки амортизационных параметров.","Передаёт из ERP в ITAM: месячные/квартальные амортизационные начисления, остаточную стоимость на отчётную дату, сумму начисленной амортизации с начала эксплуатации, изменения амортизационных параметров (срок полезного использования, коэффициент ускоренной амортизации). Обратный поток из ITAM в ERP: фактический статус актива (в эксплуатации, на хранении, выведен из эксплуатации), фактическое местоположение, данные об инцидентах, влияющих на стоимость. Интегрируется с модулем TCO в ITAM для расчёта полной стоимости владения с учётом амортизации.","Обеспечивает корректный расчёт амортизации с учётом фактического состояния активов: ускоренная амортизация для активов с высокой частотой отказов, корректировка срока при модернизации. Позволяет IT-финансистам видеть остаточную стоимость каждого актива и принимать обоснованные решения о замене. Сокращает ошибки в амортизационных расчётах на 80–90% за счёт исключения ручного переноса данных."
категория,3,Синхронизация лицензий и прав,"Домен ERP Sync, обеспечивающий передачу данных о программных лицензиях из системы управления программными активами (SAM) и License Management в корпоративную ERP-систему. Включает синхронизацию стоимости лицензий, количества приобретённых прав, статусов maintenance и renewal, а также данных об effective license position (ELP) для финансового учёта программного обеспечения как нематериальных активов.","Реализуется через интеграцию SAM и License Management с ERP по связи e40. Передаёт данные: наименование продукта и вендора, тип лицензии (perpetual, subscription, concurrent, named user), количество приобретённых прав, стоимость лицензии и maintenance, срок действия, метрика лицензирования (cores, sockets, CALs), effective license position (избыток/дефицит). Поддерживает маппинг лицензий на бухгалтерские счета НМА (счёт 04), расходы будущих периодов, операционные расходы. Интегрируется с зонами z-fin (SAM, License Mgmt) и зоной источников (ERP/Procurement) для получения данных о закупках лицензий.","Обеспечивает точный финансовый учёт программных активов, который часто остаётся 'слепой зоной' в бухгалтерии. Позволяет CFO видеть совокупные расходы на ПО в разрезе вендоров, типов лицензий и подразделений. Критично для подготовки к аудитам вендоров: финансовые данные о лицензиях в ERP полностью соответствуют операционным данным в SAM. В организации с 5000+ рабочих мест типичная экономия от выявления неиспользуемых лицензий составляет 15–30% годового бюджета на ПО."
функция,3,Передача данных о лицензиях SAM ? ERP,"Функция синхронизации данных о приобретённых программных лицензиях, их стоимости и статусах из SAM в ERP для формирования финансовых проводок по нематериальным активам и расходам на программное обеспечение.","Передаёт по связи e40: данные о приобретённых лицензиях (product, vendor, edition, version, metric), количество прав (entitlements), стоимость приобретения и annual maintenance, даты начала и окончания действия, тип соглашения (EA, MPSA, Select, Open License), номер контракта, effective license position (дефицит/избыток). Автоматически классифицирует лицензии для бухгалтерского учёта: perpetual-лицензии как НМА (счёт 04), subscription как расходы будущих периодов, maintenance как текущие расходы. Поддерживает учёт по вендорам (Microsoft, Oracle, SAP, Adobe, VMware и др.) с учётом специфических лицензионных метрик каждого вендора.","Гарантирует, что каждая приобретённая лицензия отражена в финансовом учёте с корректной стоимостью и сроком. Исключает ситуации, когда лицензии учтены в SAM, но отсутствуют в бухгалтерии, или наоборот — оплачены через ERP, но не появились в операционном учёте SAM. Позволяет рассчитывать полную стоимость владения ПО (TCO software) с учётом лицензий, maintenance и стоимости инфраструктуры. Критична для подготовки к аудитам вендоров: расхождение между ERP и SAM менее 0,5% считается эталонным показателем."
функция,2,Синхронизация облачных расходов FinOps ? ERP,"Функция передачи данных об облачных расходах из системы FinOps в ERP для включения в корпоративную финансовую отчётность. Обеспечивает учёт облачных затрат по статьям бюджета с привязкой к подразделениям, проектам и бизнес-сервисам.","Получает агрегированные данные об облачных расходах от FinOps: расходы по провайдерам (AWS, Azure, GCP, Yandex Cloud), по типам сервисов (IaaS, PaaS, SaaS), по подразделениям и проектам (chargeback allocation), рекомендации по оптимизации с расчётом потенциальной экономии. Выполняет маппинг облачных сервисов на бухгалтерские статьи расходов. Поддерживает различные модели учёта: OpEx (операционные расходы по факту потребления), Capitalized cloud (капитализируемые затраты на разработку), Reserved Instances/Savings Plans (предоплата с последующим списанием). Интегрируется с FinOps по связи e41 и с CMP для получения данных об использовании ресурсов.","Решает проблему 'непрозрачного облачного счёта', когда финансовая служба видит агрегированную сумму от провайдера без понимания, какие подразделения и сервисы её сформировали. Позволяет распределять облачные затраты по бюджетным статьям и подразделениям с точностью до процента. Обеспечивает соответствие облачных расходов корпоративным стандартам финансовой отчётности. В организации с multi-cloud стратегией типичный результат — снижение необоснованных облачных расходов на 20–35%."
функция,1,Синхронизация бюджетных статей и cost centers,Функция сопоставления IT-категорий активов и типов расходов со статьями корпоративного бюджета и центрами затрат (cost centers) в ERP. Обеспечует корректную классификацию IT-затрат для управленческой отчётности и бюджетного контроля.,"Реализует маппинг: типы активов ITAM (серверы, СХД, сетевое оборудование, ПО, лицензии) ? бюджетные статьи ERP; подразделения-владельцы из CMDB ? cost centers ERP; категории облачных расходов FinOps ? статьи бюджета CapEx/OpEx. Поддерживает иерархическую структуру бюджета: годовой бюджет ? кварталы ? месяцы. Интегрируется с ERP-модулем управления бюджетом для контроля факта против лимита (budget vs actual). Обеспечивает rollup затрат по иерархии организационной структуры.","Позволяет CFO и контролёрам видеть IT-затраты в привычной структуре корпоративного бюджета, а не в технической классификации ITAM. Обеспечивает точный budget vs actual анализ с выявлением отклонений по статьям и подразделениям. Критична для крупных холдингов с централизованным бюджетированием: каждый рубль IT-затрат распределён по правильной статье и правильному центру затрат."
категория,3,Маппинг и согласование данных,"Домен ERP Sync, отвечающий за установление соответствия между IT-активами в ITAM/SAM и объектами финансового учёта в ERP, а также за выявление и устранение расхождений между операционным и бухгалтерским учётом. Включает правила маппинга активов на счета, алгоритмы согласования (reconciliation), выявление orphaned assets и ghost records, управление расхождениями.","Реализуется через настраиваемый движок маппинга и reconciliation: правила сопоставления IT-активов с бухгалтерскими счетами по типу, категории, стоимости; алгоритмы выявления дубликатов и противоречий; автоматическое разрешение расхождений по заданным правилам; формирование отчётов о необработанных расхождениях для ручного разбора. Интегрируется с реконсиляционным слоем z-norm для получения дедуплицированных CI из CMDB. Использует уникальные идентификаторы для связки: IT-актив ? инвентарный номер ? бухгалтерская запись ? физическое устройство.","Снижает расхождения между операционным и бухгалтерским учётом с типичных 10–25% до 0,3–1%. Автоматизирует рутинную работу по согласованию данных, высвобождая 2–4 FTE в крупных организациях. Предотвращает финансовые риски: заниженная амортизация, неучтённые активы, двойное списание. Обеспечивает аудиторский след каждой корректировки с фиксацией причины и ответственного."
функция,3,Маппинг IT-активов на бухгалтерские счета,"Функция установления правил соответствия между типами IT-активов и статьями бухгалтерского учёта в ERP: основные средства (ОС-01), нематериальные активы (НМА-04), материалы и запасные части, операционные расходы. Обеспечивает корректную классификацию каждого актива для финансовой отчётности.","Реализует настраиваемую матрицу маппинга: тип актива (сервер, СХД, сетевое оборудование, рабочая станция, ПО, лицензия) ? бухгалтерский счёт ? субсчёт ? аналитический признак. Поддерживает сложные правила: серверы стоимостью выше порога ? ОС-01, ниже порога ? расходы; perpetual-лицензии ? НМА-04, subscription ? расходы будущих периодов; облачные IaaS ? текущие расходы, облачные Reserved Instances ? предоплата с равномерным списанием. Интегрируется с планом счетов ERP и обновляется при изменении учётной политики. Поддерживает мультивалютный учёт и конверсию по курсу ЦБ на дату операции.","Гарантирует корректную классификацию IT-активов в соответствии с учётной политикой организации и требованиями МСФО/РСБУ. Исключает ошибки классификации, приводящие к искажению баланса и некорректному расчёту амортизации. Позволяет быстро адаптировать учёт при изменении учётной политики или внедрении новых МСФО-стандартов (IFRS 16, IFRS 15). В организациях с разветвлённой номенклатурой IT-активов сокращает ошибки маппинга на 90%+."
