тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Понимание облачного использования и затрат,"Фундаментальный домен FinOps, обеспечивающий сбор, нормализацию и анализ данных о потреблении облачных ресурсов и связанных затратах. Включает интеграцию биллинговых данных от мульти-облачных провайдеров, их структурирование, обогащение метаданными и предоставление прозрачной картины расходов для всех заинтересованных сторон. Без качественного выполнения этого домена невозможны корректное распределение затрат, прогнозирование и оптимизация.","Реализуется через интеграцию с API облачных провайдеров (AWS CUR, Azure EA, GCP Billing, Yandex Cloud) и платформами управления облаком (CMP) для получения детализированных биллинговых данных. Использует нормализацию данных через спецификацию FOCUS (FinOps Open Cost and Usage Specification), обогащение тегами и метками из CMDB, привязку к иерархии организационной структуры. Архитектурно интегрируется с зонами z-cld (CMP), z-cmdb (CMDB), z-norm (нормализация) и z-bi (аналитика).","Обеспечивает полную прозрачность облачных расходов, устраняя 'черные ящики' в биллинге. Позволяет ответить на вопрос 'куда уходят деньги' в разрезе сервисов, проектов, команд и окружений. Экономический эффект достигается за счет выявления неучтенных затрат (типично 10-20% от общего облачного бюджета), сокращения времени на подготовку финансовой отчетности с недель до часов и создания базы для chargeback/showback."
функция,3,Сбор и нормализация данных о затратах (Data Ingestion),"Автоматизированный сбор биллинговых и usage-данных из всех источников облачных затрат — публичных облаков, частных облаков, Kubernetes, SaaS-сервисов и лицензий — с последующей нормализацией в единый формат данных для анализа и распределения.","Интегрируется с биллинговыми API облачных провайдеров (AWS Cost and Usage Report, Azure Cost Management API, GCP Cloud Billing API), платформами Kubernetes (Kubecost, OpenCost) и SaaS-сервисами (Snowflake, Datadog, Databricks). Нормализация данных выполняется через FOCUS-спецификацию, что обеспечивает единую схему полей (service, region, resource_id, tags) независимо от источника. Поддерживает ежедневную или почасовую гранулярность данных, обработку рибейтных программ и кредитов.","Устраняет ручной сбор данных из разрозненных источников, сокращая трудозатраты финансовых аналитиков на 60-80%. Обеспечивает единую версию правды об облачных расходах, исключая ошибки консолидации и дублирования. Позволяет выявлять неожиданные строки в биллинге — неучтенные подписки, теневые облачные сервисы, ошибочные тарификации — с экономией до 5-10% облачного бюджета."
функция,3,Распределение затрат (Cost Allocation),"Механизм присвоения облачных расходов конкретным структурным единицам — командам, проектам, приложениям, окружениям или бизнес-единицам — с использованием тегов, меток, иерархических правил и виртуального тегирования на основе данных CMDB.","Реализуется через многоуровневую модель распределения: прямое распределение по тегам (tag-based allocation), каскадное наследование меток из CMDB, правила распределения shared-ресурсов (shared cost splitting по пропорциям CPU/RAM/пользователей). Поддерживает виртуальное тегирование (virtual tagging) для ресурсов без корректных тегов через сопоставление с данными CMDB (owner, app, env, BU). Интегрируется с нормализационным слоем z-norm для обогащения данных о владельцах и организационной принадлежности.","Создает финансовую подотчетность на уровне команд и продуктов, превращая облачные затраты из централизованной статьи расходов в распределяемые по бизнес-подразделениям. Позволяет реализовать модели showback (прозрачность) и chargeback (возврат затрат), что мотивирует команды к ответственному потреблению ресурсов. Типичный результат — снижение нераспределенных затрат с 30-40% до менее 10% за первый год внедрения."
функция,2,Отчетность и аналитика (Reporting & Analytics),"Формирование управленческих отчетов и аналитических дашбордов по облачным затратам: тренды, структура расходов, сравнительный анализ, детализация до уровня отдельных ресурсов и сервисов с ролевым доступом для разных категорий пользователей.","Предоставляет настраиваемые дашборды и отчеты с детализацией по провайдерам, сервисам, проектам, командам и временным периодам. Поддерживает drill-down от агрегированных показателей до уровня отдельных ресурсов. Интегрируется с BI-системами (Power BI, Tableau, Looker) через API и экспорт данных. Реализует ролевую модель доступа: CFO видит общую картину, руководитель команды — затраты своей команды, инженер — детализацию по своим ресурсам. Данные передаются в зону z-bi для включения в управленческую отчетность.","Сокращает время подготовки финансовой отчетности с недель до часов, предоставляя самообслуживаемый доступ к данным. Позволяет проводить ad-hoc анализ без привлечения аналитиков. Повышает качество управленческих решений за счет актуальных и достоверных данных о структуре и динамике облачных затрат."
функция,3,Управление аномалиями (Anomaly Management),Автоматическое обнаружение нехарактерных всплесков облачных затрат или потребления ресурсов с маршрутизацией алертов ответственным владельцам и отслеживанием процесса устранения аномалий.,"Использует алгоритмы машинного обучения для выявления отклонений от исторических паттернов потребления: статистические модели (z-score, seasonality decomposition), пороговые правила и ML-модели прогнозирования. Интегрируется с системами уведомлений (Slack, Teams, Jira, ServiceNow) для автоматической маршрутизации алертов владельцам ресурсов из CMDB. Поддерживает настройку чувствительности, исключения (maintenance windows), подтверждение и эскалацию аномалий. Среднее время обнаружения (MTTD) сокращается с дней до 1-4 часов.","Предотвращает 'сюрпризы' в конце месяца, позволяя выявлять и устранять аномалии в день их возникновения. Типичные сценарии: непреднамеренно запущенный кластер с GPU, забытый снапшот объемом в терабайты, ошибка в конфигурации автомасштабирования. Экономия от предотвращения одной крупной аномалии может составлять десятки тысяч долларов в месяц."
категория,3,Оценка бизнес-ценности,"Домен FinOps, связывающий данные об облачных затратах и потреблении с бизнес-метриками и ценностью. Обеспечивает прогнозирование расходов, бюджетирование, расчет unit economics и бенчмаркинг, позволяя оценить ROI от облачных инвестиций и выровнять технологические затраты с бизнес-целями организации.","Строится на агрегированных и распределенных данных о затратах, обогащенных бизнес-контекстом из CMDB, ERP и ITSM. Использует статистические методы прогнозирования (time-series analysis, ARIMA, Prophet) и модели unit economics (cost per transaction, cost per user, cost per API call). Интегрируется с ERP-системами для сопоставления облачных расходов с бюджетными статьями и финансовой отчетностью. Выходные данные поступают в зону z-bi для управленческой аналитики и Executive Dashboards.","Позволяет финансовой службе и бизнес-подразделениям планировать облачные затраты с точностью плюс-минус 10-15%, исключая неожиданные перерасходы. Unit economics дает инженерным командам понимание стоимости каждой транзакции или пользователя, мотивируя к оптимизации. Бенчмаркинг внутри организации и по отрасли выявляет лидеров и аутсайдеров эффективности использования облака."
функция,3,Прогнозирование затрат (Forecasting),"Построение прогнозов облачных расходов на основе исторических данных, планируемых изменений инфраструктуры, сезонности и бизнес-роста с оценкой точности прогноза и отклонений факта от прогноза.","Использует временные ряды и ML-модели (ARIMA, Prophet, LSTM) для построения прогнозов с различной гранулярностью: краткосрочные (ежемесячные), среднесрочные (квартальные) и долгосрочные (годовые). Учитывает факторы: исторические тренды, планируемые изменения (новые проекты, масштабирование), сезонность (пиковые нагрузки, Black Friday), committed discounts. Интегрируется с ERP для сопоставления прогнозов с бюджетными лимитами. Variance analysis рассчитывает отклонение фактических расходов от прогноза с детализацией по драйверам.","Повышает предсказуемость облачных расходов, позволяя финансовой службе корректировать бюджеты до наступления перерасхода. Типичная точность прогноза на месяц вперед — 85-95%, на квартал — 75-85%. Сокращает количество emergency budget reviews и позволяет заранее планировать committed purchases для снижения ставок."
функция,2,Бюджетирование и контроль (Budgeting),"Установление бюджетных лимитов на облачные расходы на различных уровнях иерархии — организация, бизнес-единица, проект, команда — с автоматическим отслеживанием исполнения и уведомлениями при приближении к лимитам.","Поддерживает иерархическую модель бюджетов с наследованием и rollup. Реализует механизмы алертов при достижении пороговых значений (50%, 75%, 90%, 100% бюджета) с маршрутизацией уведомлений владельцам через интеграции с ITSM и мессенджерами. Интегрируется с ERP Sync для сопоставления облачных бюджетов с корпоративной системой бюджетирования. Поддерживает what-if сценарии для оценки влияния планируемых изменений на бюджет.",Предотвращает неконтролируемый рост облачных расходов через проактивное управление бюджетами. Позволяет перевести облачные затраты из модели 'оплата по факту' в управляемую модель с лимитами и предупреждениями. Средний эффект — сокращение перерасходов бюджета на 15-25%.
функция,2,Unit Economics (экономика единицы),"Расчет и отслеживание стоимостных метрик на единицу бизнес-значения — стоимость на пользователя, транзакцию, запрос, развертывание — связывая технические метрики облачного потребления с бизнес-показателями.","Формирует метрики unit cost путем деления облачных затрат (или их части, относящейся к конкретному сервису) на бизнес-драйверы: количество пользователей, число транзакций, объем обработанных данных, количество API-вызовов. Данные бизнес-драйверов поступают из систем мониторинга (APM), аналитических платформ или ERP. Поддерживает трендовый анализ unit cost во времени для оценки эффективности оптимизации. Интегрируется с APM-системами (зона z-ops) для получения производственных метрик.",Дает инженерным и продуктовым командам понятную метрику эффективности — 'сколько стоит один пользователь для нашего сервиса'. Позволяет принимать обоснованные решения об архитектуре и инфраструктуре на основе экономических критериев. Служит KPI для оценки зрелости FinOps-практики: организации на уровне Run отслеживают 70%+ spend через unit economics.
функция,1,Бенчмаркинг и сравнительный анализ (Benchmarking),"Сравнение показателей эффективности использования облака между подразделениями организации или с отраслевыми эталонами для выявления лидеров, аутсайдеров и зон максимального потенциала оптимизации.","Агрегирует метрики эффективности (cost per vCPU-hour, utilization rate, RI coverage, tagging conformance) по подразделениям, проектам и командам. Поддерживает внутренний бенчмаркинг (сравнение команд) и внешний (сопоставление с отраслевыми данными, например, из отчетов FinOps Foundation). Интегрируется с BI-системами для визуализации рейтингов и трендов.","Создает конкуренцию за эффективность между командами через прозрачные рейтинги. Выявляет лучшие практики, которые можно масштабировать на всю организацию. Позволяет установить реалистичные целевые показатели (targets) на основе данных лидеров, а не абстрактных норм."
