тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Управление рисками (Risk Management),"Централизованная дисциплина идентификации, оценки, приоритизации и мониторинга рисков на уровне всей организации. Обеспечивает единый реестр рисков с привязкой к бизнес-процессам, активам и регуляторным требованиям, позволяя руководству принимать обоснованные решения на основе количественной и качественной оценки рисков.","Реализуется через цифровой реестр рисков с поддержкой матриц вероятность/воздействие, автоматическим скорингом и каскадированием рисков от бизнес-уровня до технического. Интегрируется с SIEM для получения risk context (e35), с Vulnerability Management для привязки к уязвимостям, с CMDB для связывания рисков с конкретными активами. Поддерживает количественные методы оценки (VaR, FAIR) и качественные шкалы. Входные потоки: события безопасности от SIEM, уязвимости от VM, данные об активах из CMDB.","Снижает неопределённость при принятии решений и предотвращает материальные потери от реализованных рисков. Организации с зрелым управлением рисками сокращают финансовые потери от инцидентов на 40–60%. Обеспечивает board-level visibility: руководство видит агрегированный профиль рисков в реальном времени, а не по результатам ежегодной оценки. Привязка рисков к активам из CMDB позволяет точно рассчитывать exposure по бизнес-сервисам и обосновывать инвестиции в защиту."
категория,3,Управление контролями (Control Management),"Дисциплина управления внутренними контролями организации: создание библиотеки контролей, их тестирование, оценка эффективности и отслеживание дефектов. Контроли связываются с рисками, регуляторными требованиями и политиками, формируя замкнутый цикл управления. Является основой для доказательства надёжности системы внутреннего контроля перед аудиторами и регуляторами.","Представляет собой централизованную библиотеку контролей с атрибутами: владелец, периодичность тестирования, метод тестирования (manual/automated), связанные риски и требования. Интегрируется с PAM для получения control evidence (e38) — автоматических доказательств исполнения контролей привилегированного доступа. Поддерживает continuous control monitoring (CCM) через API-опросы целевых систем. Результаты тестирования попадают в реестр дефектов контролей с автоматическим расчётом зрелости. Интеграция с ITSM создаёт задачи на устранение дефектов контролей.","Обеспечивает доказуемость надёжности системы внутреннего контроля (SOX, внутренний аудит, регуляторные проверки). Организации с автоматизированным сбором evidence сокращают время подготовки к аудиту с недель до часов. Снижает стоимость compliance: один контроль, отображённый на несколько требований (mapping), исключает дублирование работы. Continuous monitoring выявляет деградацию контролей в реальном времени, а не раз в квартал."
категория,3,Управление соответствием (Compliance Management),"Дисциплина обеспечения соответствия организации регуляторным требованиям, стандартам отрасли и внутренним политикам. Включает управление реестром обязательств (obligations register), картирование требований на контроли, отслеживание изменений регуляторики и формирование compliance-отчётности. Является ключевым звеном при прохождении сертификаций и регуляторных аудитов.","Реализуется через реестр регуляторных требований с поддержкой множественных фреймворков (ISO 27001, NIST CSF, PCI DSS, GDPR, SOX, DORA). Каждое требование отображается (mapped) на контроли, риски и политики. Поддерживает regulatory change management: отслеживание изменений в законодательстве с автоматическим анализом влияния на текущий набор контролей. Интегрируется с DLP для получения data classification (e63) — данных о типах конфиденциальной информации и её расположении. Выход: compliance score, heat maps, отчёты о зрелости по фреймворкам.","Снижает риск регуляторных санкций, штрафов и репутационных потерь. GDPR-штрафы достигают 4% годовой выручки; PCI DSS — от $5 000 до $100 000 в месяц. Автоматизированное compliance-управление сокращает время подготовки к аудиту на 70–85%. Многофреймворковый mapping исключает дублирование: один контроль покрывает требования ISO 27001, SOC 2 и PCI DSS одновременно. Руководство получает real-time visibility в статус compliance по всем регуляторным направлениям."
категория,3,Управление аудитом (Audit Management),"Дисциплина планирования, выполнения и отслеживания внутренних аудитов. Обеспечивает полный жизненный цикл аудиторской проверки: от формирования годового плана аудитов через сбор evidence и фиксацию находок (findings) до отслеживания исправления и закрытия замечаний. Является третьей линией защиты в модели Three Lines of Defence и обеспечивает независимую оценку эффективности GRC-программы.","Включает модуль планирования аудитов с календарём, распределением ресурсов и оценкой рисков аудируемых областей. Рабочие документы (workpapers) создаются и согласовываются в системе. Findings автоматически порождают задачи на исправление в ITSM. Интегрируется с библиотекей контролей для проверки их эффективности и с реестром рисков для приоритизации аудиторских проверок. Поддерживает methodology-шаблоны (COSO, ISO 19011). Выход: аудиторские отчёты, рейтинги зрелости, трекинг remediation.","Обеспечивает независимую уверенность для совета директоров и регуляторов в эффективности системы внутреннего контроля. Сокращает время проведения аудита на 30–50% за счёт автоматизации сбора evidence и workflow согласования. Структурированный трекинг findings гарантирует, что замечания не теряются и закрываются в срок. История аудитов создаёт базу знаний для непрерывного улучшения."
функция,2,Управление политиками (Policy Management),"Дисциплина управления жизненным циклом корпоративных политик, стандартов и процедур в области информационной безопасности, рисков и compliance. Обеспечивает централизованную библиотеку политик с версионированием, workflow утверждения, распределением для ознакомления (attestation) и отслеживанием соответствия политикам.","Реализуется через документооборотовый модуль с поддержкой workflow утверждения (draft ? review ? approve ? publish ? archive). Каждая политика связывается с требованиями compliance-фреймворков и контролями. Модуль attestation рассылает сотрудникам уведомления о необходимости подтвердить ознакомление с политикой, отслеживает процент подтверждений и эскалирует просрочки. Поддерживает role-based доступ: разные политики для разных категорий сотрудников. Интеграция с IAM позволяет ограничить доступ к системам до подтверждения attestation.","Гарантирует, что сотрудники осведомлены о корпоративных требованиях и несут ответственность за их соблюдение. Сокращает риск инцидентов, вызванных человеческим фактором, на 25–40%. В судебных и регуляторных разбирательствах подтверждённая attestation служит доказательством принятых мер предосторожности. Централизованное управление исключает ситуацию, когда разные подразделения работают по устаревшим версиям политик."
функция,2,Управление исправлениями (Remediation Management),"Дисциплина отслеживания и управления планами исправления выявленных несоответствий, дефектов контролей и замечаний аудита. Обеспечивает структурированный workflow от момента выявления проблемы до её подтверждённого закрытия с автоматическим трекингом сроков и эскалацией просрочек.","Каждое несоответствие (finding, deficiency, gap) регистрируется с атрибутами: описание, владелец исправления, срок, статус (open ? in progress ? resolved ? verified ? closed). Интегрируется с ITSM для автоматического создания задач на исправление с привязкой к CI из CMDB. Поддерживает exception management: оформление временных исключений с обоснованием и согласованием. Метрики: среднее время исправления, процент просроченных мероприятий, backlog по критичности. Автоматические reminders и escalations при приближении к дедлайну.","Гарантирует, что выявленные проблемы не остаются без внимания и закрываются в согласованные сроки. Организации без системного remediation management имеют среднее время исправления критичных несоответствий 90+ дней; с GRC — менее 30 дней. Полнота и прозрачность трекинга повышают доверие аудиторов и регуляторов. При регуляторной проверке демонстрация замкнутого цикла выявление?исправление?подтверждение снижает вероятность санкций."
функция,2,Управление рисками третьих сторон (Third-Party Risk Management),"Дисциплина оценки, мониторинга и управления рисками, связанными с внешними контрагентами, поставщиками и партнёрами. Обеспечивает единый реестр вендоров с оценкой рисков по категориям: информационная безопасность, compliance, финансовая устойчивость, непрерывность бизнеса. Критична для организаций с развитой экосистемой аутсорсинга и облачных сервисов.","Включает реестр вендоров с оценкой критичности и категоризацией рисков. Поддерживает автоматизированные опросники (questionnaires) для due diligence при onboarding. Интегрируется с внешними источниками threat intelligence для мониторинга компрометаций и утечек данных, связанных с вендорами. Каскадирование рисков: оценка риска поставщика влияет на общий профиль рисков организации. Workflow offboarding с проверкой отзыва доступов и уничтожения данных. Выход: vendor risk score, дашборды exposure по третьим сторонам.","Снижает риск инцидентов через цепочку поставщиков, которая является причиной 60%+ утечек данных. Структурированный due diligence при onboarding сокращает время проверки вендоров с недель до дней. Мониторинг внешних источников позволяет реагировать на компрометацию поставщика в течение часов, а не месяцев. При аудитах демонстрирует управляемость supply chain рисков."
функция,2,Управление инцидентами комплаенса (Compliance Incident Management),"Дисциплина регистрации, расследования и управления инцидентами, затрагивающими compliance и нормативные требования. Включает нарушения политик, утечки данных, регуляторные обращения и whistleblower-сообщения. Обеспечивает замкнутый цикл от регистрации до закрытия с обязательным анализом корневых причин.","Представляет собой модуль регистрации compliance-инцидентов с категоризацией (data breach, policy violation, regulatory inquiry, whistleblower). Интегрируется с SIEM для автоматического создания инцидентов на основе коррелированных событий безопасности, с DLP для регистрации инцидентов утечек данных, с ITSM для маршрутизации задач расследования. Поддерживает обязательное поле root cause analysis и creation of corrective actions. Расчёт regulatory impact: оценка необходимости уведомления регулятора в установленные сроки (например, 72 часа по GDPR).","Сокращает время реагирования на compliance-инциденты на 50–70% за счёт автоматизации регистрации и маршрутизации. Критично для соблюдения сроков уведомления регуляторов: GDPR требует 72 часов, PCI DSS — немедленного уведомления. Структурированный анализ корневых причин предотвращает повторные инциденты. Защищает репутацию организации через быстрое и управляемое реагирование."
функция,2,Управление фреймворками (Framework Management),"Дисциплина управления множественными стандартами и фреймворками governance, risk и compliance. Обеспечивает централизованную библиотеку требований с cross-mapping между фреймворками, отслеживание версий и управление scope сертификаций.","Поддерживает загрузку и управление требованиями ведущих фреймворков: ISO 27001/27002, NIST CSF 2.0, COBIT 2019, COSO ERM, PCI DSS, SOC 2, GDPR, HIPAA, DORA, NIS2. Модуль cross-framework mapping связывает требования разных стандартов через общий набор контролей (например, один контроль покрывает A.12.4 ISO 27001 и DE.AE NIST CSF). Поддерживает impact analysis при обновлении версий фреймворков. Интеграция с управлением контролями обеспечивает автоматический расчёт покрытия (coverage) каждого фреймворка.","Исключает дублирование работы при работе с несколькими стандартами: один контроль покрывает требования 3–5 фреймворков одновременно. Сокращает затраты на compliance на 30–40% за счёт unified control framework. При обновлении стандарта (например, переход на NIST CSF 2.0) impact analysis показывает, какие контроли требуют изменения. Обеспечивает единую картину зрелости по всем фреймворкам для руководства."
функция,2,Отчётность и аналитика GRC (Reporting & Analytics),"Дисциплина формирования управленческой и регуляторной отчётности по всем аспектам GRC: профиль рисков, эффективность контролей, статус compliance, прогресс исправления. Обеспечивает руководству и аудиторам структурированные дашборды с drill-down до операционных данных.","Включает набор преднастроенных и ad-hoc отчётов: risk heat maps, control effectiveness dashboards, compliance scorecards, remediation trend analysis. Поддерживает KPI: процент контролей с автоматическим evidence, среднее время исправления, показатель зрелости (maturity score). Интегрируется с BI/DWH для глубокой аналитики и Executive Dashboards для C-level отчётности. Данные агрегируются из всех модулей GRC в единую витрину. Поддерживает экспорт в форматы для аудиторов и регуляторов.",Преобразует операционные данные GRC в управленческие инсайты для принятия решений. C-level дашборды дают ответ на вопрос «Каков текущий профиль рисков и compliance?» за минуты. Структурированная отчётность сокращает время подготовки к аудиту на 70–85%. Исторические тренды позволяют прогнозировать динамику рисков и обосновывать инвестиции в security и compliance.
