категория,,,,
балл,название,описание,интерпритация,проверка
3,Критическая категория,"формирует сам класс решения
обязательна для базового сценария использования
напрямую влияет на позиционирование продукта на рынке","Основа продукта, без которой он не может считаться представителем данного класса",Если убрать категорию — продукт перестает быть этим классом решений
2,Усиливающая категория,"расширяет и усиливает основной класс решения
может влиять на выбор между конкурентами
повышает ценность, но не является обязательной для класса","Важный слой возможностей, который делает продукт сильнее, но не определяет его","Если убрать категорию — продукт остается в классе, но становится заметно слабее"
1,Периферийная категория,"не влияет на принадлежность продукта к классу решений
не является фактором выбора при покупке
носит вспомогательный или нишевой характер","Дополняет продукт, может закрывать отдельные запросы клиентов, но не усиливает класс решения",Если убрать категорию — продукт не меняет свою сущность
,,,,
,,,,
функция,,,,
балл,название,описание,интерпритация,проверка
3,Критическая функция,"необходима для реализации категории
ожидается клиентом “по умолчанию”
без нее категория считается неполной или номинальной","Базовая способность, без которой категория не существует","Удаление функции делает категорию формально присутствующей, но фактически неработающей"
2,Усиливающая функция,"расширяет возможности категории
может быть фактором выбора между решениями
повышает удобство, глубину или автоматизацию","Значимое улучшение, но не обязательный минимум","Удаление функции снижает конкурентоспособность, но не “ломает” категорию"
1,Дополнительная функция,"не влияет на полноту категории
не является ожидаемой по умолчанию
закрывает частные или редкие сценарии","“Nice-to-have”, улучшение или кастомный запрос",Удаление функции не влияет на восприятие категории
