тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Организационные данные,"Категория охватывает управление организационной структурой предприятия в HRM/HRIS: иерархия подразделений, штатное расписание, должности, функциональные руководители и привязка физических лиц к структурным единицам. Это фундаментальная категория, поскольку оргструктура является первичным источником для построения ролевых моделей доступа, маршрутизации согласований и назначения владельцев активов во всех downstream-системах.","Организационные данные хранятся в реляционной модели HRM-системы с поддержкой версионирования изменений иерархии. Интеграционные механизмы включают экспорт orgstructure через SCIM/LDAP-коннекторы в IAM/IGA, REST API для кросс-системного обогащения и публикацию справочников подразделений/должностей в CMDB. Ключевые атрибуты: код подразделения, наименование, родительский узел, код должности, табельный номер, ФИО, статус сотрудника, дата приёма, дата увольнения, функциональный руководитель.","Актуальная организационная структура обеспечивает корректное назначение прав доступа, точную маршрутизацию бизнес-процессов и достоверную отчётность по подразделениям. При расхождении оргструктуры HRM и IAM возникают «висячие» учётные записи и несанкционированные доступы. Инвестиции в синхронизацию оргданных окупаются за счёт сокращения ручного труда IAM-администраторов и снижения рисков compliance-нарушений при аудите управления доступами."
категория,3,JML-события и жизненный цикл учётных записей,"Категория отвечает за генерацию и доставку событий жизненного цикла сотрудников — Joiner (приём), Mover (перевод), Leaver (увольнение), а также расширенных событий: изменение фамилии, переход в декрет, длительный отпуск, перевод на другой график. JML-события являются триггерами для автоматизированных процессов в IAM, ITSM и других downstream-системах, обеспечивая сквозную автоматизацию от кадрового приказа до технической реализации.","JML-события генерируются HRM-системой при фиксации кадровых приказов и публикуются в событийную шину (ESB, Kafka, RabbitMQ) или доставляются через REST API/SCIM push-уведомления. Каждое событие содержит тип (Joiner/Mover/Leaver), идентификатор сотрудника, временную метку, исходное и целевое подразделение (для Mover), дату последнего рабочего дня (для Leaver). Интеграционные SLA: доставка события от HRM до IAM — не более 4 часов; отзыв доступов при Leaver — не более 24 часов.","Автоматизация JML-процессов сокращает время создания учётной записи для нового сотрудника с 2–3 дней до 15 минут и исключает человеческие ошибки при ручной обработке. При увольнении гарантируется своевременный отзыв всех доступов, что критично для предотвращения инсайдерских угроз и прохождения compliance-аудитов. Крупные организации с ежемесячным потоком 200+ приёмов получают прямую экономию в десятки тысяч человеко-часов в год за счёт исключения ручного ввода."
категория,3,Интеграции с IAM/IGA,"Категория охватывает прямые интеграционные потоки между HRM/HRIS и системами управления идентификациями и доступами (IAM/IGA). HRM выступает как единственный авторитетный источник (system of record) для кадровых данных, на основе которого IAM строит ролевую модель, назначает группы безопасности и управляет жизненным циклом цифровых идентификаций. Без этой интеграции IAM лишается достоверного фундамента для управления доступами.","Интеграция реализуется через стандартные протоколы: SCIM 2.0 для синхронизации пользователей и оргструктуры, LDAP/Active Directory для публикации групп и OU, REST API для событийной доставки JML-уведомлений. Поток e45 передаёт оргструктуру из HRM в IAM для построения RBAC-модели. Поддерживается двунаправленная синхронизация: HRM ? IAM (оргструктура, пользователи, события) и IAM ? HRM (подтверждения выполнения, ошибки обработки). Требуется механизм разрешения конфликтов при расхождении данных между системами.","Интеграция HRM-IAM исключает сценарии, когда уволенный сотрудник сохраняет доступ к критическим системам из-за задержки обработки кадровых данных. Обеспечивает доказательную связь между кадровым статусом и наличием цифровых доступов, что является обязательным требованием регуляторов (SOX, GDPR, PCI DSS) и внутренних аудиторов. Снижает операционную нагрузку на IAM-администраторов на 60–80% за счёт автоматического формирования заявок на доступ на основе штатного расписания."
категория,2,Интеграции с ITSM и Service Desk,"Категория описывает взаимодействие HRM/HRIS с процессным слоем ITSM: доставка JML-событий для запуска сервисных процессов (заказ оборудования, создание учётной записи, назначение рабочего места), обогащение инцидентов данными о сотруднике-инициаторе, маршрутизация обращений на основе оргструктуры. HRM обеспечивает ITSM контекстом о пользователях, необходимым для корректной маршрутизации и приоритизации.","Интеграционный поток e44 доставляет JML-события из HRM в ITSM Core через событийную шину или REST API. ITSM использует оргструктуру из HRM для определения ответственных групп поддержки по подразделениям, автоматического назначения согласующих при запросах на изменение и эскалации инцидентов руководителям. Интеграция реализуется через адаптеры, поддерживающие форматы ITSM-платформ (ServiceNow, BMC Remedy, Cherwell). Требуется кэширование оргструктуры в ITSM для обеспечения маршрутизации при недоступности HRM.","Интеграция HRM-ITSM позволяет автоматизировать процесс онбординга: приёмный приказ в HRM порождает цепочку сервисных заявок — заказ ноутбука, создание учётной записи, настройка телефона, бронирование рабочего места — без участия HR-ассистентов. Сокращает время подготовки рабочего места с нескольких дней до часов. Обеспечивает корректную маршрутизацию обращений: инцидент от сотрудника финансового департамента автоматически направляется в группу поддержки Finance, а не в общую очередь."
категория,2,Качество данных и синхронизация,"Категория фокусируется на обеспечении целостности, актуальности и согласованности кадровых данных, передаваемых из HRM в downstream-системы. Включает механизмы выявления и разрешения конфликтов, мониторинг задержек синхронизации, контроль полноты заполнения обязательных атрибутов, управление дублями сотрудников и подразделений. Качество кадровых данных напрямую определяет надёжность всех зависимых процессов — от управления доступами до финансовой отчётности.","Механизмы контроля качества включают: валидацию обязательных полей при экспорте (ФИО, табельный номер, подразделение, должность, дата приёма), reconciliation-правила для выявления расхождений между HRM и IAM по спискам сотрудников, мониторинг задержек доставки JML-событий (alert при превышении SLA 4 часов), дедупликацию записей по комбинации ФИО+дата рождения+табельный номер. Требуется реализация мастер-data management (MDM) паттерна для HRM как primary source персональных данных.","Высокое качество кадровых данных снижает количество инцидентов, связанных с ошибками идентификации (доступ выдан не тому сотруднику, оборудование заказано на уволенного человека), на 70–90%. Обеспечивает достоверность управленческой отчётности по численности, текучести и структуре персонала. Позволяет CFO и CHO принимать решения на основе актуальных данных, а не устаревших Excel-справочников с расхождениями в десятки процентов."
категория,2,Комплаенс и аудит,"Категория охватывает соответствие кадровых процессов и данных требованиям регуляторов, внутренним политикам и стандартам информационной безопасности. Включает аудиторский след всех изменений в кадровых данных, фиксацию фактов предоставления и отзыва доступов, подготовку отчётов для внутренних и внешних аудиторов, соответствие требованиям законодательства о персональных данных. HRM является ключевым источником доказательств при аудитах управления доступами.","Аудиториальный функционал включает: версионирование всех изменений кадровых записей с фиксацией кто/когда/что изменил, журналирование всех JML-событий с временными метками и статусами доставки в downstream-системы, интеграцию с GRC-системами для передачи данных о нарушениях SLA по отзыву доступов, механизмы анонимизации и псевдонимизации персональных данных для соответствия GDPR/152-ФЗ. Требуется хранение аудиторских журналов в течение сроков, установленных регуляторами (обычно 3–7 лет).","Доказательное управление жизненным циклом доступов является обязательным требованием при сертификации по ISO 27001, аудитах SOX и проверках регуляторов. Организации с автоматизированной JML-цепочкой проходят аудиты доступов за дни вместо месяцев ручного сбора. Своевременный отзыв доступов при увольнении снижает риск инсайдерских инцидентов, средняя стоимость которых для крупного бизнеса оценивается в сотни тысяч долларов. Защита персональных данных в HRM предотвращает штрафы за нарушение 152-ФЗ и GDPR."
категория,1,Кадровая аналитика и отчётность,"Категория включает формирование управленческой отчётности на основе кадровых данных: численность подразделений, текучесть кадров, анализ приёмов и увольнений, структура компетенций, загрузка персонала, планирование замещения. Данные из HRM поступают в BI/DWH для агрегации и визуализации на Executive Dashboards, поддерживая стратегические HR-решения и планирование IT-ресурсов.","Кадровые данные экспортируются из HRM в BI/DWH через ETL-процессы с ежедневной или ежечасной периодичностью. Формируются витрины данных: численность по подразделениям/должностям, динамика JML-событий, средний стаж, коэффициент текучести, структура затрат на персонал. Интеграция с Executive Dashboards обеспечивает визуализацию HR-KPI для C-level: CHO, CFO, CEO. Данные анонимизируются при необходимости для соответствия требованиям конфиденциальности.","Управленческая HR-аналитика поддерживает принятие решений по планированию численности, бюджетированию ФОТ и управлению талантами. Корреляция кадровых данных с IT-метриками (количество инцидентов на сотрудника, время решения по подразделениям) позволяет оценить эффективность IT-команды. Инвестиции в HR-аналитику окупаются за счёт снижения текучести ключевых специалистов и оптимизации штатного расписания."
категория,1,Расширенные HR-данные,"Категория охватывает дополнительные кадровые данные, не входящие в базовую оргструктуру, но обогащающие профиль сотрудника для downstream-систем: контактная информация, местоположение офиса/филиала, график работы, языковые компетенции, уровень допуска к секретным сведениям, принадлежность к проектным командам. Эти данные используются для тонкой настройки маршрутизации, локализации сервисов и применения политик безопасности.","Расширенные атрибуты хранятся в дополнительных сущностях HRM и передаются в downstream-системы через расширенные схемы SCIM (custom attributes), дополнительные поля REST API или файловый обмен. Ключевые атрибуты: физическое местоположение (office/site), часовой пояс, язык интерфейса, уровень допуска (clearance), принадлежность к проектам/командам, тип трудового договора (штат, аутсорс, contractor). Требуется согласование схемы расширенных атрибутов между HRM и потребителями данных.","Использование расширенных HR-атрибутов позволяет персонализировать сервисы: автоматический заказ оборудования с локальной раскладкой клавиатуры, назначение исполнителя Service Desk с учётом языка пользователя, применение разных политик безопасности для штатных сотрудников и контракторов. Повышает удовлетворённость сотрудников сервисом IT и снижает количество повторных обращений в Service Desk на 15–25%."
функция,3,Ведение организационной структуры,"Функция обеспечивает создание и поддержание иерархии подразделений предприятия — департаментов, отделов, групп — с установлением отчётных связей и функциональных руководителей. Оргструктура является первичным справочником, на который ссылаются все downstream-системы при определении владельцев, маршрутизации согласований и построении ролевых моделей.","Оргструктура хранится в иерархической модели HRM с поддержкой версионирования (исторические срезы на произвольную дату), множественных руководителей и матричных структур. Экспорт выполняется через SCIM/LDAP в формате деревьев OU (Organizational Unit) или плоских списков с атрибутами parent_id, level, path. Ключевые атрибуты: unit_id, unit_name, unit_type, parent_unit_id, manager_id, cost_center, location, status (active/archived).",Актуальная и достоверная оргструктура исключает ошибки маршрутизации бизнес-процессов и назначения прав доступа. При слиянии или реорганизации компании версионирование позволяет отслеживать изменения структуры и корректно переназначать доступы. Снижает затраты на ручное администрирование справочников подразделений в десятках downstream-систем.
функция,3,Управление штатным расписанием,"Функция ведения штатного расписания — фиксация должностей, их привязка к подразделениям, установление количества штатных единиц и требований к должностям. Штатное расписание является основой для планирования численности, бюджетирования ФОТ и определения стандартных ролей доступа для каждой должности.","Штатное расписание моделируется как связка сущностей: Position (должность), Position Type (тип должности), Staff Unit (штатная единица). Каждая должность привязана к подразделению и содержит атрибуты: position_code, position_name, unit_id, grade, job_family, standard_role_mapping (ссылка на роль IAM). Экспорт штатного расписания в IAM позволяет реализовать ролевую модель доступа на основе должности (RBAC by position).",Связь штатного расписания с ролевой моделью IAM обеспечивает предсказуемость прав доступа: сотрудник на должности 'финансовый аналитик' автоматически получает стандартный набор доступов без ручного запроса. Контроль соответствия фактической численности штатному расписанию позволяет выявлять избыточный персонал или нехватку кадров. Поддерживает процесс бюджетирования за счёт точного планирования ФОТ по подразделениям и должностям.
