тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Конфигурация как код (Infrastructure as Code),"Дисциплина управления инфраструктурой через машиночитаемые декларативные или императивные файлы конфигурации, хранящиеся в системе версионного контроля. IaC превращает конфигурации серверов, сетевых устройств и облачных ресурсов в код, что обеспечивает воспроизводимость развёртываний, устраняет ручные ошибки и создаёт единый источник правды о целевом состоянии инфраструктуры. В enterprise-ландшафте IaC является фундаментом для automated provisioning, disaster recovery и compliance-аудита.","Реализуется через декларативные языки (HCL для Terraform, YAML для CloudFormation, Puppet DSL) или императивные подходы (Ansible playbooks, Chef recipes, Python-скрипты). Конфигурации хранятся в Git-репозиториях с обязательным code review через pull request, automated testing (terraform validate, tfsec, Checkov) и CI/CD-интеграцией. State management обеспечивается через remote encrypted backend (S3, Azure Blob, HashiCorp Consul) с блокировками. Модулирование (Terraform modules, Ansible roles, Puppet Forge modules) позволяет переиспользовать шаблоны. Поддерживаются шаблонизация (Jinja2), динамические инвентари и secrets management через Vault или KMS.","Сокращает time-to-provision инфраструктуры с дней до минут, снижает операционные затраты на ручное конфигурирование на 40-70%. Обеспечивает доказуемый audit trail для регуляторов (SOC 2, ISO 27001, PCI DSS) — каждое изменение конфигурации авторизовано, прослеживается и версионируется. Устраняет «bus factor» — знания о конфигурациях централизованы, а не хранятся в головах отдельных администраторов. Воспроизводимость развёртываний снижает риск инцидентов из-за несогласованных сред: dev, staging и production идентичны, что уменьшает количество дефектов, связанных со средой, на 30-50%."
категория,3,Обнаружение дрейфа конфигураций (Drift Detection),"Непрерывный процесс выявления расхождений между целевой конфигурацией, описанной в IaC-коде, и фактическим состоянием инфраструктуры в эксплуатации. Drift возникает при ручных изменениях через консоли облачных провайдеров, «быстрых фиксах» администраторов по SSH, обновлениях ОС или внешних автоматизированных процессов. Без систематического обнаружения дрейфа конфигурации расходятся незаметно, что приводит к непредсказуемому поведению, росту technical debt и компрометации security baseline.","Реализуется через регулярные сканирования (terraform plan на schedule, AWS Config Rules, Azure Policy, driftctl) с сопоставлением actual state и desired state, описанным в IaC-файлах. Инструменты используют API облачных провайдеров, SSH/WMI-запросы для on-prem или SNMP для сетевого оборудования для сбора фактического состояния. Обнаруженные отклонения классифицируются по типу (атрибутный drift, ресурсный drift, орфанный ресурс), критичности и источнику (ручное изменение, automated policy, внешний процесс). Алерты маршрутизируются в Change Management (config drift, e50) с указанием CI, типа отклонения и предлагаемого remediation. Интеграция с CMDB обеспечивает привязку drift к конкретным конфигурационным единицам и их владельцам.","Сокращает MTTD (Mean Time To Detect) несанкционированных изменений с недель до часов, предотвращая каскадные сбои, вызванные скрытыми конфигурационными расхождениями. Целевое время обнаружения drift составляет менее 4 часов, что обеспечивает оперативное реагирование до того, как отклонение повлияет на бизнес-сервисы. Снижает риск compliance-нарушений — регуляторы требуют доказательного контроля конфигураций, и drift detection предоставляет objective evidence. Экономия от предотвращения инцидентов, связанных с configuration drift, достигает 20-35% от общего бюджета на операционные инциденты."
категория,3,Управление конфигурациями устройств и ПО,"Комплексная дисциплина контроля конфигурационных параметров физических и виртуальных устройств (серверы, сетевое оборудование, рабочие станции) и программного обеспечения (ОС, middleware, приложения). Включает определение baseline-конфигураций, их автоматизированное применение, мониторинг compliance и корректировку отклонений. В enterprise-контексте охватывает гетерогенные среды: on-premise ЦОДы, гибридные облака, edge-устройства и IoT-конечные точки, обеспечивая единообразие конфигураций в масштабе тысяч устройств.","Реализуется через комбинацию инструментов: Ansible/Puppet/Chef для конфигурации ОС и ПО на серверах, NETCONF/RESTCONF/gRPC + YANG для сетевых устройств (Cisco IOS, Juniper JunOS), GPO/SCCM для Windows-инфраструктуры, Terraform для облачных ресурсов. Управление конфигурациями ПО включает: определение baseline-образов (golden images), управление пакетами и зависимостями, настройку параметров ОС (sysctl, registry, group policies), управление службами и демонами, конфигурацию middleware (web-серверы, БД, MQ). Интеграция с CMDB обеспечивает привязку конфигураций к CI, а с Patch Management — синхронизацию обновлений. Для сетевых устройств: резервное копирование running-config и startup-config, сравнение версий, rollback к известному состоянию.","Обеспечивает стандартизацию конфигураций в масштабе всей организации, снижая затраты на поддержку heterogeneous environments. Целевой показатель compliance составляет более 98% систем, соответствующих целевой конфигурации, что сокращает incident tickets, вызванные несогласованными настройками. Стандартизированные конфигурации ускоряют onboarding новых серверов в эксплуатацию в 3-5 раз. Предсказуемость конфигураций снижает среднее время восстановления после сбоя (MTTR) на 25-40% за счёт заранее протестированных baseline и автоматизированных процедур развёртывания."
категория,3,Версионирование и аудит конфигураций,"Дисциплина отслеживания полного жизненного цикла изменений конфигураций: от создания и согласования до развёртывания и архивации. Версионирование обеспечивает возможность в любой момент определить, кто, когда и почему изменил конфигурацию, а также откатиться к предыдущей стабильной версии. Аудит конфигураций предоставляет доказательную базу для compliance-проверок, расследований инцидентов и анализа root cause, формируя неизменяемый журнал всех конфигурационных изменений.","Версионирование реализуется через Git-репозитории (GitHub, GitLab, Bitbucket) с ветвящейся моделью (GitFlow, trunk-based), тегированием релизов и обязательным code review. State-файлы Terraform хранятся в remote backend с versioning. Конфигурации сетевых устройств версионируются через RANCID, Oxidized или Git-based NMS. Аудит обеспечивается через: immutable audit logs с WORM-хранением (Write Once Read Many), интеграцию с SIEM для корреляции конфигурационных изменений с security events, хранение истории изменений каждого CI в CMDB с атрибутами (author, timestamp, reason, CAB ticket). Backup конфигураций выполняется автоматически перед каждым изменением с возможностью мгновенного rollback. Интеграция с Change Management обеспечивает привязку каждого изменения к approved change request.","Сокращает время расследования инцидентов с часов до минут за счёт полного аудитного следа: каждое изменение конфигурации документировано с причиной и автором. Обеспечивает готовность к compliance-аудитам (ISO 27001, SOX, PCI DSS) — регуляторы получают доказательное подтверждение контролируемого управления конфигурациями без дополнительной подготовки. Возможность rollback к предыдущей версии снижает downtime при неудачных изменениях на 60-80%. Аудит конфигураций позволяет выявлять тренды: какие системы чаще всего изменяются, какие типы изменений чаще приводят к инцидентам, какие команды генерируют больше всего drift."
категория,3,Enforcement политик и автоисправление (Policy Enforcement & Remediation),"Система автоматизированного применения корпоративных политик конфигурации и принудительного приведения инфраструктуры к целевому состоянию без ручного вмешательства. Policy enforcement гарантирует, что каждый ресурс создаётся и эксплуатируется в соответствии с установленными security baseline, compliance-требованиями и операционными стандартами. Автоисправление (auto-remediation) устраняет обнаруженные отклонения автоматически: отключает публично доступные S3-бакеты, включает шифрование, восстанавливает оригинальные ACL, удаляет неразмеченные ресурсы.","Policy-as-Code реализуется через декларативные фреймворки: Open Policy Agent (OPA/Rego), HashiCorp Sentinel, AWS Config Rules, Azure Policy, Kubernetes Admission Controllers (Kyverno, OPA Gatekeeper), Chef InSpec. Политики определяются в виде кода, хранятся в Git и применяются автоматически: guardrails на этапе создания ресурса (prevention), непрерывная проверка compliance (detection) и auto-remediation (correction). Enforcement уровни: prevent (блокировка нарушающей операции), detect (алерт при нарушении), remediate (автоматическое исправление). Интеграция с CMDB позволяет применять политики дифференцированно на основе критичности CI. Связь с Change Management через поток config drift (e50) обеспечивает маршрутизацию неавтоматизируемых отклонений на согласование CAB.","Сокращает window of exposure для security-инцидентов, связанных с неправильными конфигурациями, на 70-90% за счёт мгновенного блокирования или исправления нарушений. Целевое время автоисправления критичных отклонений составляет менее 1 часа. Снижает нагрузку на операционные команды: 80-95% типовых конфигурационных нарушений устраняются автоматически без создания тикетов. Обеспечивает continuous compliance — ресурсы проверяются и корректируются 24/7, а не раз в квартал при аудите. Предотвращает финансовые потери от неправильных конфигураций облачных ресурсов (публичные bucket'ы, незашифрованные диски, непрерывно работающие тестовые окружения)."
категория,3,Интеграция с Change Management и CI/CD,"Интеграционный слой, обеспечивающий бесшовную связь между управлением конфигурациями и процессами управления изменениями, а также конвейерами непрерывной интеграции и поставки. Каждое изменение конфигурации проходит через формализованный approval workflow: code review, automated testing, CAB-согласование (при необходимости) и controlled deployment. Интеграция гарантирует, что конфигурационные изменения не попадают в production в обход процесса, а все развёртывания версионируются, тестируются и отслеживаются.","Технически реализуется через: GitOps-подход с webhook-триггерами (GitHub Actions, GitLab CI, Jenkins, ArgoCD) для автоматического запуска pipeline при изменении IaC-кода; многостадийные pipeline с этапами validate (terraform validate, lint), security scan (Checkov, tfsec, OPA), plan (dry-run с preview изменений), approve (manual approval gate для production) и apply (controlled deployment). Интеграция с Change Management через REST API: config drift (e50) автоматически создаёт change request при обнаружении отклонения; change ticket enrich'ится данными об impact analysis из CMDB. Feature flags и canary deployment позволяют постепенно распространять конфигурационные изменения. Интеграция с Release Management обеспечивает evidence развёртывания (e51) — логи, результаты тестов, статус применения.","Снижает процент инцидентов, вызванных неуправляемыми конфигурационными изменениями, с типовых 30-50% до менее 10%. Ускоряет time-to-market для инфраструктурных изменений: типовые конфигурационные обновления проходят через pipeline за минуты вместо дней согласований. Обеспечивает предсказуемость и планируемость развёртываний через calendar-based scheduling и conflict detection. Интеграция с Change Management создаёт closed-loop: каждое отклонение маршрутизируется, каждое изменение отслеживается, каждый релиз подтверждается evidence. Снижает resistance к внедрению изменений за счёт автоматизации и прозрачности процесса."
функция,2,Декларативное определение конфигураций,"Функция описания целевого состояния инфраструктуры в декларативном формате без указания пошаговых инструкций по его достижению. Система сама определяет оптимальную последовательность действий для приведения фактического состояния к желаемому. Декларативный подход снижает сложность управления, устраняет ошибки, связанные с порядком выполнения операций, и обеспечивает идемпотентность — повторное применение той же конфигурации не изменяет результат.","Реализуется через HCL (Terraform), YAML (Ansible playbooks, CloudFormation, ARM templates), Puppet DSL или JSON. Декларативные манифесты описывают ресурсы (servers, networks, storage, policies), их атрибуты и связи (dependencies). Система управления состоянием (state management) отслеживает соответствие между кодом и реальностью, вычисляя diff и формируя execution plan. Поддерживается параметризация через variables, environment-specific overrides и динамические вычисления (Terraform data sources, Ansible dynamic inventory). Хранение в Git обеспечивает версионирование, branching и code review через pull request workflow.","Сокращает TCO управления конфигурациями на 30-40% за счёт снижения ручного труда и ошибок. Обеспечивает единообразие сред: один и тот же код разворачивается в dev, staging и production без дивергенции. Идемпотентность гарантирует предсказуемость: инженеры уверены, что повторный запуск не сломает работающую систему. Сокращает time-to-recovery при disaster recovery — инфраструктура восстанавливается из кода за часы вместо недель ручного восстановления."
функция,2,Непрерывное сканирование на drift,"Функция регулярного автоматизированного сравнения фактического состояния инфраструктуры с целевой конфигурацией, определённой в IaC-коде. Сканирование выполняется по расписанию (ежечасно, ежедневно) или по триггеру (event-based при обнаружении изменения) и выявляет все типы отклонений: атрибутные (изменение параметра ресурса), ресурсные (добавление/удаление ресурса), орфанные (ресурсы, не описанные в коде).","Технически реализуется через terraform plan (scheduled dry-run), AWS Config Rules (continuous monitoring), Azure Policy Compliance Scan, driftctl, Kubernetes controllers или специализированные решения (Firefly, Brainboard). Сканеры используют API провайдеров, SSH/SNMP для on-prem, NETCONF для сетевых устройств для сбора actual state. Обнаруженные отклонения классифицируются по типу drift (attribute, resource, orphaned), severity (critical, high, medium, low) и источнику (manual, automated, external). Результаты передаются в alerting pipeline: PagerDuty, Slack, ServiceNow или непосредственно создают change request через интеграцию e50. Интеграция с CMDB обеспечивает контекст: владелец CI, критичность, business service mapping.","Обеспечивает proactive management конфигураций: отклонения выявляются до того, как они вызовут сбой или security breach. Целевое время обнаружения — менее 4 часов, что сокращает window of exposure для несанкционированных изменений. Снижает объём emergency changes: drift, выявленный на ранней стадине, обрабатывается через стандартный процесс вместо аварийного вмешательства. Повышает confidence в состоянии инфраструктуры: команды знают, что любое отклонение будет обнаружено и задокументировано."
функция,2,Автоматическое исправление конфигураций (auto-remediation),"Функция устранения обнаруженных конфигурационных отклонений без ручного вмешательства оператора. При обнаружении drift система автоматически приводит конфигурацию к целевому состоянию: перезаписывает изменённые параметры, удаляет неразрешённые ресурсы, включает требуемые security controls. Для критичных отклонений выполняется мгновенное исправление, для менее критичных — генерация тикета на review.","Реализуется через terraform apply (auto-approve для pre-approved changes), AWS Config auto-remediation actions (SSM Automation Documents), Azure Policy remediate tasks, Chef InSpec remediation, Ansible playbooks с conditional execution. Remediation-политики определяют уровень автоматизации по критичности: critical drift — immediate auto-fix без approval, high — auto-fix с notification, medium/low — alert + ticket. Механизм circuit breaker предотвращает каскадные исправления: если auto-remediation вызывает новый drift или incident, процесс останавливается и эскалируется. Интеграция с CMDB обеспечивает knowledge base известных drift-паттернов и их remediation-решений. Rollback-механизм восстанавливает предыдущее состояние при неудачном remediation.","Сокращает MTTR (Mean Time To Remediate) конфигурационных отклонений с часов/дней до минут. Снижает нагрузку на операционные команды на 60-80% за счёт автоматизации типовых исправлений. Целевое время автоисправления критичных отклонений — менее 1 часа, что существенно снижает риск эксплуатации уязвимостей, связанных с неправильными конфигурациями. Обеспечивает 24/7 protection: исправления выполняются автоматически даже в нерабочее время и выходные."
функция,2,Policy-as-Code и guardrails,"Функция формализации корпоративных политик конфигурации в виде исполняемого кода, который автоматически проверяет и применяет требования на всех этапах жизненного цикла инфраструктуры. Guardrails (ограждения) предотвращают создание ресурсов, нарушающих политики безопасности, compliance или операционные стандарты, блокируя операцию до её выполнения или автоматически корректируя конфигурацию.","Политики записываются на языках: Rego (OPA), Sentinel (HashiCorp), Python/YAML (AWS Config Rules, Azure Policy, Chef InSpec). Типы политик: security (запрет публичных S3, требование encryption), compliance (CIS benchmarks, DISA STIGs, PCI DSS controls), operational (обязательные теги, approved regions, instance types), cost (бюджетные лимиты, запрет over-provisioning). Enforcement modes: deny (блокировка), audit (логирование), modify (автокоррекция). Интеграция в CI/CD pipeline: проверка политик выполняется на этапе plan/validate, блокируя нарушающие изменения до deployment. Admission controllers в Kubernetes (OPA Gatekeeper, Kyverno) проверяют политики при создании/изменении ресурсов в runtime.","Предотвращает 90%+ конфигурационных нарушений до их появления в production, блокируя неправильные операции на этапе plan. Устраняет «human error» как источник security-инцидентов: политики применяются независимо от опыта и внимательности оператора. Ускоряет compliance-аудиты: политики формализуют требования стандартов (CIS, ISO 27001, PCI DSS) в исполняемый код, и compliance проверяется непрерывно, а не раз в год. Снижает риски финансовых потерь от неправильных облачных конфигураций."
