тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Управление жизненным циклом инцидента,"Incident Management — центральная дисциплина ITSM, обеспечивающая максимально быстрое восстановление нормального функционирования сервиса при минимальном негативном влиянии на бизнес-операции. Ключевой принцип дисциплины: фокус на восстановлении сервиса, а не на расследовании корневых причин (последнее относится к Problem Management). Класс охватывает полный цикл обработки инцидента — от регистрации через классификацию, приоритизацию, маршрутизацию, эскалацию до разрешения и закрытия, обеспечивая стандартизированные процедуры реагирования на сбои.","Технически класс реализован как модуль в составе ITSM-платформы (ServiceNow, BMC Remedy, Jira Service Management), интегрированный с CMDB, системами мониторинга, APM и Service Desk. Основные компоненты: движок классификации инцидентов по категориям и подкатегориям, матрица приоритизации на основе влияния/срочности, механизмы маршрутизации на основе загрузки и компетенций групп, движок эскалации (функциональной и иерархической), таймеры SLA/OLA, калькулятор метрик MTTR/MTBF. Интеграция с CMDB обеспечивает автоматическую привязку инцидента к CI и сервисам через service map. Интеграция с Monitoring позволяет автоматически создавать инциденты по критическим алертам.","Бизнес-ценность Incident Management выражается в минимизации финансовых потерь от простоя критичных систем: каждая минута простоя ERP-системы, интернет-банкинга или производственной линии транслируется в прямые потери выручки. Стандартизированные процедуры реагирования обеспечивают предсказуемость: бизнес знает, в какие сроки сервис будет восстановлен (SLA). Интеграция с CMDB сокращает среднее время разрешения (MTTR) на 25–40% за счёт мгновенного определения затронутых сервисов, ответственных команд и критичности. Для регулируемых отраслей (фарма, финансы) Incident Management обеспечивает аудитоспособность процесса реагирования на сбои."
категория,3,Классификация и приоритизация инцидентов,"Классификация и приоритизация — фундаментальные процессы Incident Management, определяющие скорость и качество реагирования на сбои. Классификация включает категоризацию инцидента по типу (аппаратный, программный, сетевой, сервисный), подтипу, затронутому сервису и конфигурационным единицам. Приоритизация строится на матрице влияния (Impact) и срочности (Urgency), формируя приоритет от P1 (критический) до P5 (низкий), который определяет целевые SLA по времени реакции и разрешения. Корректная классификация обеспечивает попадание инцидента к компетентной группе с первой попытки.","Техническая реализация включает настраиваемые справочники категорий и подкатегорий инцидентов, матрицу приоритов Impact ? Urgency с автоматическим расчётом приоритета P1–P5, правила маршрутизации (routing rules) на основе категории, CI, сервиса или ключевых слов описания. Интеграция с CMDB позволяет автоматически определять критичность CI и связанных сервисов, корректируя приоритет на основе бизнес-влияния. Современные платформы используют ML-модели для рекомендации категорий и назначения исполнителей на основе истории разрешения схожих инцидентов. Таймеры SLA отслеживают соответствие целевым показателям времени реакции и разрешения для каждого приоритета.","Правильная приоритизация защищает бизнес от ситуации, когда все инциденты получают максимальный приоритет («все-high-priority») — антипаттерн, приводящий к параличу критических команд и невозможности выделить действительно срочные инциденты. Матрица Impact ? Urgency обеспечивает объективное распределение ресурсов: сбой в системе маршрутизации логистического оператора получает P1 с автоматической эскалацией на уровень CIO, тогда как сбой тестового сервера классифицируется как P3 с SLA 8 часов. Это позволяет сосредоточить экспертные ресурсы на инцидентах с максимальным финансовым воздействием, оптимизируя затраты на поддержку."
категория,3,Эскалация и маршрутизация инцидентов,"Эскалация и маршрутизация — механизмы продвижения инцидента через уровни поддержки к компетентным исполнителям. Маршрутизация обеспечивает первичное направление инцидента на группу поддержки на основе категории, CI, сервиса или загрузки исполнителей. Эскалация бывает функциональной (передача инцидента на более высокую линию поддержки при недостатке компетенций) и иерархической (привлечение руководства при превышении SLA или критичности инцидента). Корректная эскалация предотвращает «застревание» инцидентов на неправильных уровнях поддержки и гарантирует соблюдение SLA.","Техническая реализация включает движок маршрутизации (routing engine) с правилами на основе категории, CI, сервиса, местоположения или кастомных атрибутов; матрицы ответственности (support groups, assignment rules); механизмы функциональной эскалации (escalation rules) с автоматическим переводом на следующую линию при превышении порога времени; иерархическую эскалацию (manager escalation) с уведомлением руководителей при приближении к границе SLA или для P1/P2 инцидентов. Интеграция с IAM обеспечивает определение availability исполнителей (график дежурств, отпуска), интеграция с CMDB — определение support group для конкретного CI через модель владения.","Эффективная маршрутизация сокращает время передачи инцидента между командами, устраняя типичную проблему «пинг-понга» тикетов, когда инцидент перекидывается между группами поддержки днями. Для организации с 500+ инцидентов в месяц каждая минута простоя критичной системы стоит денег — автоматическая маршрутизация на компетентную группу с первой попытки сокращает MTTR на 15–25%. Иерархическая эскалация для Major Incidents обеспечивает привлечение необходимых ресурсов и управление коммуникациями на уровне топ-менеджмента, что критично для сохранения репутации при публичных сбоях."
категория,3,Интеграция с CMDB и сервисной моделью,"Интеграция Incident Management с CMDB и сервисной моделью — архитектурный элемент, обеспечивающий контекстную обработку инцидентов. Привязка инцидента к конфигурационным единицам (CI) и бизнес-сервисам через service map позволяет автоматически определять бизнес-влияние сбоя, ответственную команду, зависимые компоненты и критичность. Без этой интеграции Incident Management превращается в систему регистрации обращений без понимания контекста инфраструктуры — инцидент обрабатывается в вакууме, без учёта каскадных эффектов на бизнес-сервисы.","Техническая реализация включает двунаправленную интеграцию с CMDB через REST/GraphQL API: Incident Management запрашивает service map, атрибуты CI (владелец, критичность, зависимости) для контекстуализации инцидента, а возвращает в CMDB историю инцидентов CI (operational history) для обогащения конфигурационных данных. При поступлении алерта от Monitoring система автоматически запрашивает CMDB: какой CI затронут, какие бизнес-сервисы зависят от него, кто владелец, какой уровень критичности установлен — и на этой основе назначает приоритет и маршрутизирует ответственной группе. Интеграция с APM (e11) обеспечивает привязку метрик производительности к инцидентам деградации.","Интеграция с CMDB трансформирует Incident Management из системы учёта в систему управления: при инциденте на сервере БД service map за 30 секунд показывает, что этот сервер обслуживает 3 критичных бизнес-сервиса (интернет-банкинг, мобильное приложение, процессинг карт), затронуто 2 млн пользователей — заявка автоматически эскалируется на уровень P1. Крупный банк сокращает MTTR с 45 до 8 минут за счёт точного понимания влияния. Бизнес получает предсказуемость: при сбое известно, какие сервисы затронуты, сколько пользователей пострадало, кто ответственный, какой SLA применяется — информация, необходимая для управления репутационными рисками и коммуникациями с клиентами."
функция,3,Регистрация инцидентов (Incident Logging),"Регистрация инцидента — начальная точка процесса Incident Management, фиксирующая факт отклонения от нормального функционирования сервиса. Инциденты могут регистрироваться из нескольких источников: обращения пользователей через Service Desk, автоматические алерты от систем мониторинга и APM, опросы активов CMDB, чат-боты. Каждый зарегистрированный инцидент получает уникальный номер, временную метку, описание, категорию и привязку к затронутым CI/сервисам через CMDB.","Техническая реализация включает мультиканальный приём (портал самообслуживания, email, телефон, API от Monitoring/APM, чат-боты), автоматическое создание записи инцидента с префиллингом полей из алерта (источник, CI, время, технические параметры), дедупликацию (выявление дублей по CI и симптомам), обогащение данных из CMDB (атрибуты CI, service map, владелец). Интеграция с Monitoring (e10) обеспечивает создание инцидента в течение 1–2 минут от момента срабатывания порога. Каждый инцидент проходит через движок классификации перед назначением приоритета.","Быстрая и точная регистрация инцидента критична для соблюдения SLA: таймер SLA запускается с момента регистрации, и каждая минута задержки — это потенциальное нарушение соглашения. Автоматическая регистрация из Monitoring исключает человеческий фактор (забыли зарегистрировать, некорректно описали) и обеспечивает полный охват всех сбоев. Для организации с 5000+ сотрудников автоматизация регистрации сокращает нагрузку на Service Desk на 30–40% и гарантирует, что ни один критический сбой не останется незамеченным."
функция,3,Привязка инцидентов к CI и service map (CI Binding),"Привязка инцидента к конфигурационным единицам (CI) и сервисной модели — ключевой элемент, обеспечивающий контекстную обработку. Каждый инцидент связывается с одним или несколькими CI (сервер, приложение, сетевое устройство) и через service map определяет затронутые бизнес-сервисы, зависимые компоненты и ответственных. Эта привязка является основой для корректной приоритизации, маршрутизации и impact analysis.","Техническая реализация включает автоматическую привязку инцидента к CI через идентификатор из алерта Monitoring или поиск CI в CMDB по имени хоста, IP-адресу или сервисному идентификатору; построение цепочки зависимостей (dependency chain) через service map CMDB для определения каскадного влияния; обогащение инцидента атрибутами CI (класс критичности, владелец, поддерживающая группа, гарантийный статус, финансовая стоимость). Интеграция с CMDB (e9) обеспечивает доступ к актуальной топологии сервисов, а обратная связь (e65) обогащает CMDB историей инцидентов CI.","Привязка к CI и service map превращает абстрактный «сервер недоступен» в конкретный бизнес-контекст: «Сервер БД ERP-пространства, поддерживающий финансовую отчётность и казначейство, затронуто 150 пользователей, ответственный — команда DBA, критичность P2, гарантия истекает через 2 месяца». Этот контекст позволяет Service Desk и менеджерам инцидентов принимать обоснованные решения: ремонтировать или заменять, арендовать резервное оборудование, уведомлять бизнес-заказчиков. Без привязки к CI принятие таких решений занимает часы ручного сбора информации из разрозненных источников."
функция,3,Приоритизация по Impact/Urgency (Priority Matrix),"Приоритизация инцидентов по матрице Impact (влияние) ? Urgency (срочность) — стандартизированный механизм определения порядка обработки сбоев. Impact измеряет масштаб воздействия на бизнес (число пользователей, критичность сервиса, финансовые потери), Urgency — темп ухудшения ситуации без вмешательства. Результатом является приоритет P1–P5, определяющий целевые SLA по времени реакции и разрешения, а также маршрутизацию и уровень эскалации.","Техническая реализация включает настраиваемую матрицу приоритов Impact ? Urgency с автоматическим расчётом приоритета при создании инцидента, правила корректировки приоритета на основе данных CMDB (критичность CI, уровень сервиса), таймеры SLA/OLA для каждого приоритетного уровня с отслеживанием времени реакции и разрешения, механизмы автоматической эскалации при приближении к порогу SLA. Интеграция с CMDB позволяет автоматически определять Impact на основе числа зависимых пользователей и критичности бизнес-сервисов. ML-модели могут корректировать приоритет на основе исторических данных по схожим инцидентам.","Матрица приоритов защищает бизнес от хаоса при массовом поступлении инцидентов: при одновременном сбое 20+ систем алгоритм автоматически выделяет P1 для затронувших клиентоориентированные сервисы, а внутренние системы получают P3–P4. Это обеспечивает оптимальное распределение ограниченных экспертных ресурсов на максимально критичные сбои. Для телеком-оператора приоритизация по влиянию на абонентскую базу позволила сократить среднее время восстановления критичных сервисов на 35% за первый квартал внедрения."
функция,3,Функциональная и иерархическая эскалация (Escalation),"Эскалация — механизм продвижения инцидента на более высокие уровни при невозможности разрешения в рамках текущей группы или при превышении временных порогов. Функциональная эскалация передаёт инцидент команде с более глубокой экспертизой (1-я линия ? 2-я линия ? 3-я линия ? вендор). Иерархическая эскалация привлекает руководство (менеджер группы ? руководитель IT ? CIO) для P1-инцидентов, нарушений SLA или ситуаций, требующих координации ресурсов на уровне организации.","Техническая реализация включает настраиваемые правила эскалации (escalation rules) с временными порогами для каждого уровня, автоматические уведомления (email, SMS, мессенджеры) при срабатывании эскалации, матрицу иерархической эскалации с привлечением менеджеров и руководителей, escalation timer в интерфейсе инцидента, отображающий оставшееся время до следующей эскалации, интеграцию с системами уведомлений и on-call scheduling (PagerDuty, OpsGenie). Для P1-инцидентов реализуется автоматическая иерархическая эскалация с созданием конференц-связи (war room).","Эскалация — страховой полис для бизнеса: она гарантирует, что инцидент не «застрянет» на одном уровне поддержки из-за недостатка компетенций или загруженности команды. Для фармацевтической компании с GxP-требованиями иерархическая эскалация обеспечивает привлечение руководства для принятия решений о компенсирующих мерах при сбое валидационных систем. Для ритейлера с 500+ магазинами эскалация на уровень CIO при сбое POS-системы запускает механизм активации резервных процессов (ручная обработка транзакций) и управления репутационными рисками."
категория,2,Управление критическими инцидентами (Major Incident Management),"Управление критическими инцидентами (Major Incidents) — специализированный подпроцесс для инцидентов с максимальным влиянием на бизнес, требующих экстренной координации ресурсов и коммуникаций на уровне всей организации. Major Incident отличается от обычного инцидента масштабом влияния (несколько критичных сервисов, тысячи/миллионы пользователей), необходимостью активации кризисной команды (war room), прямым участием руководства и специальных процедур коммуникации с бизнесом, клиентами и регуляторами.","Техническая реализация включает отдельный workflow Major Incident с упрощёнными процедурами согласования и ускоренной эскалацией, автоматическое создание конференц-связи (war room bridge) с привлечением всех stakeholders, шаблоны коммуникаций (notification templates) для различных аудиторий (бизнес, клиенты, регуляторы), интеграцию с системами mass notification (SMS, push, email, статусные страницы), дашборд Major Incident в реальном времени с метриками влияния и прогрессом восстановления, отдельные SLA (MTTR для Major Incident значительно ниже обычного P1). Связь с Problem Management (e20) обеспечивает последующий анализ причин.","Major Incident Management — механизм защиты репутации и минимизации катастрофических потерь. При сбое процессинга платежей крупного банка каждая минута простоя стоит миллионы рублей недополученной комиссии и репутационных потерь. War room с участием CIO, команд инфраструктуры, приложений и коммуникаций обеспечивает централизованное принятие решений и прозрачную коммуникацию с клиентами через статусные страницы. Специализированные процедуры Major Incident позволяют сократить время восстановления критичных сервисов на 40–50% по сравнению со стандартной обработкой P1."
категория,2,Автоматизация реагирования и оркестрация,"Автоматизация реагирования и оркестрация — направление, направленное на сокращение времени восстановления сервиса за счёт автоматического выполнения типовых действий без участия оператора. Включает автоматическое создание инцидентов из алертов Monitoring/APM, запуск скриптов диагностики и восстановления (auto-remediation), оркестрацию действий между системами (перезапуск службы, откат конфигурации, переключение на резерв), автоматическое информирование stakeholders. Цель — устранить рутинные операции из ручной работы инженеров и сосредоточить их на сложных инцидентах.","Техническая реализация включает интеграцию с Monitoring (e10) для автоматического создания инцидентов по критическим алертам с префиллингом всех полей; runbook automation (RBA) — библиотеку автоматизированных процедур диагностики и восстановления; интеграцию с Configuration Management для автоматического отката конфигураций (e50); связь с системами развёртывания (e51) для координации восстановления; чат-ботов для первичного сбора информации от пользователей; ML-модели для автоматической классификации, назначения и рекомендации решений. Event correlation engine группирует связанные алерты в единый инцидент, сокращая alert fatigue.","Автоматизация реагирования даёт мультипликативный эффект: при парке из 10 000+ устройств 60–70% инцидентов типовые (перезапуск службы, очистка диска, восстановление соединения). Автоматическая обработка таких инцидентов сокращает MTTR с часов до минут и высвобождает 30–40% времени инженеров 2-й и 3-й линий для работы со сложными инцидентами. Для облачной инфраструктуры auto-remediation позволяет обрабатывать масштабные инциденты (отказ целого AZ) без участия человека, переключая трафик на резервные зоны за считанные минуты."
