тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,BPM / Workflow (Business Process Management),"Класс систем, обеспечивающих моделирование, автоматизацию и оптимизацию бизнес-процессов в контексте ITSM. BPM/Workflow выступает оркестрационным слоем, который связывает различные IT-системы и команды в единые сквозные процессы: от согласования изменений и onboarding сотрудников до маршрутизации инцидентов и управления доступами. Платформа предоставляет визуальный конструктор процессов на базе стандарта BPMN 2.0, движок исполнения workflow с поддержкой параллельных и условных маршрутов, а также интеграционный слой для вызова внешних систем через REST API, SOAP и событийные шины. В отличие от ITSM Core, который содержит встроенные доменные модели ITIL-процессов, BPM/Workflow предоставляет пустой холст для автоматизации нестандартных и межсистемных процессов, требующих гибкого проектирования и сложной логики маршрутизации.","Архитектура BPM/Workflow строится вокруг центрального движка исполнения процессов (process engine), поддерживающего стандарт BPMN 2.0 с полным набором элементов: tasks, gateways, events, subprocesses, parallel и exclusive flows. Движок обеспечивает stateful-исполнение долгоживущих процессов с сохранением состояния в реляционной БД (PostgreSQL, Oracle, SQL Server), поддержкой транзакционности, compensation и rollback-механизмов. Интеграционный слой реализуется через REST/SOAP API, webhook, message queues (Kafka, RabbitMQ, ActiveMQ) и преднастроенные коннекторы к ITSM Core, HRM, IAM, CMDB, ERP, SIEM. No-code/low-code конструктор предоставляет drag-and-drop интерфейс моделирования с возможностью версионирования процессов, A/B-тестирования и hot deployment. DMN-движок обрабатывает бизнес-правила для условной маршрутизации. Мониторинг реализуется через BAM (Business Activity Monitoring) с real-time дашбордами, alerting и bottleneck analysis.","BPM/Workflow обеспечивает измеримую экономию за счет сокращения времени выполнения сквозных процессов на 60-85% и уменьшения ручных операций. Платформа повышает прозрачность: каждый участник видит статус процесса в реальном времени, а руководство получает метрики cycle time, throughput и bottleneck analysis. Автоматизация согласований сокращает время approval с дней до часов, исключая потери в email-цепочках. Полный audit trail всех действий обеспечивает compliance требованиям регуляторов (SOX, GDPR, ISO 27001) и внутренним политикам governance. Интеграция с ITSM Core позволяет автоматизировать процессы, выходящие за рамки стандартных ITIL-практик: onboarding в 12+ систем, cross-system orchestration, сложные многоуровневые согласования. ROI реализуется в течение 6-12 месяцев через сокращение FTE на рутинных операциях и предотвращение рисков, связанных с ручными переходами между системами."
функция,3,Визуальное моделирование процессов (BPMN 2.0),"Функция визуального проектирования бизнес-процессов с использованием международного стандарта BPMN 2.0 (Business Process Model and Notation). Предоставляет графический редактор, в котором аналитики и разработчики могут создавать исполняемые модели процессов из стандартных элементов: задачи (tasks), шлюзы (gateways), события (events), потоки (sequence flows), пулы и дорожки (pools and lanes). BPMN 2.0 служит единым языком между бизнес-аналитиками, которые проектируют процессы, и IT-специалистами, которые реализуют их исполнение, устраняя разрыв между бизнес-требованиями и технической реализацией.","Моделирование реализуется через web-based редактор с drag-and-drop интерфейсом, поддерживающим полный набор BPMN 2.0 элементов: User Task, Service Task, Script Task, Send/Receive Task; Exclusive Gateway, Parallel Gateway, Inclusive Gateway, Event-Based Gateway; Start/End/Intermediate Events (timer, message, signal, conditional, error, escalation, compensation); Call Activity, Event Subprocess, Transaction. Редактор обеспечивает валидацию моделей по BPMN-спецификации, версионирование с Git-интеграцией, сравнение версий (diff), collaborative editing. Модели сохраняются в XML-формате BPMN 2.0 и деплоятся в process engine горячей загрузкой без остановки системы. Поддерживается импорт/экспорт в форматы BPMN, XPDL, Visio, а также интеграция с инструментами process mining для обнаружения процессов из логов.","Визуальное моделирование на BPMN 2.0 сокращает время проектирования процессов на 40-60% по сравнению с разработкой кода. Бизнес-аналитики могут самостоятельно создавать и модифицировать процессы без привлечения разработчиков, что снижает зависимость от IT-ресурсов и ускоряет time-to-market для новых автоматизаций. Использование международного стандарта обеспечивает переносимость моделей между платформами и независимость от конкретного вендора. Единый визуальный язык улучшает коммуникацию между бизнесом и IT: stakeholder-ы видят, как работает процесс, могут участвовать в review и утверждении моделей до их внедрения. Версионирование и audit моделей обеспечивает governance и позволяет отслеживать эволюцию процессов для compliance-аудитов."
функция,3,Движок исполнения workflow (Process Engine),"Центральный компонент BPM-платформы, отвечающий за исполнение экземпляров бизнес-процессов (process instances) в соответствии с развернутыми BPMN-моделями. Движок обрабатывает как простые последовательные процессы, так и сложные долгоживущие workflow с параллельными ветками, условной маршрутизацией, таймерами, событиями и компенсациями. Обеспечивает надежное сохранение состояния каждого экземпляра процесса, обработку ошибок, retry-механизмы и гарантию доставки (exactly-once semantics) для критичных операций. Является ядром, которое превращает смоделированные диаграммы в исполняемый код.","Движок реализован на Java/.NET/Go с использованием реляционного хранилища состояния (job store): поддерживает PostgreSQL, Oracle, MySQL, SQL Server, H2. Обеспечивает ACID-транзакционность исполнения через optimistic locking и dead-letter queues для failed jobs. Масштабируется горизонтально через кластеризацию с шардированием процессных инстансов. Поддерживает асинхронное исполнение (async continuations) для длительных операций, job executor с приоритизацией и backoff-стратегией. Обрабатывает 1000+ инстансов процессов в минуту на стандартной конфигурации. Интеграция с message brokers (Kafka, RabbitMQ) обеспечивает event-driven архитектуру. Поддерживает multi-tenancy для изоляции процессов разных подразделений, а также???runtime data partitioning для оптимизации производительности при миллионах завершенных экземпляров.","Надежный движок исполнения гарантирует, что ни один процесс не будет потерян или застопорен при сбоях инфраструктуры. Это критично для финансовых операций, согласований доступа и HR-процессов, где потеря заявки означает compliance-риск или финансовые потери. Горизонтальная масштабируемость позволяет обрабатывать пиковые нагрузки (например, ежемесячный payroll или массовый onboarding) без деградации производительности. Механизмы retry и dead-letter queue обеспечивают автоматическое восстановление после временных сбоев внешних систем, снижая ручное вмешательство операторов. Multi-tenancy позволяет единой платформе обслуживать процессы разных дочерних компаний или департаментов с изоляцией данных и политик, оптимизируя TCO инфраструктуры."
функция,3,No-code / low-code конструктор процессов,"Функция, позволяющая бизнес-аналитикам и citizen developers создавать и модифицировать workflow-процессы без написания программного кода или с минимальным его использованием. Конструктор предоставляет визуальный интерфейс drag-and-drop для сборки процессов из готовых компонентов: форм ввода данных, полей согласования, условных переходов, интеграционных действий, уведомлений. Преднастроенные шаблоны (templates) для типовых процессов (onboarding сотрудника, согласование отпуска, закупка оборудования, запрос доступа) позволяют запускать автоматизацию за часы вместо недель разработки.","Конструктор реализован как web-приложение с rich client на React/Angular/Vue.js. Компонентная библиотека включает 50+ готовых элементов: Input, Select, DatePicker, FileUpload, Approval Panel, Notification, REST API Call, Database Query, Condition, Loop, Subprocess. Каждый компонент конфигурируется через property panel без кода. Для low-code сценариев поддерживается встроенный expression language (JavaScript/Groovy/FEEL) для сложных условий и преобразований данных. Конструктор форм позволяет создавать динамические формы с conditional visibility, calculated fields, валидацией и многоуровневой структурой. Поддерживается импорт шаблонов из marketplace, кастомизация UI тем, white-labeling для разных подразделений. Интеграция с identity provider (SAML, OAuth2, LDAP) обеспечивает управление доступом к конструктору на уровне ролей.","No-code подход democratizes автоматизацию: бизнес-аналитики и менеджеры подразделений могут самостоятельно создавать workflow без ожидания ресурсов IT-отдела, что сокращает time-to-market новых процессов с недель до часов. Low-code возможности позволяют IT-команде быстро расширять функциональность без полноценного цикла разработки. Шаблонная библиотека ускоряет внедрение: 70-80% enterprise-процессов покрываются готовыми шаблонами с минимальной адаптацией. Снижение зависимости от разработчиков сокращает стоимость владения (TCO) на 30-50% по сравнению с традиционной разработкой workflow. Citizen development подход, при правильном governance, позволяет масштабировать автоматизацию на всю организацию, создавая culture of continuous improvement."
функция,3,Интеграционная оркестрация (API / ESB / Events),"Функция связи BPM/Workflow с внешними корпоративными системами через REST API, SOAP, message queues, webhook и ESB-шину. Интеграционная оркестрация позволяет workflow-процессам вызывать сервисы ITSM Core (создание/обновление тикетов, инцидентов, изменений), HRM (получение orgstructure, JML-событий), IAM (создание учетных записей, назначение ролей), CMDB (обогащение данными о CI), ERP (создание заявок на закупку), SIEM (передача audit-событий). Является связующим слоем, который превращает изолированные workflow в сквозные межсистемные процессы.","Интеграционный слой реализует паттерн mediator/orchestrator с поддержкой 50+ преднастроенных коннекторов к enterprise-системам: ServiceNow, Remedy, Jira, SAP, Salesforce, Workday, Azure AD, Okta, Active Directory, CMDB (BMC Helix, ServiceNow CMDB, iTop). Для произвольных систем поддерживается HTTP/REST, SOAP, GraphQL, gRPC, JDBC, FTP/SFTP, email (SMTP/IMAP), LDAP. Асинхронная интеграция через Kafka, RabbitMQ, Azure Service Bus, AWS SQS. Поддерживается retry с exponential backoff, circuit breaker pattern, timeout management, idempotency keys. Data mapping осуществляется через visual mapper с transformation functions (JSON/XML/CSV parsing, format conversion). Интеграции версионируются и деплоятся независимо от процессов. Credential management через vault (HashiCorp Vault, Azure Key Vault) обеспечивает безопасное хранение учетных данных.","Интеграционная оркестрация устраняет ручные переходы между системами, которые являются основным источником ошибок и задержек в enterprise-процессах. Автоматизация onboarding сотрудника, охватывающая 8-12 систем (ITSM, IAM, HRM, CMDB, ERP, СКУД), сокращает время с 3-5 дней до 2-4 часов. Единая точка контроля сквозного процесса обеспечивает прозрачность: менеджер видит статус каждого шага во всех системах в одном интерфейсе, вместо проверки статуса в каждой системе отдельно. Сокращение integration debt: преднастроенные коннекторы и визуальный маппинг данных снижают стоимость и время создания интеграций на 60-80% по сравнению с custom development. Надежные механизмы retry и circuit breaker обеспечивают устойчивость к сбоям внешних систем, гарантируя завершение критичных процессов."
функция,3,Маршрутизация согласований и approval workflows,"Функция автоматизации процессов согласования, которая обеспечивает маршрутизацию заявок и документов через цепочки approver-ов на основе бизнес-правил. Поддерживает многоуровневые согласования (sequential и parallel), делегирование полномочий, автоматическую эскалацию при превышении сроков, напоминания и уведомления участников. Approval workflow применяется для согласования изменений инфраструктуры (Change Advisory Board), закупок оборудования, предоставления доступа, отпусков, бюджетных заявок. Интегрируется с корпоративными коммуникационными инструментами (email, Slack, Microsoft Teams) для ускорения принятия решений.","Реализовано через набор компонентов: Approval Task (согласование одним или несколькими approver-ами), Approval Chain (последовательная цепочка), Approval Matrix (матрица согласования на основе атрибутов заявки — суммы, категории, подразделения), Escalation Policy (правила эскалации по таймаутам), Delegation Rules (делегирование при отсутствии). Поддерживается согласование через email (approve/reject по ссылке), мобильное приложение, web-портал, чат-боты (Slack, Teams, Telegram). Интеграция с корпоративным каталогом (LDAP/AD) для определения руководителей и замещающих. Аudit trail фиксирует каждое действие: кто согласовал, когда, с каким комментарием, IP-адрес. Поддерживается цифровая подпись (DocuSign, Adobe Sign) для юридически значимых документов.","Автоматизация согласований сокращает среднее время approval с 3-5 дней до 2-8 часов, исключая потери в email-цепочках и ожидании на desk approver-ов. Матричная маршрутизация гарантирует, что каждая заявка попадает к нужному согласующему без ручного определения маршрута, что снижает ошибки маршрутизации на 80-90%. Эскалация по таймаутам предотвращает залипание заявок: если approver не ответил в течение SLA, заявка автоматически перенаправляется заместителю или вышестоящему руководителю. Полный audit trail согласований обеспечивает compliance требованиям внутреннего контроля (SOX, внутренние аудиты) и позволяет анализировать эффективность approver-ов. Мобильные уведомления и one-click approval через email/чаты повышают responsiveness approver-ов, ускоряя business velocity организации."
функция,2,Мониторинг и аналитика процессов (BAM),"Функция Business Activity Monitoring (BAM), обеспечивающая real-time наблюдение за исполнением процессов, сбор метрик производительности и выявление узких мест (bottlenecks). Предоставляет операционные дашборды с KPI: среднее время выполнения процесса (cycle time), количество активных и завершенных экземпляров, распределение по статусам, процент просроченных задач, workload исполнителей. Аналитический модуль позволяет проводить ad-hoc анализ, сравнивать производительность процессов по периодам, выявлять тренды и аномалии. Интеграция с process mining позволяет сравнивать фактический путь процесса с запроектированным и выявлять отклонения.","BAM-слой реализован на стеке ELK (Elasticsearch, Logstash, Kibana) или аналогах (Prometheus + Grafana, Splunk, Power BI). Собирает события из process engine через event listener: старт/завершение процесса, старт/завершение задачи, изменение переменных, срабатывание таймеров. Агрегация метрик выполняется в real-time (windowed aggregation) и batch-режиме. Дашборды конфигурируются через визуальный конструктор с 15+ типов визуализаций: line charts, bar charts, pie charts, heatmaps, funnel diagrams, geo-maps. Поддерживается alerting (email, SMS, webhook) при превышении порогов KPI. Process mining интеграция: импорт event logs в формате XES, алгоритмы discovery (alpha algorithm, heuristic miner) для восстановления фактической модели процесса, conformance checking для сравнения с BPMN-моделью, bottleneck analysis для выявления узких мест.","Real-time мониторинг процессов дает руководству и операционным менеджерам прозрачность: видно, сколько заявок в работе, где они застряли, кто из исполнителей перегружен. Это позволяет принимать решения на основе данных: перераспределять нагрузку, оптимизировать bottleneck, корректировать SLA. Process mining выявляет скрытые inefficiencies: например, 30% заявок возвращаются на доработку после первого согласования, или среднее время ожидания на шаге X в 5 раз превышает норму. Сравнение производительности процессов по кварталам позволяет измерить эффект от оптимизаций и обосновать ROI инвестиций в BPM. Предиктивная аналитика (forecasting completion time) помогает управлять ожиданиями stakeholder-ов и планировать ресурсы."
функция,2,Управление ролями и SLA в контексте процессов,"Функция определения и управления участниками процессов (ролями, группами, индивидуальными исполнителями) и установления сервисных уровней (SLA) для каждого шага процесса. Ролевая модель позволяет назначать задачи динамически на основе организационной структуры (руководитель подразделения, члены команды, функциональные роли), атрибутов заявки или бизнес-правил. SLA-модуль определяет целевые сроки выполнения каждой задачи и процесса в целом с поддержкой календарей рабочего времени, часовых поясов, исключения выходных и праздников.","Ролевая модель интегрируется с IAM/LDAP/Active Directory для синхронизации пользователей, групп и оргструктуры. Поддерживает assignment strategies: round-robin, least-busy, skill-based, supervisor-of-requester, dynamic expression. Делегирование и замещение настраиваются через UI: пользователь может назначить delegate на период отпуска, система автоматически перенаправляет задачи. SLA engine рассчитывает due date на основе рабочего календаря (business calendar), учитывая timezone, рабочие часы, праздники. Поддерживается multi-level SLA: process-level, task-level, escalation-level. При приближении к deadline (80%, 90%, 100%) отправляются предупреждения; при превышении — автоматическая эскалация. Integration with CMDB позволяет назначать SLA на основе критичности CI: критичный сервис = более короткий SLA.","Гибкая ролевая модель сокращает время настройки процессов: вместо жесткого назначения конкретных сотрудников используются роли, которые автоматически резолвятся в нужных людей на основе оргструктуры или атрибутов заявки. Это особенно важно для крупных организаций с частыми кадровыми изменениями: при переводе сотрудника не требуется перенастройка десятков workflow. Механизм замещения гарантирует непрерывность процессов во время отпусков и больничных. SLA-мониторинг обеспечивает compliance с внутренними и внешними обязательствами: каждый просроченный процесс фиксируется, эскалируется и анализируется. Привязка SLA к критичности бизнес-сервисов позволяет приоритизировать ресурсы на наиболее важные операции, оптимизируя customer satisfaction и снижая риски business disruption."
функция,2,Case Management (CMMN) — управление динамическими процессами,"Функция управления неструктурированными и динамическими процессами (cases), где последовательность шагов заранее не определена и формируется в зависимости от контекста ситуации. Case Management, основанный на стандарте CMMN (Case Management Model and Notation), применяется для процессов, которые невозможно полностью смоделировать заранее: расследование инцидентов безопасности, работа с жалобами клиентов, управление проектами, сложные запросы на обслуживание. Case worker самостоятельно выбирает, какие действия выполнить в зависимости от ситуации, а система предоставляет доступ к необходимой информации, документам и инструментам.","Case engine реализует стандарт CMMN 1.1 с элементами: Case File (центральное хранилище данных кейса), Stages (этапы, активируемые условиями), Event Listeners (внешние события, запускающие действия), Milestones (контрольные точки), Human Tasks и Process Tasks. Каждый кейс имеет Case File с структурированными данными (JSON), документами (вложения) и связями с внешними системами (CI из CMDB, тикеты из ITSM). Динамическое планирование (dynamic planning) позволяет case worker добавлять ad-hoc задачи в рамках кейса. Case history сохраняет полный audit trail. Поддерживается корреляция между кейсами: связь с родственными кейсами, master-case с sub-cases. Интеграция с BPMN: case может запускать BPMN-процессы для структурированных фрагментов, а BPMN-процесс может создавать case для неструктурированной части.","Case Management решает проблему жесткости традиционных workflow: для сложных, непредсказуемых процессов попытка заранее смоделировать все варианты приводит к перегруженным схемам и постоянным доработкам. CMMN дает гибкость: опытный сотрудник сам выбирает оптимальный путь действий, а система обеспечивает доступ к нужной информации и фиксирует каждое решение. Это повышает quality of service для сложных запросов: расследование инцидента ИБ, разбор критичного сбоя, работа с VIP-клиентом. Полная история кейса сохраняет institutional knowledge: при передаче дела другому сотруднику он получает полный контекст. Case Management сокращает время решения сложных проблем на 25-40% за счет лучшей организации информации и tooling для case worker-ов."
функция,2,DMN — движок бизнес-правил (Decision Model and Notation),"Функция автоматизации принятия решений на основе формализованных бизнес-правил с использованием стандарта DMN (Decision Model and Notation). DMN-движок выносит логику принятия решений из кода процессов в отдельные таблицы решений (decision tables), которые могут создаваться и модифицироваться бизнес-аналитиками без изменения процессного workflow. Применяется для условной маршрутизации, автоматического определения approver-ов, расчета приоритетов, валидации данных, проверки compliance. DMN позволяет centralize и version-control бизнес-правила, обеспечивая их прозрачность и единообразие применения.","DMN engine поддерживает стандарт DMN 1.3 с элементами: Decision Tables (таблицы решений с hit policies: unique, first, any, collect, rule order, output order), FEEL expression language (Friendly Enough Expression Language) для вычислений, Decision Requirements Diagram (DRD) для визуального моделирования зависимостей между решениями. Decision tables редактируются через web-интерфейс с inline editing, валидацией completeness и consistency. Поддерживается testing/debugging: unit tests для каждого правила, what-if анализ, trace mode. DMN-решения версионируются и могут hot-deploy без остановки процессов. Интеграция с BPMN: Business Rule Task вызывает DMN-решение, передавая input variables и получая output. Performance: DMN-движок оптимизирован для sub-millisecond latency, обрабатывая миллионы решений в час.","DMN отделяет бизнес-правила от процессной логики, что позволяет бизнес-аналитикам самостоятельно управлять правилами без участия IT. Например, изменение порога согласования закупок (с 50 000 до 100 000 руб.) выполняется за минуты в таблице решений, вместо недель разработки и deployment. Это сокращает time-to-market для изменений в политиках на 80-90%. Централизация правил обеспечивает consistency: одно и то же правило применяется во всех процессах, исключая противоречия и ошибки интерпретации. Полная прозрачность: аудитор и регулятор могут видеть, какие правила применялись и почему было принято конкретное решение. Версионирование правил позволяет отслеживать историю изменений и при необходимости восстанавливать предыдущие версии."
