тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Multi-Cloud Provisioning & Orchestration,"Единая система создания и оркестрации облачных ресурсов across multiple cloud providers. Обеспечивает стандартизированный процесс развёртывания инфраструктуры через единый интерфейс, независимо от целевой облачной платформы. Является ядром CMP, позволяя инженерам заказывать виртуальные машины, хранилища, сети и PaaS-сервисы без необходимости работать с нативными консолями каждого провайдера.","Реализована через адаптеры (connectors) к API облачных провайдеров (AWS, Azure, GCP, VMware vSphere, OpenStack). Поддерживает Infrastructure as Code через интеграцию с Terraform, CloudFormation, ARM templates. Оркестрационный движок управляет последовательностью операций: создание VPC ? развёртывание VM ? конфигурация security groups ? установка агентов мониторинга. Включает approval workflows перед provisioning в production-средах, интеграцию с CMDB для автоматической регистрации созданных ресурсов.","Сокращает time-to-market для новых сервисов с дней до минут. Устраняет vendor lock-in за счёт абстракции от конкретного провайдера. Стандартизирует архитектуру развёртываний, снижая технический долг. Обеспечивает аудитоспособность: каждое создание ресурса фиксируется с указанием заказчика, времени и параметров, что критично для финансового контроля и compliance."
категория,3,Cloud Resource Inventory & Discovery,"Автоматическое обнаружение и ведение единого реестра всех облачных ресурсов организации across всех облачных провайдеров и аккаунтов. Обеспечивает полную visibility облачной инфраструктуры: типы ресурсов, конфигурации, взаимосвязи, статусы и метаданные. Является основой для всех остальных функций CMP — без полного inventory невозможны ни cost optimization, ни governance, ни security compliance.","Использует нативные API облачных провайдеров (AWS Config, Azure Resource Graph, GCP Asset Inventory) для непрерывного сбора данных обо всех ресурсах. Поддерживает scheduled и event-driven discovery: полное сканирование раз в сутки + инкрементальные обновления при изменениях. Нормализует данные из разных провайдеров в единую схему (CMP-native data model). Интегрируется с CMDB для синхронизации облачных CI как части единого гибридного inventory. Включает drift detection — выявление ресурсов, созданных в обход CMP (shadow IT).","Устраняет слепые зоны облачной инфраструктуры — до 30% облачных ресурсов в крупных организациях не учтены. Обеспечивает основу для FinOps: невозможно оптимизировать то, что не видишь. Снижает риски security и compliance за счёт полного inventory. Поддерживает аудит: аудитор получает полный реестр облачных активов в несколько кликов вместо недель ручного сбора."
категория,3,Self-Service Portal & Service Catalog,"Портал самообслуживания, предоставляющий бизнес-пользователям и инженерам каталог одобренных облачных сервисов для заказа через веб-интерфейс без участия IT-операций. Трансформирует процесс получения облачных ресурсов из ticket-based модели (заявка ? согласование ? ручное создание) в автоматизированную self-service модель с предустановленными шаблонами и политиками.","Реализован как web-портал с каталогом облачных сервисов (service catalog), где каждая позиция — предконфигурированный шаблон (blueprint) с заданными параметрами: тип инстанса, ОС, сетевой сегмент, теги, политики резервного копирования. Интегрирован с IAM для аутентификации и авторизации (SSO, RBAC). Каждый заказ проходит через workflow согласования: автоматическое для dev/test, approval-based для production. Ограничения по квотам (quotas) на уровне пользователя/команды/подразделения. Интеграция с ITSM для создания ticket по шаблонным заказам.","Сокращает время получения облачных ресурсов с дней до минут, ускоряя time-to-market для продуктовых команд. Снижает операционную нагрузку на cloud-ops команду на 40-60% за счёт автоматизации рутинных заказов. Обеспечивает governance by design: каждый заказанный ресурс автоматически соответствует корпоративным политикам тегирования, безопасности и архитектуры. Создаёт культуру cost ownership: пользователь видит стоимость ресурса до заказа."
категория,3,Cloud Cost Management & Optimization,"Комплексная система управления облачными затратами, охватывающая сбор billing-данных, распределение расходов по подразделениям, анализ использования ресурсов и формирование рекомендаций по оптимизации. Обеспечивает financial visibility облачной инфраструктуры и является техническим фундаментом для FinOps-практик организации. Интегрируется с FinOps-функцией зоны z-fin.","Собирает данные о затратах через нативные billing API провайдеров (AWS CUR, Azure Cost Management, GCP Billing) с детализацией до line item. Нормализует данные из разных источников в единую валютную и классификационную модель. Реализует chargeback/showback-модели распределения затрат по бизнес-подразделениям, проектам, командам через иерархию cost centers. Аналитический модуль выявляет неиспользуемые и недоиспользуемые ресурсы (idle VMs, unattached disks, over-provisioned instances) и формирует рекомендации по rightsizing, reserved instances, spot instances. Интегрируется с CMDB для привязки затрат к владельцам и бизнес-сервисам.",Снижает облачные расходы на 20-35% за счёт устранения неэффективного использования ресурсов. Обеспечивает предсказуемость облачного бюджета через forecasting и alerts при превышении порогов. Создаёт финансовую ответственность команд: каждое подразделение видит свои облачные затраты и может принимать обоснованные решения. Поддерживает переговоры с облачными провайдерами за счёт детальной аналитики потребления и benchmarks.
категория,2,Cloud Governance & Policy Enforcement,"Система управления политиками и compliance облачных ресурсов, обеспечивающая применение корпоративных стандартов при создании и эксплуатации облачной инфраструктуры. Охватывает тегирование, бюджетный контроль, security-политики, ограничения по типам ресурсов и регионам, lifecycle-политики. Работает в тандеме с классом Cloud Governance зоны z-cld.","Реализована через policy-as-code: определение правил в декларативном формате с автоматической проверкой при каждой операции с ресурсом. Политики покрывают обязательное тегирование (owner, project, environment, cost center), ограничения по регионам размещения, запрет на определённые типы инстансов, требования шифрования, сроки жизни временных ресурсов. Интегрирована с Cloud Governance для синхронизации policy tags в CMDB. Enforcement происходит на этапе provisioning (pre-deploy check) и в runtime (continuous compliance scan). Нарушения политик маршрутизируются в ITSM для remediation workflow.","Предотвращает рост 'облачного мусора' — ресурсов без тегов, владельцев и назначения, которые продолжают тарифицироваться. Обеспечивает соответствие корпоративным стандартам и регуляторным требованиям (data residency, encryption). Снижает риски несанкционированных облачных расходов через бюджетные alerts и блокировку. Создаёт единые стандарты для всех облачных провайдеров, упрощая управление мультиоблачной инфраструктурой."
категория,2,Cloud Security & Access Management,"Набор функций обеспечения безопасности облачной инфраструктуры, включающий управление доступом к облачным ресурсам (RBAC, IAM federation), политики шифрования, network security (security groups, VPC policies), обнаружение misconfigurations и интеграцию с корпоративными security-системами. Дополняет, но не заменяет специализированные security-классы зоны z-sec.","Интегрирована с корпоративным IAM/IGA для федерации идентичностей (SSO via SAML/LDAP) и применения единых RBAC-политик. Управляет cloud-native IAM: service accounts, roles, policies across провайдеров. Включает модуль CSPM (Cloud Security Posture Management) для сканирования конфигураций на соответствие benchmarks (CIS, NIST, PCI DSS). Обнаруживает misconfigurations: открытые S3-бакеты, публичные security groups, отсутствие MFA. Интегрируется с SIEM для передачи security events и с PAM для управления привилегированным доступом к облачным консолям. Поддерживает encryption policies: at-rest (EBS, S3) и in-transit (TLS).","Снижает риск data breach в облачной инфраструктуре — 65% инцидентов связаны с misconfigurations. Обеспечивает compliance с регуляторными требованиями к защите облачных данных (GDPR, HIPAA, PCI DSS). Создаёт единую модель управления доступом, предотвращая 'теневой' доступ уволенных сотрудников. Ускоряет security-audit за счёт автоматизированного сбора evidence конфигурационного compliance."
категория,2,Cloud Automation & Workflow,"Система автоматизации операций с облачными ресурсами, включающая workflow-оркестрацию, event-driven automation, auto-scaling, self-healing и интеграцию с CI/CD-пайплайнами. Устраняет ручные операции при управлении облачной инфраструктурой, повышая скорость и снижая вероятность человеческих ошибок.","Оркестрационный движок поддерживает визуальное проектирование workflow: provisioning chains, approval flows, notification rules. Event-driven automation реагирует на triggers от облачных провайдеров (CloudWatch Events, Azure Event Grid) и CMP-системы: auto-scaling по CPU/memory threshold, автоматическая остановка dev-ресурсов в нерабочее время, self-healing при detection failed health checks. Интегрируется с CI/CD (Jenkins, GitLab, GitHub Actions) для infrastructure deployments через Terraform/Ansible. Поддерживает webhook-based интеграции с ITSM для создания задач на remediation.","Сокращает операционные затраты на управление облаком на 30-50% за счёт устранения ручных операций. Повышает доступность сервисов через self-healing: время восстановления сокращается с часов до минут. Оптимизирует затраты на dev/test-окружения через scheduled shutdown. Ускоряет поставку инфраструктуры: CI/CD-интеграция позволяет развёртывать инфраструктуру тем же pipeline, что и приложение."
категория,1,Cloud Migration & Workload Placement,"Набор инструментов и функций для планирования и выполнения миграции рабочих нагрузок между on-premise и облачными средами, а также между различными облачными провайдерами. Включает discovery on-premise инфраструктуры, оценку готовности к миграции, planning и execution migration workflows.","Интегрирована с on-premise discovery-инструментами (vCenter, Hyper-V) для инвентаризации существующей инфраструктуры. Оценивает готовность workload к миграции: зависимости, совместимость, требования к лицензиям, оценка затрат на целевой платформе. Поддерживает различные стратегии миграции: rehost (lift-and-shift), replatform, refactor. Интегрируется с native migration tools (AWS Migration Hub, Azure Migrate, Google Migrate) для orchestration процесса. Workload placement engine рекомендует оптимальную облачную платформу на основе критериев: cost, latency, compliance requirements, available services.","Сокращает время и риски cloud migration: структурированный подход снижает вероятность ошибок и простоев. Обеспечивает обоснованный выбор между провайдерами и deployment models (public/private/hybrid) на основе данных, а не интуиции. Снижает затраты на миграцию за счёт оптимального workload placement и избегания over-provisioning. Ускоряет cloud adoption программу, обеспечиваяrepeatable migration patterns."
функция,3,Multi-cloud resource provisioning,"Функция создания и конфигурирования облачных ресурсов (VM, storage, network, PaaS) через единый интерфейс с абстракцией от конкретного облачного провайдера. Пользователь выбирает тип ресурса и параметры, а CMP транслирует запрос в нативные API целевого провайдера.","Использует provider-specific connectors (AWS SDK, Azure ARM, GCP API) для трансляции абстрактного запроса в нативные вызовы. Поддерживает параметризуемые шаблоны развёртывания с валидацией входных данных. Включает pre-flight checks: проверка квот, прав доступа, compliance с политиками перед выполнением. Результат provisioning автоматически регистрируется в inventory и синхронизируется с CMDB.","Сокращает время предоставления инфраструктуры с дней до минут. Устраняет необходимость обучения персонала работе с консолями разных провайдеров. Обеспечивает единый аудитный след всех операций создания ресурсов, критичный для финансового контроля."
функция,3,Infrastructure as Code integration,"Интеграция CMP с IaC-инструментами (Terraform, CloudFormation, Pulumi, Ansible) для управления инфраструктурой через декларативные конфигурации, хранимые в системе контроля версий. Обеспечивает repeatability, version control и code review для изменений инфраструктуры.",Поддерживает импорт Terraform modules и CloudFormation templates как шаблонов сервисного каталога. Интегрируется с Git-репозиториями для хранения и версионирования IaC-дефиниций. Выполняет terraform plan/apply через интегрированный runner с логированием и аудитом. Поддерживает state management с централизованным хранилищем state-файлов и блокировкой concurrent changes.,Повышает качество и контролируемость изменений инфраструктуры: каждое изменение проходит code review и тестирование. Устраняет configuration drift за счёт декларативного подхода. Ускоряет восстановление после сбоев: инфраструктура восстанавливается из кода за минуты вместо часов ручной настройки.
