тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Обнаружение и инвентаризация сети (Network Discovery & Inventory),"Категория охватывает функции автоматического обнаружения сетевых устройств и ведения их инвентарной базы. NMS выполняет сетевое сканирование для выявления коммутаторов, маршрутизаторов, точек доступа, файрволов, балансировщиков нагрузки и другого активного оборудования, формируя полный реестр сетевой инфраструктуры предприятия. Эта категория является фундаментальной для всего Discovery-слоя, поскольку сетевое оборудование является связующим звеном между всеми остальными активами, и его отсутствие в инвентаре создаёт слепые зоны в топологии.","Обнаружение выполняется через опрос устройств по протоколам SNMP (v1/v2c/v3), SSH, Telnet и API контроллеров SDN. NMS собирает аппаратные атрибуты: модель устройства, версию прошивки, серийный номер, производителя, объём памяти, типы интерфейсов. Для каждого устройства определяется его роль в сети (core, distribution, access, edge), принадлежность к сегменту и административный статус. Инвентарная база синхронизируется с Discovery-системами для включения сетевых устройств в общий CMDB как отдельный класс CI (Network Device CI). Интеграция с IPAM обеспечивает сопоставление устройств с адресными пространствами.","Полная инвентаризация сетевой инфраструктуры исключает «теневое» сетевое оборудование — неучтённые коммутаторы и точки доступа, которые не подпадают под контроль безопасности и обновления. Организации с 500+ сетевыми устройствами экономят до 30% времени сетевых администраторов за счёт автоматизации инвентаризации. Достоверный реестр оборудования позволяет планировать замену устаревших устройств, управлять гарантийными обязательствами и обосновывать закупки сетевого оборудования перед CFO с точными данными о парке."
функция,3,Обнаружение сетевых устройств (Network Device Discovery),"Функция автоматического выявления всех активных сетевых устройств в инфраструктуре предприятия через сетевое сканирование и опрос оборудования. NMS периодически обходит заданные диапазоны IP-адресов, опрашивает устройства по SNMP и SSH, и регистрирует вновь появившееся оборудование. Это обеспечивает непрерывное пополнение инвентаря и выявление несанкционированно подключённых устройств.","Реализуется через механизмы сканирования подсетей (ping sweep, SNMP walk), агентов на контроллерах SDN (Cisco DNA Center, Aruba Central, Juniper Mist) и парсинг таблиц маршрутизации/ARP для обнаружения соседей. Поддерживаются протоколы SNMP v1/v2c/v3 (MIB-2, IF-MIB, ENTITY-MIB), SSH с CLI-парсингом, NETCONF/RESTCONF для программируемых сетей, API облачных сетевых сервисов (AWS VPC, Azure VNet). Обнаруженные устройства классифицируются по vendor-справочникам и получают начальные атрибуты CI.","Сокращает время выявления нового сетевого оборудования с дней (ручной учёт) до минут (автообнаружение). Предотвращает ситуации, когда неучтённые коммутаторы или точки доступа эксплуатируются без обновления безопасности месяцами. Позволяет оперативно реагировать на появление несанкционированного оборудования (rogue access points, shadow switches), снижая риски компрометации сети. В средней организации обнаружение 10-15% ранее неучтённых сетевых устройств — типичный результат первичного аудита."
функция,2,Инвентаризация сетевого оборудования (Network Asset Inventory),"Функция ведения структурированного реестра всех сетевых устройств с полным набором атрибутов: модель, производитель, серийный номер, версия прошивки, установленные модули, лицензии, гарантийные сроки, местоположение. Инвентарная база служит источником данных для планирования жизненного цикла оборудования, управления лицензиями и подготовки к аудитам.","Инвентарная база хранится в структурированном формате с поддержкой версионирования атрибутов. Каждое устройство имеет уникальный идентификатор CI, связи с другими объектами (размещение в стойке, подключение к upstream-коммутатору, принадлежность к VLAN), и расширяемый набор атрибутов (EoL/EoS даты, контрактная поддержка, SLA уровня). Интеграция с vendor-базами (Cisco EOX, Juniper EOL) обеспечивает автоматическое обогащение данными об окончании жизненного цикла оборудования и доступности обновлений. Экспорт инвентаря в CMDB выполняется через REST API или репликацию базы данных.","Обеспечивает точный учёт сетевых активов для финансовой отчётности и управления жизненным циклом. Позволяет прогнозировать капитальные затраты на замену устаревающего оборудования за 6-12 месяцев. Снижает риски эксплуатации устройств с истёкшей гарантией или поддержкой (End-of-Life), что особенно критично для compliance со стандартами ИБ. Типовая экономия за счёт отказа от продления гарантии на неиспользуемое оборудование составляет 8-15% годового бюджета на сетевую инфраструктуру."
категория,3,Мониторинг состояния сети (Network Health Monitoring),"Категория охватывает функции непрерывного наблюдения за состоянием сетевой инфраструктуры: доступностью устройств, загрузкой ресурсов, состоянием интерфейсов, пропускной способностью каналов. Мониторинг состояния сети обеспечивает оперативное выявление отказов и деградации производительности, формируя данные для систем alerting и корреляции событий. Это критически важная функция, поскольку сетевые отказы имеют каскадный эффект и затрагивают все подключённые сервисы и приложения.","Мониторинг реализуется через периодический опрос устройств по SNMP (polling интервал 30-300 секунд), сбор trap-сообщений и syslog-событий в реальном времени, а также flow-анализ (NetFlow, sFlow, IPFIX) для оценки трафика. Ключевые метрики: доступность устройства (up/down), загрузка CPU и памяти, утилизация интерфейсов (bps/pps), количество ошибок на портах (CRC, frame errors), задержки (latency) и потери пакетов (packet loss). Данные агрегируются в time-series базы (InfluxDB, Prometheus, RRD) и передаются в Monitoring-системы для визуализации и alerting. Интеграция с APM обеспечивает корреляцию сетевых метрик с показателями производительности приложений.","Проактивный мониторинг сетевой инфраструктуры сокращает среднее время обнаружения отказа (MTTD) с часов до минут, что критично для соблюдения SLA бизнес-сервисов. Для организаций с revenue-генерирующими сервисами каждая минута простоя сети может стоить от $5,000 до $50,000. Мониторинг загрузки каналов позволяет планировать расширение пропускной способности до возникновения перегрузок, предотвращая деградацию пользовательского опыта. В совокупности с automation мониторинг позволяет реализовать самовосстанавливающиеся сети (self-healing), сокращающие операционные расходы на 20-40%."
функция,3,Мониторинг доступности и производительности сетевых устройств (Device Availability & Performance Monitoring),"Функция непрерывного отслеживания доступности сетевых устройств и их ключевых показателей производительности: загрузки CPU, использования памяти, состояния интерфейсов, утилизации полосы пропускания. При выявлении отклонений от нормальных значений система генерирует оповещения для оперативного реагирования.","Реализуется через SNMP polling с настраиваемыми интервалами (типично 60-300 секунд для доступности, 5-15 минут для производительности) с использованием стандартных MIB (MIB-II, IF-MIB, ENTITY-MIB, Cisco-specific MIBs). Threshold-based alerting настраивается на ключевые метрики: CPU > 80%, memory > 85%, interface utilization > 70%, error rate > 0.1%. Данные хранятся в time-series базах с retention policy (типично 90 дней детальных, 1 год агрегированных). Интеграция с ITSM обеспечивает автоматическое создание инцидентов при критических отказах. Гистограммы и тренды позволяют выявлять постепенную деградацию до критического состояния.","Сокращает MTTD (Mean Time To Detect) для сетевых отказов с часов до минут, обеспечивая соблюдение SLA для критичных сервисов. Позволяет выявлять постепенную деградацию оборудования (рост CPU load, накопление ошибок на портах) и планировать превентивную замену до аварийного отказа. Для дата-центров и распределённых офисов функция обеспечивает visibility across all locations, снижая необходимость выезда инженеров на площадку для диагностики. Каждый предотвращённый час простоя критичной сети экономит от $10,000 до $100,000 в зависимости от отрасли."
функция,2,Сбор и обработка сетевых событий (Event Collection & Processing),"Функция сбора, нормализации и обработки событий от сетевого оборудования: SNMP traps, syslog-сообщений, NetFlow-записей, log-сообщений от файрволов и балансировщиков. События фильтруются, коррелируются и направляются в системы мониторинга и SIEM для дальнейшего анализа и реагирования.","Реализуется через коллекторы syslog (UDP/514, TCP/6514 с TLS), SNMP trap receivers, NetFlow/sFlow/IPFIX коллекторы. События нормализуются в единый формат (CEF, LEEF, JSON) с извлечением ключевых полей: timestamp, severity, source IP, event type, interface, VLAN ID. Корреляционные правила объединяют связанные события (например, серия CRC errors на порту + interface down ? предполагаемый отказ кабеля или SFP). Фильтрация шумовых событий (flapping interfaces, routine STP recalculations) сокращает объём alerts на 60-80%. Интеграция с SIEM обеспечивает контекстную корреляцию сетевых событий с security alerts. NetFlow-данные используются для анализа трафиковых паттернов и выявления аномалий.","Централизованный сбор событий с сетевого оборудования создаёт единую точку visibility для всех сетевых операций, устраняя необходимость подключаться к каждому устройству отдельно для диагностики. Корреляция событий сокращает время диагностики инцидентов на 40-60% за счёт группировки связанных alerts и предоставления контекста. Для безопасности — выявление аномальных трафиковых паттернов (DDoS, lateral movement, data exfiltration) на ранней стадии. Для compliance — доказуемый audit trail всех сетевых событий с долгосрочным хранением (1-7 лет в зависимости от требований регуляторов)."
категория,3,Управление топологией (Topology Management),"Категория охватывает функции построения, хранения и актуализации карты сетевой топологии: выявление физических и логических связей между сетевыми устройствами, определение путей прохождения трафика, сегментации сети. Топологические данные являются критически важными для CMDB, поскольку определяют зависимости между всеми активами инфраструктуры: серверы зависят от коммутаторов, коммутаторы — от upstream-маршрутизаторов, WAN — от провайдерских каналов. Без точной топологии невозможен impact analysis при планировании изменений и диагностике инцидентов.","Топология собирается через протоколы обнаружения соседей: LLDP (802.1AB), CDP (Cisco proprietary), BGP/OSPF/IS-IS neighbor discovery, STP/RSTP/MSTP root bridge анализ. NMS строит многоуровневую топологическую модель: L2 (коммутация, VLAN, trunk), L3 (IP-маршрутизация, подсети, VRF), Overlay (VXLAN, GRE, MPLS). Карта топологии визуализируется в виде интерактивной диаграммы с возможностью детализации от дата-центра до отдельного порта. Топологические данные экспортируются в Discovery (связь e48) для построения service map в CMDB. Форматы экспорта: XML, JSON, GraphML или прямая запись в CMDB через REST/GraphQL API.","Актуальная карта сетевой топологии — основа всех сетевых операций и планирования изменений. При отказе коммутатора топология позволяет за секунды определить, какие серверы и сервисы оказались изолированными, сокращая время диагностики с часов до минут. При планировании изменений CAB (Change Advisory Board) использует топологию для оценки каскадного влияния: замена core-коммутатора затронет все downstream-сегменты. Без точной топологии риск непреднамеренных простоев при изменениях возрастает в 3-5 раз. Инвестиции в управление топологией окупаются за счёт предотвращения одного крупного инцидента с каскадным отказом."
функция,3,Построение карты сетевой топологии (Network Topology Mapping),"Функция автоматического построения и визуализации карты сетевой топологии, отражающей физические и логические связи между всеми сетевыми устройствами. Карта топологии служит основой для impact analysis, планирования изменений, диагностики инцидентов и документирования сетевой архитектуры.","Топология строится путём сбора данных о соседствах через LLDP/CDP (Layer 2), протоколы маршрутизации (Layer 3 — OSPF, BGP, EIGRP), и API контроллеров SDN. Результат представляется в виде графа, где вершины — сетевые устройства, а рёбра — физические связи (порты, кабели) или логические (VPN-туннели, VXLAN segment). Поддерживается многоуровневая визуализация: физическая (стойки, кабели), логическая (VLAN, VRF), географическая (карта с расположением офисов и ЦОД). Топология автоматически обновляется при изменениях (новые связи, отказ порта, добавление устройства) и экспортируется в Discovery/CMDB через связь e48. Поддерживается экспорт в форматах GraphML, JSON, или прямая запись через REST API CMDB.","Визуальная карта сети сокращает время onboarding новых сетевых инженеров с недель до дней, предоставляя полную картину инфраструктуры вместо «знаний в головах» уходящих сотрудников. При инциденте топологическая карта позволяет за секунды определить масштаб воздействия и затронутые сервисы, сокращая MTTR на 30-50%. При аудите и compliance-проверках актуальная топологическая документация демонстрирует зрелость управления сетью. Для планирования капитальных инвестиций топология показывает узкие места и точки концентрации риска, обосновывая бюджеты на модернизацию."
функция,3,Выявление связей между сетевыми устройствами (Link & Neighbor Discovery),"Функция автоматического определения связей между сетевыми устройствами: какие порты к каким подключены, какие устройства являются соседями по протоколам маршрутизации, как организованы VLAN и сегменты сети. Эти связи формируют основу графа зависимостей, который критичен для корректной работы impact analysis в CMDB и ITSM.","Связи выявляются через парсинг таблиц соседей: LLDP neighbors (802.1AB), CDP neighbors (Cisco), ARP tables, MAC address tables, STP root bridge анализ. Для Layer 3 анализируются таблицы маршрутизации (OSPF LSDB, BGP adjacencies) и VRF-конфигурации. Результат сохраняется в виде структурированных записей: {source_device, source_interface, target_device, target_interface, link_type, bandwidth, status}. Связи экспортируются в Discovery (e48) как отношения между CI, формируя foundation для service map в CMDB. Периодическое переопрос обеспечивает обнаружение изменений топологии (переподключение кабеля, замена порта, добавление trunk).","Точные данные о связях между устройствами позволяют CMDB корректно строить карту сервисных зависимостей (service map), что является предпосылкой для автоматического impact analysis при инцидентах и изменениях. Без этих связей замена одного коммутатора может привести к непредсказуемым простоям десятков серверов. Функция снижает риск человеческой ошибки при ручном документировании связей (ошибки в 15-25% записей при ручном ведении). Для compliance стандартов (PCI DSS, ISO 27001) документированные связи подтверждают контролируемость сетевой архитектуры."
категория,2,Управление конфигурациями (Configuration Management),"Категория охватывает функции централизованного управления конфигурациями сетевых устройств: автоматическое резервное копирование, версионирование, отслеживание изменений, выявление несанкционированных модификаций и восстановление конфигураций. Конфигурационное управление является критическим элементом операционной стабильности, поскольку неконтролируемые изменения конфигураций являются причиной 60-80% сетевых инцидентов в enterprise-средах.","Управление конфигурациями реализуется через периодический сбор конфигурационных файлов (running-config, startup-config) по SSH/SCP/SFTP, NETCONF/RESTCONF или vendor-specific API (Cisco IOS API, Juniper PyEZ, Arista eAPI). Каждая конфигурация версионируется с привязкой к timestamp, автору изменения (через syslog/TACACS+/RADIUS accounting) и ticket ID из ITSM. Diff-анализ сравнивает текущую конфигурацию с baseline и выявляет отклонения. Интеграция с Change Management обеспечивает корреляцию изменений с approved change requests. При выявлении unauthorized change система генерирует alert в SIEM и ITSM. Рollback-процедуры позволяют автоматически восстанавливать предыдущую рабочую конфигурацию.","Централизованное управление конфигурациями сокращает время восстановления после неудачных изменений с часов до минут за счёт быстрого rollback. Контроль изменений предотвращает 60-80% сетевых инцидентов, вызванных человеческой ошибкой или несанкционированными модификациями. Для compliance (SOX, PCI DSS, ISO 27001) — доказуемый audit trail всех изменений конфигураций с указанием авторов, времени и обоснования. Организации с 200+ сетевыми устройствами экономят 20-30% времени сетевых инженеров за счёт автоматизации backup и отсутствия необходимости вручную подключаться к каждому устройству."
