тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Управление лицензионными правами (License Entitlement Management),"Централизованный учёт всех лицензионных прав (entitlements) организации, включая приобретённые, полученные в составе соглашений и распространяемые права. Обеспечивает единый реестр лицензий с привязкой к вендорам, продуктам, версиям и метрикам лицензирования. Является базовой категорией, без которой невозможен корректный лицензионный учёт и комплаенс-оценка.","Реализуется через центральную базу данных лицензионных прав с интеграцией к ERP/закупкам для импорта entitlement-данных из контрактов и Purchase Orders. Поддерживает иерархические модели продуктов (suites, bundles, editions), правила слияния и разделения лицензий, downgrading/upgrading версий, а также различные метрики лицензирования: процессорные (Processor Value Unit, ядра), пользовательские (Named User, Authorized User), конкурентные (Concurrent User, Floating User). Интегрируется с CMDB через API для получения графа активов и с SAM-решениями для сопоставления прав с установленным ПО.","Обеспечивает полную видимость всех лицензионных активов компании, исключая приобретение дублирующих прав и обеспечивая доказуемость владения при аудитах вендоров. Централизованный учёт прав позволяет быстро рассчитать Effective License Position (ELP) для любого вендора, что сокращает время подготовки к аудиту с недель до часов. Устранение разрозненного учёта в Excel и локальных реестрах снижает риск финансовых санкций за недолицензирование и позволяет выявить скрытые резервы лицензий для переиспользования."
категория,3,Мониторинг использования лицензий (License Usage Monitoring),"Непрерывный сбор и анализ данных о фактическом использовании программного обеспечения для сопоставления с приобретёнными лицензионными правами. Включает отслеживание метрик различных моделей лицензирования: процессорных, пользовательских, конкурентных и метрик на основе использования (usage-based). Обеспечивает оперативную видимость загрузки лицензий и выявление аномалий потребления.","Использует агентный и безагентный сбор данных: интеграция с license managers (FlexNet, FLEXlm, DSLS, Sentinel RMS), агрегирование логов серверов лицензий, мониторинг запущенных процессов на endpoints, интеграция с EDR/UEM для сбора telemetry. Для процессорных лицензий — расчёт PVU по матрице вендора с учётом core factor. Для конкурентных — измерение пикового одновременного использования (high watermark). Для пользовательских — корреляция с IAM для определения фактических уникальных пользователей. Данные нормализуются и хранятся в time-series формате для трендового анализа. Интеграция с ITSM обеспечивает генерацию alerts при превышении порогов.","Предоставляет достоверную картину реального потребления ПО в сравнении с приобретёнными правами, что является основой для принятия решений о закупке, продлении или сокращении лицензий. Выявление неиспользуемых или редко используемых лицензий позволяет снизить затраты на ПО на 15–30% через их переаллокацию или отказ от продления. Мониторинг пиковых значений загрузки помогает правильно выбрать объём конкурентных лицензий и избежать ситуаций license denial, блокирующих работу критичных подразделений."
категория,3,Лицензионное соответствие и аудит (License Compliance & Audit),"Систематическая проверка соответствия фактического использования ПО приобретённым лицензионным правам с целью выявления зон риска недолицензирования или избыточного лицензирования. Обеспечивает готовность к внешним аудитам вендоров (Oracle, Microsoft, IBM, SAP) и внутреннему контролю. Включает механизмы автоматической сверки, формирования Effective License Position и управления remediation-планами.","Автоматизированная сверка (reconciliation) данных об установленном ПО из SAM/Discovery-систем с entitlement-данными из License Management. Для каждого вендора и продукта рассчитывается разрыв между License Demand (требуемое количество по метрике) и License Entitlement (приобретённое количество). Поддерживаются сложные сценарии: virtualization rules (sub-capacity licensing), DR-окружения, secondary use rights, license mobility. Формируется дашборд рисков с оценкой стоимости недолицензирования и приоритизацией remediation-действий. Интеграция с GRC обеспечивает включение лицензионных рисков в корпоративный реестр.","Снижает риск финансовых санкций при аудитах вендоров, которые в крупных организациях могут достигать миллионов долларов. Автоматизация compliance-проверок сокращает трудозатраты на подготовку к аудиту на 70–80%, превращая процесс из ежегодного стресса в постоянный мониторинг. Раннее выявление зон недолицензирования позволяет устранить риски до обращения вендора, что даёт возможность выбрать оптимальную стратегию: добровольная докупка, пересмотр архитектуры или пересмотр контракта."
категория,2,Оптимизация лицензий (License Optimization),"Аналитический процесс выявления и реализации возможностей повышения эффективности использования лицензионных прав. Включает рекомендации по изменению модели лицензирования, консолидации лицензий, перераспределению прав между подразделениями и планированию закупок. Основан на данных мониторинга использования и прогнозных моделях потребления.","Аналитический движок обрабатывает исторические данные использования, текущие entitlement и метрики для построения оптимизационных сценариев. Функции: расчёт true-up и true-down для subscription-лицензий, моделирование перехода между моделями лицензирования (например, с perpetual на subscription), определение кандидатов на license reharvesting (неиспользуемые >90 дней), расчёт экономии от консолидации соглашений (enterprise agreements). Поддержка what-if анализа для оценки влияния изменения количества пользователей, серверов или виртуальной инфраструктуры на лицензионную позицию. Интеграция с FinOps для расчёта удельной стоимости лицензии на пользователя.","Позволяет снизить совокупную стоимость владения лицензиями на 10–25% за счёт устранения избыточных запасов, перехода на более выгодные модели лицензирования и консолидации закупок. Моделирование сценариев даёт финансовую аргументацию для переговоров с вендорами и позволяет избежать импульсных закупок по аварийным ценам. Регулярная оптимизация формирует культуру управления лицензиями как управляемого актива, а не операционной статьи расходов."
категория,2,Управление вендорскими контрактами (Vendor Contract Management),"Управление жизненным циклом лицензионных соглашений и контрактов с поставщиками программного обеспечения: от переговоров и заключения через отслеживание условий до продления или расторжения. Обеспечивает контроль ключевых дат, SLA, метрик и финансовых обязательств. Централизует документооборот всех лицензионных договоров.","Реализуется через модуль контрактного управления с интеграцией к ERP/закупкам. Хранит структурированные данные о каждом соглашении: тип (EA, ELA, ULA, MPSA, Campus), срок действия, условия продления, метрики, capping, true-up obligations, price hold. Автоматические уведомления за N дней до критичных событий (истечение срока, окно true-up, пересмотр цен). Интеграция с License Management для связывания контрактов с конкретными entitlement. Поддержка amendment tracking — учёт дополнительных соглашений и изменений условий. API-интеграция с ITSM для генерации задач на согласование продлений.","Предотвращает пропуск сроков продления и автоматическое переподписание невыгодных соглашений, что может приводить к избыточным затратам в размере 10–20% годового бюджета на ПО. Централизованное хранение контрактов ускоряет подготовку к переговорам с вендорами и обеспечивает аргументированную позицию на основе данных об использовании. Контроль SLA и price protection гарантирует исполнение вендором взятых обязательств и защиту от незапланированного роста расходов."
категория,2,Интеграции и синхронизация (Integration & Data Sync),"Набор интеграционных механизмов, обеспечивающих обмен данными между License Management и смежными системами ландшафта: CMDB, SAM, ERP, ITSM, IAM и license servers. Корректная интеграция критична для достоверности лицензионного учёта, поскольку данные о правах, использовании и активах распределены по разным системам.","Интеграция с CMDB через REST/GraphQL API для получения asset graph и связывания лицензий с CI. Интеграция с ERP (SAP, Oracle EBS, 1C) для импорта данных о закупках и контрактах через IDoc, OData или прямые SQL-соединения. Интеграция с SAM-решениями для импорта данных об установленном ПО. Интеграция с license servers (FlexNet, FLEXlm, Sentinel, DSLS) через агенты или прямой опрос для сбора usage data. Интеграция с ITSM через webhooks или API для генерации задач на согласование. Интеграция с IAM для корреляции пользователей и лицензий. Поддержка форматов обмена: CSV, XML, JSON, SOAP, REST. Механизмы reconciliation обеспечивают согласованность данных при двунаправленной синхронизации.","Устраняет информационные силосы между закупками, эксплуатацией и финансами, обеспечивая единую картину лицензионной позиции. Автоматизация интеграций сокращает ручной труд на сбор и согласование данных на 60–80%, исключая ошибки ручного ввода и задержки в актуализации информации. Надёжные интеграционные связи позволяют переходить от периодических сверок к continuous compliance, когда данные обновляются в реальном времени."
функция,3,Учёт лицензионных прав (Entitlement Inventory),"Ведение центрального реестра всех приобретённых лицензионных прав с детализацией по вендору, продукту, версии, редакции, метрике лицензирования и количеству. Поддерживает учёт прав из различных источников: прямые закупки, enterprise agreements, OEM, academic licenses, government licenses, secondary use rights.","Реализуется через нормализованную базу данных entitlement с поддержкой иерархических связей (suites, bundles, add-ons, management packs). Каждая запись содержит: vendor, product, edition, version range, metric (PVU, NUP, AUTH, CONC и др.), quantity, purchase order, contract reference, activation key, expiration date. Интеграция с ERP/Procurement для автоматического создания записей при закупке. Поддержка правил downgrading/upgrading версий и license mobility между серверами. Механизмы дедупликации при импорте из нескольких источников. API для доступа downstream-систем (SAM, ITSM, BI).","Обеспечивает достоверный учёт всех лицензионных активов, исключая двойные закупки и обеспечивая юридическую доказуемость права использования ПО. Централизованный entitlement inventory позволяет быстро определить доступный объём прав по любому продукту, сокращая время принятия решений о новых закупках с дней до минут. При аудите вендора полный и актуальный реестр прав является основным инструментом защиты позиции компании."
функция,3,Управление сроками и датами (Term & Renewal Management),"Отслеживание ключевых дат лицензионных соглашений: дата начала действия, дата окончания, период уведомления о продлении, окно для true-up, grace period. Генерация оповещений для заинтересованных сторон о приближении критичных дат с возможностью инициации workflow согласования.","Система календарных оповещений с настраиваемыми порогами: за 90, 60, 30, 15, 7 дней до события. Поддержка типов соглашений с автопродлением и без. Интеграция с ITSM для автоматического создания change requests на продление или расторжение. Учёт зависимостей между соглашениями (prerequisite licenses, co-terming). Генерация отчёта о ближайших 90 днях renewal-активности с оценкой бюджетного воздействия. Интеграция с ERP для автоматического создания requisition на продление.","Предотвращает пропуск сроков продления лицензий, что может приводить к нарушению работы критичных систем или автоматическому продлению по не выгодным ценам. Планомерный подход к renewal management позволяет подготовить позицию для переговоров с вендором заранее, обычно экономя 10–15% стоимости продления. Прозрачность сроков всех соглашений обеспечивает предсказуемость лицензионных расходов и возможность их оптимального распределения по бюджетным периодам."
функция,3,Поддержка метрик лицензирования (License Metrics Support),"Поддержка различных моделей и метрик лицензирования: процессорных (Processor, PVU, Core), пользовательских (Named User Plus, Authorized User, Employee), конкурентных (Concurrent User, Floating User), ресурсных (RVU, Managed Resource), а также метрик на основе использования (usage-based, pay-per-use). Корректная интерпретация метрик критична для точного расчёта лицензионной потребности.","Модуль метрик содержит справочник лицензионных моделей по вендорам с правилами расчёта. Для процессорных лицензий — интеграция с inventory для получения конфигурации CPU (cores, sockets, core factor) и автоматический расчёт license demand по таблицам вендора (Oracle Core Factor Table, IBM PVU Table). Для пользовательских — корреляция с IAM/AD для подсчёта уникальных пользователей с учётом multiplexing rules. Для конкурентных — сбор high watermark данных с license server. Поддержка complex licensing: sub-capacity, full capacity, virtualization (IBM ILMT, Oracle LMS Collection), DR-окружения, cloud authorized environments. Возможность добавления custom metrics для специфических соглашений.","Правильный расчёт метрик лицензирования напрямую влияет на размер лицензионных расходов: ошибка в определении метрики для крупного соглашения может стоить компании сотен тысяч долларов. Поддержка всех актуальных моделей лицензирования обеспечивает точный выбор оптимальной метрики при закупке, исключая переплату. При аудите корректный расчёт по заявленной метрике является обязательным условием признания лицензионной позиции вендором."
функция,2,Управление правами использования (Usage Rights Management),"Учёт специальных прав использования, входящих в лицензионные соглашения: secondary use rights, downgrade rights, license mobility, virtualization rights, disaster recovery rights, home use rights, trial/evaluation rights. Корректный учёт этих прав позволяет законно сократить лицензионную потребность.","Справочник usage rights по вендорам и типам соглашений с правилами применения. Например: Microsoft Volume Licensing — downgrade rights до двух предыдущих версий; Oracle ULA — unlimited deployment в рамках согласованного списка продуктов на ограниченный срок; IBM — sub-capacity licensing при условии использования ILMT. Автоматическая проверка применимости rights при расчёте license position. Интеграция с Discovery/Inventory для валидации фактических условий использования (например, наличие secondary installation). Генерация отчёта об использовании special rights с оценкой экономического эффекта.","Максимально эффективное использование встроенных в соглашения прав позволяет снизить лицензионные расходы на 5–15% без дополнительных закупок. Корректный учёт downgrade rights, license mobility и DR rights защищает от искусственного завышения лицензионной потребности при аудите. Документированное применение usage rights демонстрирует профессиональный подход к SAM и повышает доверие вендора к лицензионной позиции компании."
