тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Software Recognition,"Класс решений зоны нормализации (z-norm), отвечающий за идентификацию установленного программного обеспечения по сырым данным с устройств и приведение его наименований к каноническому виду. Software Recognition выступает ключевым звеном между сенсорным слоем Discovery/Inventory и лицензионным учётом SAM: он преобразует файловые остатки установки (имена исполняемых файлов, MSI product codes, записи реестра, publisher signatures) в структурированные продуктовые записи с указанием наименования, редакции, версии и метрики лицензирования. Без этого класса данные об установленном ПО остаются неинтерпретируемыми для целей лицензионного compliance — невозможно отличить пробную версию от лицензионной, OEM-установку от корпоративной, подсчитать требуемое количество лицензий по конкретной метрике.","Software Recognition функционирует как специализированный движок сопоставления, состоящий из трёх компонентов: модуля сбора сырых признаков ПО (исполняемые файлы, версии, пути установки, registry keys, WMI-запросы), базы знаний продуктов (product knowledge base) с маппингом признаков на продукты, редакции и метрики лицензирования, и модуля вывода канонических записей. Технически интегрируется со слоем Discovery/Inventory через входящие потоки файловых признаков (e3) и передаёт распознанные продукты в Reconciliation Engine (e6) для включения в CI-записи CMDB. База знаний требует регулярного обновления для поддержки новых версий ПО и продуктовых линеек — типовая частота обновления 1–2 раза в месяц. Поддерживает распознавание по составным правилам (multi-factor recognition): комбинация publisher signature, MSI product code, версии файла и пути установки повышает точность идентификации до 95%+ для коммерческого ПО. Выходные данные включают наименование продукта, редакцию, версию, язык, архитектуру (x86/x64) и метрику лицензирования (пользовательская, процессорная, конкурентная, Client Access License).","Software Recognition обеспечивает экономическую основу для управления программными активами: точное распознавание редакций и версий позволяет SAM-подразделению корректно сопоставлять фактические установки с закупленными правами (entitlements), избегать как недолицензирования (риск штрафов при аудите вендора), так и избыточных запасов лицензий (переплата). В enterprise-средах с парком 10 000+ устройств ручной учёт установок невозможен — автоматизация распознавания сокращает подготовку к лицензионному аудиту с месяцев до суток. Выявление неразрешённого, пиратского или устаревшего ПО снижает информационные риски и обеспечивает compliance корпоративным политикам. ROI внедрения проявляется через снижение лицензионных рисков (оценочная стоимость штрафов при аудите вендоров типа Oracle, Microsoft, SAP может достигать миллионов долларов) и оптимизацию лицензионного портфеля (типовая экономия 15–30% от годового бюджета на ПО за счёт устранения избыточных установок и перекрёстного лицензирования)."
функция,3,Сбор файловых признаков ПО,"Функция извлечения сырых технических признаков установленного программного обеспечения с конечных устройств и серверов. Discovery и Inventory собирают файловые остатки инсталляции — имена исполняемых файлов, MSI product codes, записи системного реестра (Windows Registry), версии файлов, цифровые подписи издателей (publisher signatures), пути установки, данные WMI-запросов. Эти данные представляют собой необработанные технические маркеры, которые в изолированном виде не несут продуктовой семантики: запись реестра с GUID продукта или файл setup.exe версии 5.2.1 без контекста не позволяют определить, какой продукт установлен и в какой редакции.","Технически сбор реализован через агентный и бесагентный механизмы. Агентный сбор: установленные агенты инвентаризации (например, Flexera, Lansweeper, Snow Inventory) считывают данные через локальные API ОС — Windows Registry (ветви HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall, HKLM\SOFTWARE\WOW6432Node), WMI-классы (Win32_Product), файловую систему. Бесагентный сбор: сетевые сканеры опрашивают общие ресурсы и службы удалённого доступа (WMI over RPC, SSH, SNMP). Собираемые признаки включают: ProductName, ProductVersion, Publisher, InstallDate, InstallLocation, DisplayVersion, MSI Product Code (GUID), Upgrade Code, Digital Signature thumbprint, размер файла, хеш исполняемого файла. Для Unix-систем анализируются пакетные менеджеры (dpkg, rpm, apt), конфигурационные файлы и процессы. Входные данные поступают из зоны Discovery/Inventory (потоки e2, e3) в виде неструктурированных списков ПО сырых CI.","Качество сбора файловых признаков напрямую определяет точность всего последующего лицензионного учёта. Неполный сбор (например, отсутствие сканирования 32-разрядной ветви реестра на 64-битной системе) приводит к недоучёту установок и ложному ощущению compliance — риск, который проявляется при аудите вендора. Сбор признаков с цифровыми подписями позволяет выявить неподписанное или подозрительное ПО — индикатор потенциальных угроз информационной безопасности. Полный охват всех источников признаков (реестр, WMI, файловая система, пакетные менеджеры) гарантирует, что ни одна установка не останется необнаруженной, что критично для корректного расчёта лицензионной позиции и снижения финансовых рисков."
функция,3,Сопоставление с базой знаний продуктов,"Центральная функция Software Recognition — сопоставление собранных файловых признаков с базой знаний программных продуктов (product knowledge base) для определения точного продукта, редакции и версии. База знаний представляет собой структурированный каталог, содержащий соответствия между техническими маркерами (file signatures, MSI product codes, registry keys) и продуктовыми записями. На основе этого сопоставления система выдаёт каноническое наименование: например, сырые признаки setup.exe версии 16.0.14332.20238, publisher Microsoft, MSI code {90160000-0011-0000-1000-0000000FF1CE} транслируются в «Microsoft Office 2021 Professional Plus, 64-bit, Version 2108, en-us».","База знаний продуктов (PKB) строится на основе vendor-справочников и собственных исследований файл-признаков. Каждая запись в PKB содержит: уникальный идентификатор продукта, наименование производителя, продуктовую линейку, редакцию, версионный диапазон, метрику лицензирования, набор распознавательных правил (recognition rules). Правила сопоставления могут быть однофакторными (по MSI Product Code) и многофакторными (комбинация publisher signature + версия файла + путь установки). Алгоритм matching обрабатывает входной поток признаков последовательно: точное совпадение по GUID ? совпадение по комбинированному правилу ? fuzzy matching по имени и версии ? маркировка как «нераспознанное» для ручной обработки. База знаний требует регулярного обновления — vendor выпускают новые версии, продуктовые коды изменяются, появляются новые линейки. Типовая частота обновления PKB: 1–2 раза в месяц для основных коммерческих продуктов (Microsoft, Oracle, Adobe, IBM, SAP, VMware и др.). Результаты сопоставления передаются в Reconciliation Engine через поток e6.","Точность сопоставления с базой знаний является критическим фактором для лицензионного compliance. Неправильное сопоставление (например, распознавание Oracle Database Enterprise Edition как Standard Edition) приводит к недооценке лицензионных обязательств и многомиллионным штрафам при аудите. Корректное определение продукта и редакции позволяет SAM-подразделению точно сопоставить фактические установки с закупленными правами (entitlement reconciliation), выявить избыточные установки для оптимизации и обеспечить доказательную базу для vendor-аудитов. Инвестиции в качественную базу знаний окупаются за счёт снижения ручного труда специалистов SAM (автоматизация распознавания на 95%+ коммерческого ПО) и минимизации ошибок, которые в противном случае выявляются только в процессе дорогостоящего аудита."
функция,3,Определение редакций и версий ПО,"Функция точного определения редакции (edition) и версии установленного программного продукта на основе сопоставления файловых признаков с базой знаний. Редакция — ключевой атрибут для лицензионного учёта, поскольку различные редакции одного продукта могут иметь существенно различающиеся метрики лицензирования и стоимость. Например, Microsoft SQL Server существует в редакциях Express (бесплатная), Standard, Enterprise, Developer — каждая с уникальной метрикой лицензирования (CAL-based, per-core) и ценой. Точное определение версии (например, Oracle Database 19c vs 21c) критично для учёта условий лицензионного соглашения, поскольку vendor могут менять метрики между версиями.","Определение редакции и версии выполняется на основе многофакторного анализа собранных признаков. Для редакции система анализирует: наличие специфических компонентов (например, службы Analysis Services и Integration Services указывают на редакцию SQL Server Enterprise), размер установки, набор исполняемых файлов, license key type (KMS, MAK, OEM, Retail), channel (Volume Licensing vs Retail vs OEM). Для версии используются: файл версии основного исполняемого модуля, версия shared components, compatibility level баз данных, номер билда в registry. Поддерживается version normalization: приведение различных форматов версий (16.0.14332.20238 vs 2021 build 2108) к единому каноническому виду. Технически определение редакции и версии тесно интегрировано с базой знаний: каждая продуктовая запись содержит version ranges и edition-specific rules. Результаты передаются в Reconciliation Engine (e6) и далее в SAM-системы для расчёта лицензионной позиции.","Некорректное определение редакции — один из самых дорогостоящих рисков в лицензионном управлении. Принятие редакции Enterprise за Standard при аудите Oracle или Microsoft может обернуться штрафами, превышающими годовой бюджет на ПО. Точное определение редакций позволяет: корректно сопоставить установки с закупленными правами (edition-level reconciliation), выявить случаи неправомерного апгрейда (unauthorized edition upgrade), обосновать закупку правильных лицензий при планировании. Определение версии обеспечивает прозрачность для vendor-аудитов: заказчик может предоставить точный отчёт обо всех установках с указанием версий, что сокращает время аудита и снижает риск претензий. В совокупности точное определение редакций и версий обеспечивает доказательный лицензионный compliance и защищает организацию от финансовых и репутационных рисков."
функция,3,Определение метрик лицензирования,"Функция определения метрики (модели) лицензирования для каждого распознанного программного продукта. Метрика лицензирования определяет, по какому принципу vendor требует приобретать лицензии: на пользователя (User CAL), на устройство (Device CAL), на процессор (Processor License), на ядро (Core-based), конкурентная (Concurrent User), по объёму данных (Capacity-based), OEM, подписка (Subscription) или другая модель. Корректное определение метрики критично для расчёта требуемого количества лицензий: продукт с процессорной метрикой требует иного подхода к подсчёту, чем продукт с пользовательской метрикой. Без точного определения метрики SAM-система не может корректно рассчитать лицензионную позицию.","Метрика лицензирования хранится в базе знаний продуктов как атрибут каждой продуктовой записи и редакции. Для каждого vendor метрики различны: Microsoft использует CAL-based, Core-based и Subscription модели; Oracle — Processor-based и Named User Plus; IBM — PVU (Processor Value Unit) и Authorized User; SAP — Professional/User-based лицензирование. Software Recognition определяет метрику автоматически на основе распознанного продукта и редакции. Для продуктов с процессорной метрикой дополнительно определяется архитектура процессора (x86, x86-64, Power, SPARC) и количество физических ядер, что влияет на коэффициент лицензирования (Oracle core factor, Microsoft core licensing factor). Для CAL-based продуктов определяется тип CAL (User vs Device). Для subscription-based продуктов фиксируется billing cycle и included entitlements. Результаты передаются в SAM-системы через Reconciliation Engine (e6) и далее через поток e12 в зону ITAM/SAM.","Определение метрики лицензирования — краеугольный камень финансовой оптимизации программных активов. Использование неправильной метрики при расчёте лицензионной позиции приводит к систематическим ошибкам: недолицензирование (риск штрафов) или перелицензирование (избыточные затраты). Например, применение пользовательской метрики вместо процессорной для Oracle Database на сервере с 32 ядрами создаёт иллюзию compliance при фактическом нарушении. Корректное определение метрик позволяет SAM-подразделению: точно рассчитывать Effective License Position (ELP), моделировать сценарии оптимизации (license reharvesting, edition downgrade), обосновывать закупки перед CFO и защищать позицию при vendor-аудитах. Экономический эффект достигается через предотвращение многомиллионных штрафов и оптимизацию лицензионного портфеля — типовая экономия 15–30% от бюджета на ПО."
функция,2,"Выявление неразрешённого, пиратского и устаревшего ПО","Функция обнаружения программного обеспечения, которое не соответствует корпоративным политикам: неразрешённые установки (shadow IT, freeware, trial versions), пиратское или неподписанное ПО, устаревшие версии с истёкшим сроком поддержки (end-of-life, end-of-support), продукты из запрещённых юрисдикций или с известными уязвимостями. Эта функция пересекается с зоной безопасности (z-sec): выявленное неразрешённое ПО может быть источником уязвимостей, а устаревшие версии — не поддерживаться vendor и содержать известные CVE.","Технически выявление реализовано через правила политик (policy rules) в базе знаний и интеграцию с внешними источниками данных. Для каждого распознанного продукта система проверяет: наличие в белом списке разрешённого ПО (whitelist), статус поддержки (end-of-life dates из vendor-справочников), наличие цифровой подписи (unsigned executables маркируются как рисковые), соответствие корпоративным политикам (например, запрет на использование ПО определённых производителей или стран). Интеграция с базой CVE позволяет выявлять продукты с известными критическими уязвимостями. Результаты политик проверки передаются в SAM, GRC и Security-системы для дальнейшей обработки: автоматическое создание тикетов на удаление, инициация процесса закупки лицензий, блокировка через endpoint protection.","Выявление неразрешённого ПО снижает информационные риски и обеспечивает compliance корпоративным политикам. Shadow IT — установленные сотрудниками облачные сервисы, freeware-инструменты, trial-версии — создают слепые зоны в инфраструктуре, не подпадают под корпоративный контроль безопасности и могут стать вектором утечки данных. Устаревшее ПО с истёкшим сроком поддержки не получает security patches и накапливает известные уязвимости, что увеличивает attack surface организации. С точки зрения compliance, наличие пиратского или незалицензированного ПО при аудите влечёт прямые финансовые санкции и репутационные потери. Проактивное выявление и устранение таких установок снижает риски инцидентов ИБ, упрощает прохождение аудитов и сокращает расходы на лицензирование за счёт удаления неиспользуемых продуктов."
функция,2,Формирование канонического наименования ПО,"Функция приведения распознанного программного обеспечения к единому, стандартизированному наименованию (canonical name), понятному для всех downstream-систем: SAM, CMDB, ITSM, GRC. Сырые данные от Discovery содержат разнообразные варианты написания одного и того же продукта: «MS Office 2021 Professional Plus», «Microsoft Office ProPlus 2021», «Office 2021 Pro Plus 64-bit», «Microsoft Office Professional Plus 2021» — все эти записи описывают один продукт. Каноническое наименование устраняет неоднозначность и обеспечивает единообразие во всех системах ландшафта.","Формирование канонического наименования выполняется на основе правил нормализации, хранимых в базе знаний продуктов. Каждая продуктовая запись содержит каноническое имя (canonical name), альтернативные наименования (aliases), vendor name, product family, product name, edition, version, architecture, language. Нормализация включает: стандартизацию написания vendor (Microsoft, а не MS или MicroSoft), порядок слов (Product ? Edition ? Version ? Architecture ? Language), сокращения (ProPlus ? Professional Plus), цифровые обозначения (2021 вместо v16 или XXI). Результатом является структурированная запись, которая передаётся в Reconciliation Engine (e6) и далее в CMDB. В CMDB каноническое имя обеспечивает корректную агрегацию данных: все установки одного продукта группируются под единым наименованием, что критично для подсчёта количества инсталляций и построения отчётов.","Единообразие наименований ПО — предпосылка для качественного управления программными активами. Без канонизации одна и та же лицензия Microsoft Office может быть учтена в разных системах под разными именами, что приводит к дублированию записей, ошибкам в подсчёте установок и невозможности построить консолидированную отчётность. Канонические наименования обеспечивают: единый язык данных между SAM, CMDB, ITSM и Security; корректную агрегацию установок по продуктам; точную корреляцию между фактическими установками и закупленными правами; прозрачность для vendor-аудитов. Стандартизация наименований также упрощает обучение персонала и снижает зависимость от индивидуальной экспертизы отдельных специалистов SAM."
функция,2,Передача результатов распознавания в Reconciliation Engine,"Функция передачи распознанных программных продуктов из Software Recognition в Reconciliation/De-duplication Engine для включения в конфигурационные записи CI и дальнейшей загрузки в CMDB. Этот поток данных (e6) замыкает цепочку обработки программного инвентаря: от сырых файловых признаков через распознавание к структурированным продуктовым записям, которые становятся частью golden record актива в CMDB. Reconciliation Engine использует данные распознавания для сопоставления программных компонентов с аппаратными CI и устранения дублей ПО.","Передача результатов осуществляется через стандартизированный интерфейс данных (e6) в формате, понятном Reconciliation Engine. Передаваемые атрибуты включают: идентификатор устройства (device ID), каноническое наименование продукта, редакцию, версию, издателя, метрику лицензирования, дату установки, путь установки, MSI product code, архитектуру, язык, статус распознавания (recognized / unrecognized / pending), уровень достоверности (confidence score). Интеграция может реализовываться через API-вызовы, message queue (Kafka, RabbitMQ), файловый обмен или базу данных-прослойку. SLA по актуальности данных: от момента установки ПО на устройство до появления распознанной записи в CMDB — не более 24 часов при ежедневном сканировании. Reconciliation Engine использует эти данные для формирования Software Instance CI, привязки к Hardware CI (host device) и устранения дублирующихся записей об одной и той же установке из разных источников.","Непрерывный поток распознанных данных в CMDB обеспечивает актуальность инвентаря программного обеспечения — основу для всех downstream-процессов. Без этой интеграции распознавание остаётся изолированным инструментом, а CMDB заполняется неструктурированными записями, непригодными для лицензионного учёта. Корректная передача данных через Reconciliation Engine гарантирует, что SAM-система работает с полным и точным перечнем установок, ITSM может корректно маршрутизировать инциденты с привязкой к конкретным версиям ПО, а Security получает контекст для оценки уязвимостей. Надёжность потока e6 напрямую влияет на качество всех процессов, зависящих от данных об установленном ПО: от лицензионного аудита до управления уязвимостями."
функция,2,Интеграция с SAM-системами,"Функция передачи распознанных данных об установленном ПО в системы управления программными активами (SAM — Software Asset Management) для расчёта лицензионной позиции, сопоставления с закупленными правами (entitlements) и оптимизации лицензионного портфеля. Software Recognition поставляет SAM-системе структурированные данные о каждой установке: продукт, редакция, версия, метрика лицензирования, устройство. SAM-система использует эти данные для построения Effective License Position (ELP) — сопоставления фактических установок с закупленными лицензиями.","Интеграция с SAM-системами реализуется через два канала. Первый — косвенный, через CMDB: распознанные продукты проходят через Reconciliation Engine (e6), попадают в CMDB как Software Instance CI, а оттуда через поток e12 передаются в SAM-платформу (Flexera, Snow, ServiceNow SAM, USU). Второй — прямой интеграционный канал: Software Recognition может напрямую экспортировать данные в SAM-систему через API или файловый обмен в форматах (CSV, XML, JSON). Передаваемые данные включают: идентификатор устройства, каноническое наименование ПО, редакцию, версию, метрику лицензирования, дату установки, количество процессоров/ядер (для core-based метрик), количество пользователей (для CAL-based). SAM-система использует эти данные для: расчёта ELP, выявления рисков недолицензирования, определения свободных лицензий (license reharvesting), моделирования сценариев оптимизации, подготовки к vendor-аудитам.","Интеграция Software Recognition с SAM замыкает критический бизнес-процесс: от обнаружения установок до управления лицензионными правами. Без неё SAM-система работает с неполными или неточными данными, что приводит к ошибкам в расчёте ELP и невозможности корректно ответить на запросы vendor-аудиторов. Корректная интеграция обеспечивает: доказательный compliance (точное сопоставление установок и entitlements), оптимизацию затрат (выявление неиспользуемых лицензий и избыточных установок), снижение рисков (раннее предупреждение о недолицензировании), оперативную подготовку к аудитам (формирование отчётов за часы вместо месяцев). В крупных enterprise-средах эта интеграция позволяет управлять лицензионными портфелями стоимостью в десятки миллионов долларов с точностью до отдельной установки."
функция,1,Обновление каталога распознавания (Product Knowledge Base),"Функция поддержания актуальности базы знаний продуктов (Product Knowledge Base, PKB) путём регулярного добавления новых программных продуктов, версий, редакций и распознавательных правил. IT-ландшафт постоянно эволюционирует: vendor выпускают новые версии продуктов, меняют файловые признаки, добавляют новые редакции, появляются новые продуктовые линейки. Без регулярного обновления PKB точность распознавания со временем снижается: новые версии ПО не распознаются, изменившиеся признаки приводят к ложным срабатываниям, а недавно вышедшие продукты остаются в статусе «нераспознанные».","Обновление PKB выполняется по нескольким каналам. Автоматические обновления от вендора: платформы Software Recognition (Flexera, Snow, Lansweeper) предоставляют регулярные обновления каталога продуктов (типичная частота — 1–2 раза в месяц), содержащие новые recognition rules, версионные диапазоны, метрики лицензирования. Исследование нераспознанных признаков: администраторы анализируют установки, помеченные как unrecognized, создают новые rules и дополняют PKB. Vendor-нотификации: подписка на рассылки производителей ПО о выходе новых версий и изменениях лицензионных моделей. Интеграция с каталогами безопасности: обновление списков end-of-life дат, CVE-идентификаторов и security advisories. Технически обновление может доставляться как online-загрузка (API-вызов к cloud-сервису вендора) или offline-пакет (для изолированных сред). Версионирование PKB позволяет отслеживать историю изменений и при необходимости выполнять rollback.","Актуальность каталога распознавания — залог точности лицензионного учёта в долгосрочной перспективе. Устаревший PKB создаёт нарастающий поток нераспознанных установок, который в конечном счёте приходится обрабатывать вручную — с ростом числа ошибок и снижением операционной эффективности. В условиях vendor-аудитов неактуальный каталог может привести к недоучёту установок новых версий продуктов, что vendor расценивает как недолицензирование. Инвестиции в регулярное обновление PKB окупаются за счёт: снижения ручного труда на обработку нераспознанных установок, поддержания высокой точности распознавания (целевой показатель ? 95%), обеспечения readiness к внеплановым аудитам и корректного учёта новых продуктов, закупаемых организацией."
функция,2,Аудит установленного ПО,"Функция формирования отчётов и данных для лицензионных аудитов — как внутренних (самопроверка compliance), так и внешних (аудиты vendor: Microsoft, Oracle, SAP, Adobe, IBM). Software Recognition обеспечивает полный, структурированный и доказательный перечень всех установленных программных продуктов с указанием редакций, версий и метрик лицензирования. Этот перечень является основой для сопоставления с закупленными правами и подтверждения compliance.","Аудитовая функция реализована через механизмы отчётности и экспорта данных. Формируемые отчёты включают: полный перечень установленного ПО с группировкой по продуктам, редакциям и версиям; Effective License Position (ELP) — сопоставление фактических установок с закупленными entitlements; список нераспознанных установок с указанием сырых признаков; список рисковых установок (нелицензионное, устаревшее, неподписанное ПО); метрики распознавания (процент распознанного ПО, детализация по vendor). Данные экспортируются в форматах, пригодных для передачи аудиторам (Excel, PDF, XML) и для загрузки в SAM-платформы. Поддерживается drill-down: от агрегированного отчёта («500 установок Microsoft Office 2021 Pro Plus») до детального («сервер WS-DB-01, установлено 2024-03-15, версия 16.0.14332.20238, путь C:\Program Files\Microsoft Office»). Интеграция с GRC-системами позволяет автоматически включать лицензионные риски в реестр рисков организации.","Возможность быстрого и точного формирования аудиторских отчётов — критическое конкурентное преимущество при vendor-аудитах. Организации без автоматизированного Software Recognition тратят месяцы на ручной сбор данных об установленном ПО, при этом допуская ошибки и упуская установки. Подготовка к аудиту Oracle или Microsoft за считанные дни вместо месяцев снижает стресс на команды, уменьшаает риск претензий и демонстрирует зрелость процессов управления лицензиями. Доказательная база, сформированная Software Recognition, защищает организацию от завышенных претензий vendor: точный учёт редакций и версий не позволяет аудитору интерпретировать данные в пользу vendor. В совокупности аудитовая функция снижает финансовые риски (штрафы, досудебные урегулирования) и репутационные риски (публичные разбирательства, негатив в СМИ)."
функция,2,Нормализация версий и билдов,"Функция приведения различных форматов версий программных продуктов к единому, стандартизированному виду. Vendor используют различные схемы версионирования: Microsoft применяет годовые обозначения (Office 2021) и номера билдов (16.0.14332.20238), Oracle — номера релизов (19c, 21c), Adobe — версии облачных продуктов (Creative Cloud 2024), open-source проекты — semantic versioning (5.2.1). Нормализация версий обеспечивает единообразное представление версионной информации во всех системах ландшафта и корректную сортировку/сравнение версий.","Нормализация версий реализована через правила преобразования, хранимые в базе знаний продуктов. Для каждого vendor и продуктовой линейки определён канонический формат версии и mapping между различными форматами. Примеры: Microsoft Office «16.0.14332.20238» ? «2021, Version 2108»; Oracle Database «19.3.0.0.0» ? «19c»; Windows «10.0.19045» ? «10 22H2». Система поддерживает сравнение версий (больше/меньше/равно) для определения end-of-life статуса, совместимости и необходимости обновления. Нормализация билдов (build numbers) позволяет определить точный patch level продукта, что критично для оценки уязвимостей (Security) и соответствия требованиям поддержки (vendor может требовать определённый patch level для признания лицензии валидной).","Единообразное представление версий упрощает управление программным портфелем и снижает ошибки, связанные с человеческим фактором. Без нормализации одна и та же версия продукта может фигурировать в разных системах под разными обозначениями, что затрудняет построение консолидированной отчётности. Корректное сравнение версий позволяет: своевременно выявлять устаревшие продукты, требующие обновления; определять совместимость при планировании миграций; обосновывать необходимость закупки новых лицензий при выходе новых версий; предоставлять vendor чёткую и непротиворечивую информацию о версиях при аудитах."
функция,2,Распознавание ПО в виртуальных и облачных средах,"Функция идентификации программного обеспечения, установленного на виртуальных машинах, в контейнерных средах (Docker, Kubernetes) и облачных сервисах (SaaS, PaaS). Виртуализированные и облачные среды имеют свои особенности с точки зрения лицензирования: многие vendor применяют специальные метрики для виртуальных машин (например, лицензирование по физическим хостам вместо виртуальных машин), а облачное ПО может поставляться как managed service с включённой лицензией. Корректное распознавание в этих средах критично для compliance.","Распознавание в виртуализированных средах требует дополнительных признаков: идентификатор виртуальной машины (VM UUID), гипервизор (VMware ESXi, Hyper-V, KVM), хост физического сервера, конфигурация vCPU/RAM (влияет на core-based лицензирование). Для контейнеров анализируются образы (container images), слои (layers) и зависимости — например, определение версии Java runtime внутри Docker-контейнера. Для облачных PaaS/SaaS сервисов (AWS RDS, Azure SQL Database) распознавание опирается на данные Cloud Inventory: тип сервиса, tier, конфигурация. Интеграция с Cloud Inventory (зона z-disc) обеспечивает получение метаданных облачных ресурсов, необходимых для корректного распознавания облачных экземпляров ПО. Результаты учитывают специфику виртуального/облачного лицензирования: например, Oracle Database на VMware требует лицензирования всех ядер физического кластера (soft partitioning restrictions), что существенно влияет на лицензионную позицию.","Некорректное лицензирование ПО в виртуализированных средах — один из наиболее дорогостоящих рисков при аудитах vendor типа Oracle и Microsoft. Правила лицензирования в виртуальных средах отличаются от физических и часто неинтуитивны: например, лицензирование Oracle на VMware может потребовать покрытия всех ядер всего кластера, а не только выделенных vCPU. Корректное распознавание виртуализированного ПО с учётом этих правил позволяет: избежать многомиллионных штрафов при аудитах; оптимизировать размещение лицензированного ПО по хостам (license mobility); корректно учитывать облачные сервисы с included licensing; планировать миграцию лицензий в облако (BYOL — Bring Your Own License). В условиях роста облачных и виртуализированных сред эта функция становится критически важной для лицензионного compliance."
