тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Критерии (CI modeling),"Моделирование конфигурационных единиц (CI) — фундаментальная способность CMDB, определяющая структуру, типы, атрибуты и связи всех объектов ИТ-ландшафта. Качество модели данных напрямую влияет на точность downstream-процессов: от инцидент-менеджмента до управления изменениями и анализа влияния. Современная CMDB реализуется как распределённый граф активов (Asset Graph), где вершины представляют CI различных классов, а рёбра описывают отношения зависимости, размещения и иерархии.","CI-модель включает настраиваемые классы конфигурационных единиц (серверы, сетевые устройства, приложения, сервисы, организационные единицы), кастомные атрибуты и метаданные, типы связей (depends_on, contains, uses, hosted_on), иерархическую структуру и механизмы версионирования. Архитектурно CMDB переходит от реляционной модели к графовой или гибридной (multi-model), способной обрабатывать топологические запросы: 'какие сервисы зависят от данного сервера', 'каков критический путь от инфраструктуры до клиентского сервиса'.","Гибкая модель CI позволяет адаптировать CMDB под специфику организации без дорогостоящей кастомизации кода. Возможность определять собственные классы, атрибуты и связи обеспечивает покрытие уникальных активов — от промышленного оборудования до специализированных сервисов. Это сокращает время внедрения на 30–40% и повышает точность анализа влияния, что напрямую влияет на сокращение MTTR и снижение рисков при планировании изменений."
функция,3,Настраиваемые CI classes (классы конфигурационных единиц),"Возможность определять и настраивать классы конфигурационных единиц — базовая функция CMDB, обеспечивающая соответствие модели данных реальному ИТ-ландшафту организации. Стандартные классы (серверы, сетевое оборудование, приложения) дополняются специализированными под индустриальные потребности.","Платформа предоставляет конструктор классов CI с возможностью определения атрибутивного состава, правил валидации, наследования от родительских классов, связей с другими классами и настройки жизненного цикла. Поддерживаются стандартные классы ITIL (Hardware, Software, Service, Documentation, User) и кастомные классы с произвольной структурой. Важно обеспечить согласованность классификации с CMDB Federation или Common Data Model.","Стандартизированная классификация активов позволяет проводить сравнительный анализ между подразделениями, формировать отраслевые бенчмарки и облегчает интеграцию с внешними системами. Организации с чёткой классификацией сокращают время поиска информации на 25–35% и повышают точность управленческой отчётности."
функция,3,Custom attributes и metadata,"Кастомные атрибуты и метаданные расширяют стандартную модель CI, позволяя хранить специфическую информацию, уникальную для организации — от геолокации и кода cost center до регуляторных тегов и классификации конфиденциальности.","Платформа поддерживает определение произвольных атрибутов с типизацией (string, integer, boolean, date, JSON, reference), настройку обязательности заполнения, правила валидации (regex, range, enum), значения по умолчанию и вычисляемые поля. Метаданные могут включать теги соответствия политикам (policy tags), требования резервирования, классификацию данных и географические ограничения. Интеграция с Cloud Governance позволяет применять policy tags к облачным CI.","Расширяемость атрибутов устраняет необходимость в параллельных учётных системах (Excel, SharePoint) для хранения специфических данных. Это обеспечивает единый источник правды об активах и позволяет формировать управленческие отчёты без ручной агрегации данных из разных источников, экономя до 20% рабочего времени на подготовку отчётности."
функция,3,"Relationship types (зависимости, содержит, использует)","Типы связей между CI определяют топологию ИТ-ландшафта и обеспечивают возможность анализа зависимостей — критическую функцию для оценки влияния инцидентов, изменений и планирования сервисов.","CMDB поддерживает стандартные типы связей: depends_on (зависимость), contains (содержание), hosted_on (размещение), connected_to (соединение), uses (использование), part_of (часть целого). Связи могут быть однонаправленными и двунаправленными, с настраиваемыми правилами каскадного влияния. Графовая модель данных позволяет выполнять обход связей для построения service maps и расчёта blast radius при сбоях. Каждая связь имеет атрибуты: тип, направление, сила, дата создания.","Точное знание зависимостей между компонентами сокращает время оценки влияния инцидента с часов до минут. Когда инцидент привязан к CI с контекстом зависимостей, команда сразу видит затронутые сервисы и может приоритизировать работы. Организации со зрелым dependency mapping сокращают MTTR на 40–60% и повышают успешность плановых изменений с 65% до 90%."
функция,3,Hierarchical structure (иерархия CI),"Иерархическая структура CI позволяет организовать активы в многоуровневые деревья — от бизнес-сервисов до отдельных компонентов инфраструктуры, обеспечивая навигацию и контекст на каждом уровне абстракции.","Поддерживаются иерархические связи типа parent-child: бизнес-сервис ? приложение ? виртуальная машина ? физический сервер ? сетевой коммутатор. Иерархия может строиться по нескольким измерениям: организационная (подразделения), функциональная (сервисы), техническая (инфраструктура), географическая (дата-центры). Наследование атрибутов от родительских узлов к дочерним упрощает управление и обеспечивает консистентность данных.","Иерархическое представление позволяет руководству видеть связь между инвестициями в инфраструктуру и бизнес-сервисами. При планировании бюджета можно оценить стоимость замены всего стека, поддерживающего критический сервис. Это повышает прозрачность ИТ-затрат и облегчает обоснование инвестиций перед бизнесом."
функция,2,Versioning CI,"Версионирование CI отслеживает изменения атрибутов и связей конфигурационных единиц во времени, обеспечивая исторический контекст для аудита, расследования инцидентов и анализа трендов.","Каждое изменение CI фиксируется в журнале версий с указанием автора, времени, старого и нового значения. Поддерживается полный аудит-трейл: кто, когда и почему изменил атрибут или связь. Версионирование может быть реализовано через temporal tables (System-Versioned), event sourcing или журналирование на уровне приложения. Возможность отката к предыдущей версии и сравнение версий облегчает расследование инцидентов.","Возможность ответить на вопрос 'что изменилось и когда' критична для расследования инцидентов и compliance-аудитов. Версионирование сокращает время root cause analysis на 20–30% и обеспечивает доказуемость исполнения контролей для регуляторов (ISO 27001, PCI DSS, SOX)."
категория,3,Критерии (Покрытие CI),"Полнота покрытия CI определяет, какая доля реальных ИТ-активов организации учтена в CMDB. Это ключевая метрика зрелости CMDB: без высокого покрытия downstream-процессы (инцидент-менеджмент, управление изменениями, анализ уязвимостей) работают с неполной картиной. Целевое значение для зрелой организации — coverage > 95%.","Покрытие оценивается через сопоставление CI в CMDB с реальным инвентарём, полученным из Discovery-инструментов, NAC, облачных API и физических проверок. Ключевые классы CI: hardware (серверы, сетевое оборудование, endpoint'ы), software (приложения, ОС, middleware), cloud resources, network components, business services и организационные единицы. Каждый необнаруженный актив — 'слепая зона', которая не попадает в процессы управления.","Неполное покрытие CMDB означает, что инциденты на необнаруженных активах остаются невидимыми, изменения не проходят согласование, а уязвимости не устраняются. В средней организации 8–15% сетевых устройств не учтены в инвентаре. Каждый такой актив — потенциальная точка входа для инцидента безопасности, источник неконтролируемых затрат и причина ошибок в управленческой отчётности."
функция,3,"Hardware (серверы, сетевое оборудование, endpoint'ы)","Учёт аппаратных активов — фундаментальная функция CMDB, охватывающая всё физическое оборудование: серверы дата-центров, сетевые устройства (коммутаторы, маршрутизаторы, firewall), рабочие станции и ноутбуки сотрудников, периферийное оборудование.","Данные собираются через сетевое сканирование (SNMP, WMI, SSH), агенты на endpoint'ах, интеграцию с NAC и облачными API. Для каждого устройства фиксируются: производитель и модель, серийный номер, аппаратные спецификации (CPU, RAM, диски), MAC-адрес, IP-адрес, местоположение, статус (в эксплуатации, резерв, ремонт, списан), гарантийные сроки и связь с закупочной записью в ERP.","Аппаратные активы составляют 40–60% ИТ-бюджета капитальных расходов. Неучтённое оборудование продолжает амортизироваться, потреблять электроэнергию и требовать обслуживания. Полный учёт оборудования позволяет оптимизировать закупки, избежать двойных инвестиций и сократить незапланированные простои на 20–30%."
функция,3,"Software (приложения, ОС, middleware)","Учёт программного обеспечения — критическая функция CMDB, обеспечивающая инвентаризацию приложений, операционных систем, middleware и библиотек. Это основа для лицензионного учёта, управления уязвимостями и планирования обновлений.","Software inventory собирается через агенты, сканирование реестров ОС (Windows Registry, Linux package managers), анализ установочных директорий и интеграцию с endpoint management. Каждая установка ПО регистрируется как отдельный CI с атрибутами: название, версия, изготовитель, тип лицензии, установочный путь, дата установки. Software Recognition модуль идентифицирует коммерческие продукты по сигнатурам и сопоставляет с каталогом лицензий.",До 30% годового бюджета на ПО теряется на неиспользуемых лицензиях. Неполный software inventory приводит к рискам недолицензирования при аудите вендора и невозможности оптимизировать портфель приложений. Полный учёт ПО обеспечивает compliance и позволяет сократить затраты на 15–25% через рационализацию.
функция,2,"Cloud resources (AWS, Azure, GCP instances)","Учёт облачных ресурсов расширяет CMDB за пределы on-premise инфраструктуры, обеспечивая видимость виртуальных машин, контейнеров, хранилищ и сетевых сервисов в публичных облаках.","Данные собираются через API облачных провайдеров: AWS (EC2, S3, RDS, Lambda), Azure (VM, Storage, AKS), GCP (Compute Engine, Cloud Storage, GKE). Учитываются: тип инстанса, регион, теги, IAM-политики, статус, сетевые конфигурации, параметры биллинга. Интеграция с Cloud Inventory обеспечивает единый реестр облачных активов с нормализацией данных в единую модель. Поддерживается multi-cloud inventory.","Облачные расходы растут в среднем на 20–30% ежегодно, при этом 30% ресурсов неиспользуемы или неоптимально сконфигурированы. Учёт облачных активов в CMDB позволяет выявить 'забытые' ресурсы, реализовать FinOps-практики и сократить облачные затраты на 15–25% в первый год."
