тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Критерии (Доступность),"Контроль доступности является фундаментальной функцией систем мониторинга IT-инфраструктуры, обеспечивающей непрерывное наблюдение за состоянием устройств, сервисов и сетевых компонентов. Полнота покрытия мониторингом определяет способность команды эксплуатации своевременно обнаруживать сбои и деградации сервисов до обращения пользователей.","Мониторинг доступности реализуется через периодический опрос устройств по протоколам ICMP (ping), SNMP (опрос состояния интерфейсов и системных параметров), TCP/UDP (проверка доступности портов и сервисов), а также через агентский сбор метрик с конечных устройств. Целевой интервал опроса для критичных систем составляет 30–60 секунд, для стандартных — до 5 минут. Интеграция с CMDB обеспечивает автоматическое покрытие мониторингом всех активных активов.","Прямо влияет на MTTD (Mean Time To Detection): организации с централизованным мониторингом доступности сокращают время обнаружения инцидентов в 8–12 раз по сравнению с реактивным подходом. Каждый час простоя критичного сервиса обходится в измеримые потери — упущенная выручка, штрафы по SLA, репутационные риски. Инвестиции в мониторинг доступности представляют собой страхование от потерь, в 10–50 раз превышающих стоимость самой системы."
функция,3,Доступность устройства (Up/Down),Базовая функция определения текущего состояния устройства в сети — доступно (Up) или недоступно (Down). Является первичным индикатором сбоя и триггером для создания инцидентов в ITSM.,Реализуется через периодический ICMP-ping или опрос SNMP-агента с заданным интервалом (типично 30–300 секунд). При отсутствии ответа в течение заданного таймаута (обычно 3 последовательных попытки) фиксируется состояние Down и генерируется alert. Для предотвращения ложных срабатываний применяются механизмы подтверждения (confirmation) и корреляции с состоянием соседних узлов.,"Сокращает MTTD до минут вместо часов или дней при реактивном подходе. Обеспечивает оперативное реагирование на сбои критичной инфраструктуры, минимизируя время простоя и связанные с ним финансовые потери."
функция,3,Время отклика (Latency),Измерение времени прохождения сетевого пакета от источника мониторинга до целевого устройства и обратно. Ключевой показатель качества сетевой связности и производительности сервисов.,"Измеряется в миллисекундах через ICMP Echo Request/Reply или специализированные synthetic-транзакции (HTTP GET, TCP SYN). Пороговые значения настраиваются индивидуально для каждого сегмента сети: для локальных сетей — < 5 мс, для WAN — < 50 мс, для облачных сервисов — < 100 мс. При превышении порогов генерируются alerts с указанием сегмента деградации.","Высокая латентность напрямую влияет на пользовательский опыт и производительность бизнес-приложений. Мониторинг latency позволяет проактивно выявлять деградацию сети до жалоб пользователей, обеспечивать соответствие SLA по качеству связи и планировать оптимизацию сетевой инфраструктуры."
функция,3,Потери пакетов (Packet Loss),"Контроль процента потерянных сетевых пакетов при передаче данных. Packet Loss является индикатором перегрузки сети, физических повреждений кабельной инфраструктуры или неисправности сетевого оборудования.","Вычисляется как отношение количества пакетов, не получивших подтверждение доставки (ICMP no-reply, TCP retransmissions), к общему числу отправленных. Критичный порог обычно составляет > 1% для production-сетей, предупредительный — > 0.1%. Анализируется по сегментам сети для локализации проблемного участка.","Потери пакетов критичны для real-time приложений (VoIP, видеоконференции, торговые платформы) — даже 1–2% потерь существенно деградируют качество сервиса. Мониторинг packet loss позволяет предотвращать инциденты, связанные с недоступностью ключевых бизнес-приложений."
функция,3,Доступность сервиса/порта,"Проверка доступности конкретных сервисов и прослушиваемых TCP/UDP-портов на целевых хостах. Отличается от мониторинга устройства тем, что проверяет работоспособность конкретного приложения, а не только сетевой доступности хоста.","Реализуется через установление TCP-соединения (TCP handshake) или отправку application-level запросов (HTTP GET, DNS query, SMTP EHLO и др.). Поддерживается настраиваемый интервал проверки, таймауты ответа, проверка содержимого ответа (content matching). Для сервисов с балансировкой нагрузки проверка выполняется с нескольких точек мониторинга.","Гарантирует доступность бизнес-критичных сервисов (веб-приложения, базы данных, почтовые системы) для конечных пользователей. Позволяет дифференцировать сбои сети от сбоев приложений, ускоряя диагностику и восстановление сервиса."
функция,3,Состояние интерфейсов (Up/Down),"Мониторинг операционного состояния сетевых интерфейсов коммутаторов, маршрутизаторов, серверов и других сетевых устройств. Отслеживает административное и физическое состояние каждого интерфейса.","Сбор данных выполняется по протоколу SNMP (OID ifOperStatus, ifAdminStatus) или через CLI (SSH/Telnet). Каждый интерфейс имеет два состояния: административное (включен/выключен администратором) и операционное (физически активен/неактивен). Отслеживается изменение состояний, счётчики трафика, скорость соединения и дуплекс.","Позволяет оперативно выявлять обрывы кабельных линий, отказы портов оборудования и несанкционированное отключение интерфейсов. Критичен для обеспечения непрерывности сетевой связности между бизнес-подразделениями и дата-центрами."
функция,3,Аптайм устройства,Отслеживание времени непрерывной работы устройства с момента последней перезагрузки или включения. Показатель стабильности работы оборудования и качества инфраструктурных решений.,"Считывается через SNMP (sysUpTime OID) или CLI-команды (show version, uptime). Измеряется в днях, часах и минутах. Неожиданное снижение аптайма (перезагрузка устройства) генерирует alert и фиксируется как событие требующее расследования. Анализируется тренд аптайма для выявления устройств с хроническими проблемами стабильности.","Низкий или прерывистый аптайм указывает на проблемы с качеством оборудования, питанием или программным обеспечением, требующие внимания. Позволяет планировать превентивную замену нестабильных устройств до критического отказа, обеспечивая непрерывность бизнес-процессов."
функция,2,Частота флаппинга интерфейсов,"Контроль частоты изменения состояния интерфейса Up/Down в единицу времени (flapping). Частый флаппинг является признаком неисправности кабеля, порта или нестабильности физического уровня.","Измеряется как количество переходов состояния интерфейса за период (например, > 3 перехода за 5 минут). Детектируется по SNMP-трапам или периодическому опросу ifOperStatus. При обнаружении флаппинга интерфейс может быть автоматически административно отключен (err-disabled) для защиты стабильности сети.","Флаппинг интерфейсов вызывает нестабильность маршрутизации, потерю пакетов и деградацию сервисов. Раннее обнаружение позволяет предотвращать каскадные сбои в сети и снижать количество инцидентов, связанных с недоступностью бизнес-приложений."
категория,3,Критерии (Производительность),"Мониторинг производительности охватывает сбор и анализ метрик использования вычислительных, сетевых и storage-ресурсов инфраструктуры. Позволяет выявлять узкие места, прогнозировать исчерпание ресурсов и планировать масштабирование до возникновения деградации сервисов.","Стек мониторинга производительности работает с 5-минутным интервалом сбора метрик и хранит данные от 30 до 90 дней. Включает сбор метрик CPU, RAM, дисковой подсистемы, сетевых интерфейсов через SNMP, WMI, SSH, агенты (Telegraf, Zabbix agent, Prometheus node_exporter). Пороговые значения настраиваются индивидуально для каждого класса устройств и окружения. Поддерживается построение трендов и прогнозирование исчерпания ресурсов.","Позволяет избегать незапланированных простоев из-за исчерпания ресурсов, оптимизировать капитальные затраты (отказ от закупки лишнего оборудования) и снижать операционные расходы на электроэнергию и обслуживание. Проактивный мониторинг производительности повышает доступность сервисов и качество обслуживания пользователей."
функция,3,Загрузка CPU,Мониторинг уровня использования центрального процессора устройствами инфраструктуры. Ключевой индикатор вычислительной нагрузки и потенциальной деградации производительности.,"Собирается через SNMP (CPU utilization OID), WMI (Win32_Processor), /proc/stat (Linux) или системные агенты. Измеряется в процентах от общего времени процессора (user, system, iowait, idle). Типичные пороги: warning > 70%, critical > 85% на протяжении 5+ минут. Для многоядерных систем отслеживается загрузка каждого ядра отдельно.","Высокая загрузка CPU приводит к замедлению бизнес-приложений и деградации пользовательского опыта. Мониторинг позволяет своевременно выявлять необходимость масштабирования, оптимизировать использование лицензий и планировать апгрейд оборудования до критического снижения производительности."
функция,3,Загрузка RAM,Контроль использования оперативной памяти серверов и сетевых устройств. Недостаток RAM вызывает swapping и резкое снижение производительности приложений.,"Собирается через SNMP (memory OID), WMI (Win32_OperatingSystem), /proc/meminfo (Linux). Отслеживаются метрики: использованная память, свободная, буферы/кэш, swap usage. Пороги: warning при использовании > 80%, critical при > 90% или при активном swapping. Анализируется тренд потребления для прогнозирования необходимости расширения памяти.","Исчерпание RAM приводит к деградации сервисов и вынужденным перезагрузкам. Мониторинг позволяет предотвращать инциденты, связанные с нехваткой памяти, и планировать закупки оборудования на основе реальных данных о потреблении."
функция,3,Использование диска,Мониторинг заполненности дисковых разделов и производительности дисковой подсистемы. Исчерпание дискового пространства — одна из наиболее частых причин отказа приложений.,"Собирается через SNMP (dskTable), WMI (Win32_LogicalDisk), команды df/du (Linux). Отслеживается процент заполнения каждого раздела, IOPS, latency дисковых операций, очередь диска. Пороги: warning при > 80% заполнения, critical при > 90%. Для баз данных и лог-систем применяются более строгие пороги.","Полнота дисков приводит к остановке приложений, потере данных и невозможности ведения журналов. Проактивный мониторинг исключает внезапные отказы, позволяет планировать расширение storage-инфраструктуры и оптимизировать затраты на хранение данных."
