тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Критерии (Обнаружение и инвентаризация ПО),"Категория охватывает способности системы обнаруживать и инвентаризировать программное обеспечение во всей ИТ-инфраструктуре организации — от on-premise серверов и рабочих станций до облачных workload'ов и SaaS-приложений. SAM начинается с полного и точного понимания того, какое ПО установлено, кем используется и в каком объёме. Без качественной инвентаризации все downstream-процессы — лицензионный учёт, оптимизация, compliance — работают с неполными данными, что приводит к необнаруженным рискам и финансовым потерям. Полнота обнаружения определяет верхнюю границу качества всего SAM-процесса.","Современные SAM-платформы используют гибридный подход к сбору данных: агентное сканирование endpoint'ов через развёрнутые агенты (WMI, SSH, SNMP), агентless-сканирование сетевых сегментов через удалённый опрос, интеграция с облачными провайдерами через API (AWS Config, Azure Resource Manager, GCP Asset Inventory), а также обнаружение SaaS-приложений через анализ SSO-логов (Okta, Azure AD), browser extensions и прямую интеграцию с API SaaS-провайдеров. Данные нормализуются через Software Recognition — сопоставление сырых установок с каталогом программных продуктов для определения точного названия, версии, редакции и лицензионной модели.","Полная инвентаризация ПО — фундамент управления лицензионными рисками и оптимизации затрат. Организации с неполным обнаружением недоплачивают за критичные лицензии или переплачивают за неиспользуемые. Инвестиции в качественный Discovery окупаются за счёт выявления shadow IT, устранения слепых зон и предотвращения штрафов при аудитах вендоров. Типичная экономия от SAM-оптимизации в организации с 5000+ рабочих мест составляет 15–30% от годового бюджета на ПО."
функция,3,"Агентное сканирование endpoint'ов, серверов, виртуальных сред","Агентное сканирование предполагает развёртывание специализированного программного агента на каждом устройстве для регулярного сбора полной информации об установленном ПО, его версиях, компонентах и конфигурациях. Это наиболее точный и детальный метод инвентаризации, обеспечивающий глубокую видимость программного ландшафта.","Агенты собирают данные через системные API операционной системы (WMI для Windows, RPM/dpkg для Linux, System Profiler для macOS), регистрии установленного ПО, а также путём поиска исполняемых файлов и библиотек. Агенты передают данные на центральный сервер SAM по защищённым каналам (HTTPS/TLS) с регулярностью от 15 минут до 24 часов. Преимущества — точность, полнота данных, возможность сбора usage-метрик. Недостатки — необходимость развёртывания, обслуживания и обновления агентов, потенциальное влияние на производительность системы.","Агентное сканирование обеспечивает наиболее полные и точные данные для лицензионного учёта, что критично при аудитах крупных вендоров (Microsoft, Oracle, SAP). Точность данных с агентов снижает риск недолицензирования и позволяет выявлять неиспользуемые компоненты для оптимизации. Вложения в агентную инфраструктуру окупаются через предотвращение штрафов и сокращение избыточных лицензий."
функция,3,Агентless-сканирование сети,Агентless-сканирование выполняет удалённый сбор данных об установленном ПО через сетевые протоколы без необходимости установки агентов на целевые устройства. Этот метод обеспечивает быстрое покрытие большого числа систем и актуализацию данных в динамичных средах.,"Сканирование выполняется через протоколы WMI (Windows), SSH/SNMP (Linux, сетевое оборудование), WinRM, PowerShell Remoting. Сканер опрашивает удалённые системы, собирая данные из реестра, системных каталогов и менеджеров пакетов. Преимущества — отсутствие накладных расходов на развёртывание агентов, возможность сканирования неуправляемых устройств и гостевых систем. Недостатки — зависимость от сетевой доступности, необходимости учётных данных с достаточными правами, потенциально меньшая детализация по сравнению с агентами.","Агентless-сканирование снижает TCO инфраструктуры SAM за счёт отсутствия затрат на развёртывание и обслуживание агентов, а также позволяет быстро получить первичную картину ПО-ландшафта при запуске проекта. Это особенно ценно в гетерогенных средах и при работе с подрядчиками, где установка агентов невозможна по договорённости."
функция,3,"Обнаружение SaaS через SSO-интеграции, browser extensions, API","Обнаружение SaaS-приложений — способность SAM-платформы выявлять облачные сервисы, используемые в организации, включая санкционированные и несанкционированные (shadow IT). SaaS-инвентаризация критична, поскольку облачные подписки часто закупаются decentralized и не отражаются в центральном учёте.","Обнаружение SaaS реализуется через три канала: интеграция с SSO-провайдерами (Okta, Azure AD, Ping Identity) для получения списка подключённых приложений и данных об аутентификации; browser extensions или proxy-анализ для выявления web-сервисов, к которым обращаются пользователи; прямые API-интеграции с SaaS-провайдерами (Salesforce, Office 365, Slack) для сбора данных о лицензиях, пользователях и использовании. Результат — полный реестр SaaS-приложений с атрибутами: название, количество пользователей, уровни подписок, затраты.",Обнаружение SaaS предотвращает финансовые потери на неиспользуемые подписки и риски безопасности от несанкционированных сервисов (shadow IT). В средней организации 20-40% SaaS-подписок оказываются неактивными или дублирующими. Выявление и ликвидация shadow IT снижает attack surface и обеспечивает compliance с политиками использования корпоративных данных.
функция,2,Интеграция с системами расходов (expense systems) для выявления shadow IT,"Интеграция с системами управления расходами и корпоративными картами позволяет выявлять ИТ-закупки, совершённые в обход центрального procurement — подписки на SaaS, покупки ПО сотрудниками через личные карты с последующей компенсацией.","SAM-платформа интегрируется с ERP (SAP, Oracle), expense management системами (Concur, Expensify) и корпоративными банковскими сервисами через API для анализа транзакций по категориям 'Software', 'IT Services', 'Cloud'. Алгоритмы распознавания выявляют платежи за SaaS-подписки, лицензии и облачные сервисы, сопоставляя их с реестром управляемых приложений. Новые сервисы автоматически флагируются как потенциальный shadow IT.","Интеграция с expense systems закрывает один из основных каналов shadow IT — decentralized закупки через личные карты. Это позволяет финансовым контролёрам выявлять неучтённые ИТ-расходы, оценивать реальный размер ИТ-бюджета и предотвращать риски утечки данных через несанкционированные сервисы."
функция,2,"Облачные workload'ы (AWS, Azure, GCP)","Инвентаризация ПО, установленного на облачных виртуальных машинах и контейнерных workload'ах в публичных облаках (AWS EC2, Azure VMs, GCP Compute Engine). Облачная инфраструктура динамична — экземпляры создаются и уничтожаются в течение минут, что требует непрерывного мониторинга.","Обнаружение выполняется через интеграцию с облачными провайдерами через API: AWS Config, Azure Resource Manager API, GCP Asset Inventory. SAM-платформа получает метаданные о запущенных инстансах, их конфигурациях, AMI-образах и установленном ПО. Для сбора данных о ПО внутри VM используются агенты или агентless-сканирование через публичные IP с учётными данными. Контейнерные среды сканируются через интеграцию с container registries и orchestration API (Kubernetes, ECS).","Облачная инвентаризация обеспечивает учёт лицензий для ПО, работающего в облаке — многие enterprise-лицензии (Oracle, Microsoft SQL Server) требуют учёта в облачных средах по специальным метрикам. Без этого риск недолицензирования при облачном аудите критично возрастает. Также инвентаризация позволяет выявлять неиспользуемые облачные ресурсы для оптимизации затрат."
категория,3,Критерии (Software Recognition и нормализация ПО),"Категория охватывает способности системы идентифицировать, нормализовать и классифицировать программное обеспечение по результатам сканирования. Software Recognition — ключевой слой качества SAM: без точной идентификации установленных продуктов невозможно корректное сопоставление с лицензионными правами и расчёт compliance.","Software Recognition Engine сопоставляет сырые данные об установках (имена исполняемых файлов, версии, registry keys, MSI product codes) с каталогом программных продуктов, содержащим миллионы записей. Движок выполняет нормализацию: приведение различных вариантов наименований ('MS Office 2021 Professional Plus', 'Microsoft Office ProPlus 2021') к единой стандартизованной записи; определение редакции и версии; установление лицензионной модели (perpetual, subscription, concurrent); идентификацию компонентов и опций. Каталог регулярно обновляется для поддержки новых продуктов и версий.",Качество Software Recognition напрямую определяет точность лицензионного учёта. Некорректное распознавание приводит к ложным срабатываниям compliance gaps (когда ПО не распознано и не сопоставлено с entitlement) или недоучёту installations. Инвестиции в качественный recognition engine окупаются за счёт сокращения ошибок при аудитах и повышения точности оптимизации. Целевой показатель: ? 95% распознавания коммерческого ПО.
функция,3,Идентификация программных продуктов по сигнатурам,"Сопоставление сырых данных об установках (имена файлов, версии, хэши) с сигнатурами из каталога программных продуктов для точной идентификации. Каждый обнаруженный файл проверяется по базе сигнатур, включающей миллионы записей о коммерческом и open-source ПО.","Recognition Engine использует многофакторное сопоставление: exact match по MSI product code, executable name и version; heuristic match по частичным совпадениям имени, разработчика, пути установки; fuzzy match для вариантов написания ('MS Office' vs 'Microsoft Office'). Каталог сигнатур включает: уникальный идентификатор продукта, canonical name, вендор, версия, редакция, лицензионная модель, метрики лицензирования, end-of-life даты. Каталог регулярно обновляется vendor-поставщиком SAM-платформы.","Точная идентификация — основа всего SAM-процесса. Без неё каждая нераспознанная установка — это 'чёрный ящик', который невозможно сопоставить с лицензиями. В организации с 10000+ установок даже 5% нераспознанного ПО создаёт существенный риск при аудите."
функция,3,Нормализация наименований ПО и версий,"Приведение различных вариантов наименований, версий и редакций одного и того же программного продукта к единому стандартизованному виду. Нормализация устраняет дублирование записей и обеспечивает корректную агрегацию данных.","Normalization Engine обрабатывает варианты наименований ('Adobe Photoshop CC 2023', 'Adobe Photoshop 24.0', 'PS CC 2023') и приводит их к canonical form ('Adobe Photoshop CC 2023'). Для версий применяется семантическое версионирование (major.minor.patch) с учётом vendor-specific схем (например, годовые версии Microsoft Office). Для редакций выполняется сопоставление ('Professional Plus', 'ProPlus', 'Pro Plus' ? 'Professional Plus'). Результат — единая стандартизованная запись для каждого продукта, позволяющая точный подсчёт installations и сопоставление с entitlements.","Нормализация предотвращает искажения в отчётности: без неё одно приложение может отображаться под 3-5 разными названиями, что создаёт ложное впечатление о разнообразии портфеля и затрудняет подсчёт реального количества installations. Корректная нормализация — необходимое условие для точного effective license position."
функция,2,Сопоставление с лицензионными моделями вендоров,"Определение лицензионной модели для каждого идентифицированного продукта: seat-based, processor-based, core-based, named user, concurrent, subscription, perpetual и т.д. Корректное сопоставление критично для правильного расчёта compliance.","Для каждого продукта в каталоге Software Recognition указывается лицензионная модель (license metric), применяемая вендором. При идентификации продукта SAM-платформа автоматически назначает соответствующую метрику и использует её при расчёте effective license position. Для продуктов с множественными моделями (например, Microsoft SQL Server — CAL vs Per Core) система запрашивает у администратора уточнение или определяет модель на основе контекста (edition, характеристики хоста).",Правильное сопоставление лицензионной модели защищает от ошибок compliance: расчёт Oracle по seat-based вместо processor-based создаст ложное ощущение compliance при реальном дефиците. Точное определение метрики — необходимое условие для корректного vendor-specific аудита.
