тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Обнаружение угроз на конечных точках,"Центральная функция EDR-системы, обеспечивающая непрерывный мониторинг активности на рабочих станциях, серверах и мобильных устройствах с целью выявления аномалий, вредоносного поведения и признаков компрометации. В отличие от классических антивирусов, EDR-обнаружение опирается на поведенческий анализ: система строит базовый профиль нормальной активности процессов, сетевых соединений, файловых операций и реестра, и сигнализирует при отклонениях от этого профиля. Обнаружение охватывает весь жизненный цикл угрозы — от первичного проникновения через фишинг или эксплуатацию уязвимости до попыток закрепления, повышения привилегий и lateral movement.","Архитектура обнаружения строится на агенте, устанавливаемом на каждой конечной точке, который перехватывает и журналирует системные события на уровне ядра ОС: создание процессов, загрузку DLL, модификацию реестра, файловые операции, сетевые соединения, вызовы API. Данные телеметрии накапливаются локально и передаются на EDR-сервер для анализа. Используются три модели обнаружения: сигнатурная (IoC — индикаторы компрометации, хэши вредоносных файлов, известные пути закрепления), поведенческая (MITRE ATT&CK TTP — техники, тактики и процедуры; anomaly detection через ML-модели, обученные на корпоративном трафике) и гибридная (корреляция сигнатурных срабатываний с поведенческими аномалиями). Критичные обнаружения (ransomware activity, credential dumping, process injection) инициируют немедленное уведомление; некритичные накапливаются для ретроспективного hunting. Интеграция с threat intelligence feeds ( commercial и open-source) обогащает обнаружение актуальными IoC.","Поведенческое обнаружение сокращает среднее время детектирования угрозы (MTTD) с недель до минут: если классический антивирус пропускает zero-day угрозу, EDR выявляет её по подозрительному поведению — например, по попытке шифрования сотен файлов за секунду (indicative of ransomware). Экономический эффект измеряется стоимостью предотвращённого инцидента: средний ущерб от успешной ransomware-атаки для средней компании составляет 1.5–4.5 млн USD, включая простой, выкуп, восстановление и репутационные потери. EDR-обнаружение обеспечивает доказуемый compliance с требованиями регуляторов (PCI DSS 11.4, NIST SP 800-53, ISO 27001 A.12.6) — каждое обнаружение фиксируется с атрибутами: timestamp, затронутый актив, severity, MITRE technique ID, recommended response."
категория,3,Автоматическое реагирование и изоляция угроз,"Функция оперативного реагирования на подтверждённые угрозы, обеспечивающая автоматическое или полуавтоматическое выполнение контрмер: изоляция заражённой конечной точки от сети, блокировка вредоносного процесса, удаление файлов, откат изменений реестра, сброс учётных данных. Цель — минимизировать время между обнаружением угрозы и нейтрализацией её воздействия (MTTR), предотвращая распространение инфекции на соседние активы и критичные сегменты инфраструктуры. Реагирование может выполняться в автоматическом режиме (pre-configured playbooks) или по подтверждению аналитика SOC.","Механизмы реагирования реализуются через EDR-агент, который получает команды с management-сервера по защищённому каналу (HTTPS/TLS с mutual authentication). Основные response actions: network isolation (блокировка всех сетевых соединений, кроме канала к EDR-серверу), process kill (принудительное завершение вредоносного процесса и его дочерних), file quarantine (перемещение подозрительных файлов в защищённое хранилище с восстановлением оригинальных путей), registry remediation (откат изменений автозапуска, служб, Winlogon), user session termination (принудительный выход пользователя и блокировка учётной записи), device lockdown (полная блокировка устройства до прибытия службы безопасности). Поддерживаются granular policies: для критичных серверов реагирование может быть полностью автоматическим, для рабочих станций — требовать подтверждения SOC-аналитика. Интеграция с SOAR-платформами расширяет возможности: автоматический сбор forensic-артефактов, создание тикетов в ITSM, блокировка IP на firewall, отзыв токенов в IAM.","Автоизоляция инфицированного устройства в течение секунд после обнаружения предотвращает lateral movement и ограничивает зону поражения до одной конечной точки вместо десятков или сотен. Это критически важно для защиты критичных бизнес-систем: при компрометации endpoint в сегменте, имеющем доступ к ERP или финансовой системе, каждая секунда задержки увеличивает риск эксфильтрации данных и финансовых потерь. Автоматизация реагирования снижает нагрузку на SOC: вместо ручного выполнения 15–20 шагов по containment для каждого инцидента playbooks выполняют их за 30–60 секунд, освобождая аналитиков для расследования сложных угроз. Документирование каждого response action обеспечивает compliance-audit trail — регуляторы требуют доказательств, что организация способна оперативно реагировать на инциденты."
категория,2,Расследование инцидентов и threat hunting,"Функция глубокого анализа выявленных угроз и проактивного поиска скрытых инцидентов (advanced persistent threats, APT), которые не были обнаружены автоматическими механизмами. EDR-система предоставляет аналитикам SOC централизованный investigative workbench с полной телеметрией активности endpoint: timeline процессов, дерево вызовов, сетевые соединения, файловые операции, модификации реестра, загрузка DLL, WMI- и PowerShell-активность. Threat hunting — это проактивная деятельность: аналитики формулируют гипотезы об атаках (например, 'злоумышленник использует Living-off-the-Land binaries для закрепления') и проверяют их через поисковые запросы по всей телеметрии EDR.","Архитектурно расследование опирается на централизованное хранилище телеметрии, собранной с всех endpoint-агентов. Данные индексируются по множеству полей: process GUID, parent-child relationships, network 5-tuple (src IP, dst IP, src port, dst port, protocol), file hash, registry path, DNS query, user SID. Аналитический интерфейс предоставляет: interactive process tree (визуальное дерево порождений процессов с индикаторами риска), full search across telemetry (язык запросов аналогичный Splunk/SQL для поиска по всей истории активности), file trajectory (отслеживание перемещения файла по инфраструктурке — с какого endpoint он появился, через какие сетевые пути распространился), MITRE ATT&CK mapping (каждое обнаружение привязано к технике MITRE с описанием TTP). Для forensic-анализа EDR поддерживает remote shell (защищённый терминальный доступ к изолированному endpoint), live memory dump (снятие дампа памяти подозрительного процесса для анализа), YARA-scanning (проверка системы по кастомным сигнатурам). Хранение телеметрии — от 30 дней до 1 года в зависимости от политики.","Возможность полного расследования инцидента определяет качество реагирования и предотвращение повторных атак. Без централизованной телеметрии расследование компрометации endpoint занимает дни — специалистам приходится вручную собирать логи, дампы памяти, историю браузера с заражённого устройства. EDR сокращает это до часов: аналитик видит полную картину атаки — с первоначального входа до текущего состояния — на одном экране. Threat hunting снижает dwell time (время присутствия злоумышленника в сети): средний APT остаётся незамеченным 280+ дней, регулярный hunting сокращает это до недель. С точки зрения compliance, детальные расследования с MITRE-mapping и timeline демонстрируют регуляторам и аудиторам зрелость процессов безопасности — что критично для финансовых организаций, обрабатывающих персональные данные и платёжную информацию."
категория,2,Управление endpoint-агентами,"Функция централизованного управления жизненным циклом EDR-агентов: развёртывание на новых устройствах, обновление версий и сигнатурных баз, мониторинг состояния агентов (heartbeat, connectivity, health), управление политиками обнаружения и реагирования для различных групп endpoint. Управление агентами критично для обеспечения полноты покрытия: каждое устройство без агента — слепая зона, где угрозы остаются необнаруженными. Зона покрытия включает рабочие станции Windows/macOS/Linux, серверы (физические и виртуальные), контейнерные хосты, VDI-инстансы и мобильные устройства.","Management-сервер EDR обеспечивает централизованную консоль для управления агентами через защищённый канал (mTLS). Основные компоненты: deployment engine (установка агентов через GPO/SCCM для Windows, Ansible/Puppet для Linux, MDM-профили для macOS, push-installation для VDI), policy manager (иерархическая модель политик: global ? group ? individual endpoint; политики определяют sensitivity обнаружения, набор response actions, retention телеметрии, whitelist trusted applications), health monitoring (real-time dashboard статуса агентов: online/offline/isolated/updating; алерты при отсутствии heartbeat > N минут), agent updater (плановое и экстренное обновление агентов по расписанию с maintenance windows; rollback при обнаружении проблем совместимости), tamper protection (защита агента от отключения или удаления администратором или вредоносным ПО). Поддерживаются различные deployment modes: lightweight agent (минимальное потребление ресурсов, передача телеметрии на сервер) и full agent (локальный анализ с ML-моделями на endpoint для offline-обнаружения).","Полное покрытие endpoint EDR-агентами — фундаментальное требование для обеспечения видимости угроз. Каждое устройство без агента — потенциальная слепая зона, через которую злоумышленник может проникнуть в инфраструктуру и оставаться незамеченным месяцами. Централизованное управление агентами обеспечивает консистентность политик безопасности по всему парку устройств: исключение ситуаций, когда часть endpoint защищена максимально, а часть — минимально или не защищена вовсе. Это критично для compliance: аудиторы требуют доказательств, что 100% корпоративных устройств находятся под мониторингом. Автоматизация развёртывания и обновления агентов снижает OPEX на эксплуатацию EDR: вместо ручной установки на каждое устройство команда безопасности управляет тысячами агентов из единой консоли."
категория,2,Интеграция с экосистемой безопасности,"Функция обмена данными и событиями между EDR и смежными системами безопасности и IT-инфраструктуры, обеспечивающая комплексный подход к защите. EDR не существует изолированно: данные об endpoint-угрозах enrich SIEM для корреляции с сетевыми событиями, поступают в GRC для оценки рисков, инициируют инциденты в ITSM, обогащаются threat intelligence для повышения точности обнаружения. Обратные потоки — из SIEM поступают IoC для endpoint-scanning, из Vulnerability Management — данные об уязвимостях для приоритизации расследований, из CMDB — контекст активов (владелец, критичность, сегмент) для обогащения алертов.","Интеграции реализуются через стандартные протоколы и API: outbound потоки — syslog/CEF/Leef в SIEM (связь e24/e34: endpoint incidents с полной телеметрией и MITRE-mapping), REST API в ITSM (автоматическое создание security incidents с приоритетом на основе severity и asset criticality), STIX/TAXII для threat intelligence feeds (автоматический импорт IoC: IP, домены, file hashes, MITRE technique IDs), API в GRC (передача evidence исполнения security controls). Inbound потоки — SIEM (correlated alerts с сетевой активностью, которые EDR использует для prioritization endpoint investigation), CMDB (asset identity, владелец, критичность, сегмент сети — обогащение каждого алерта контекстом), Vulnerability Management (список критичных CVE на endpoint для корреляции с обнаружениями), IAM (список привилегированных пользователей — alert escalation при аномалиях на аккаунтах администраторов). Для автоматизации response интеграция с SOAR обеспечивает orchestration: EDR-detect ? SOAR-playbook ? EDR-isolate + firewall-block + ITSM-ticket + email-notification — всё за 60 секунд без участия аналитика.","Интеграция EDR с экосистемой безопасности создаёт multiplier effect: данные из одной системы обогащают контекст в другой, что повышает точность обнаружения и скорость реагирования. Корреляция EDR-событий с сетевыми логами в SIEM позволяет построить полную картину атаки — от входа через endpoint до lateral movement и эксфильтрации данных. Без этой связки организация видит только фрагменты: endpoint-команда видит вредоносное ПО, сетевая команда видит подозрительный трафик, но ни одна не понимает масштаб инцидента. Интеграция с CMDB добавляет бизнес-контекст: при обнаружении угрозы на сервере, обслуживающем платёжную систему, incident автоматически получает P1-приоритет и эскалируется на CISO — вместо попадания в общую очередь алертов. С точки зрения compliance, интегрированная экосистема обеспечивает end-to-end visibility, которое требуют регуляторы для подтверждения зрелости security-функции."
категория,1,Threat Intelligence и IoC-менеджмент,"Функция обогащения EDR актуальными данными об угрозах из внешних и внутренних источников threat intelligence: коммерческих feeds (CrowdStrike, Mandiant, Recorded Future), открытых баз (MISP, AlienVault OTX), отраслевых обменников (FS-ISAC для финансового сектора), собственных IoC, выявленных в ходе расследований. IoC-менеджмент обеспечивает централизованное управление индикаторами компрометации: импорт, валидацию, распространение на endpoint-агенты, отслеживание срабатываний и обновление/архивацию устаревших IoC.","Архитектурно Threat Intelligence интегрируется через модули: TI feeds ingestion (автоматический импорт IoC через STIX/TAXII, API, CSV-файлы; поддержка типов: IP-адреса, домены, URL, file hashes (MD5/SHA1/SHA256), mutex names, YARA-rules, MITRE technique IDs), IoC lifecycle management (статус IoC: active ? expired ? false_positive; automatic expiration по TTL; валидация через cross-reference нескольких источников), IoC distribution engine (распространение IoC на endpoint-агенты с учётом приоритета и групповых политик; агенты проверяют локальные артефакты — файлы, DNS-запросы, сетевые соединения — на совпадение с IoC в реальном времени), hit tracking (регистрация каждого срабатывания IoC: timestamp, endpoint, user, process, действие агента). EDR поддерживает custom IoC: аналитики SOC добавляют индикаторы, выявленные в ходе внутренних расследований, и распространяют их на все endpoint для proactive detection.","Threat Intelligence повышает точность обнаружения на 20–40% за счёт актуальных IoC: агенты выявляют известные вредоносные IP, домены C2-серверов и хэши malware до того, как поведенческий анализ среагирует. Это критично для защиты от массовых кампаний: когда новый штамм ransomware атакует тысячи организаций, IoC feed позволяет заблокировать C2-коммуникации в первые часы после публикации индикаторов. Внутренний IoC-менеджмент создаёт организационную память угроз: индикаторы, выявленные при расследовании incident, используются для поиска скомпрометированных систем, которые могли остаться незамеченными. Экономический эффект — предотвращение повторных атак с использованием тех же инструментов, что экономит сотни тысяч долларов на расследование и восстановление."
функция,3,Поведенческое обнаружение (Behavioral Detection),"Анализ поведения процессов и пользователей на конечной точке для выявления аномалий, характерных для вредоносной активности. Система строит базовый профиль нормального поведения каждого процесса и пользователя, используя ML-модели, и сигнализирует при отклонениях — например, при попытке lsass.exe доступа к памяти другого процесса (credential dumping), при массовом шифровании файлов (ransomware), при создании скрытых учётных записей (persistence). Поведенческое обнаружение эффективно против zero-day угроз и fileless-атак, которые не имеют сигнатур.","Реализуется через комбинацию kernel-level drivers (перехват системных вызовов — process creation, file I/O, registry access, network sockets) и user-mode sensors (мониторинг API-вызовов, PowerShell-скриптов, WMI-команд, Office macros). ML-модели обучаются на корпоративном трафике: unsupervised learning для построения baseline нормального поведения (какие процессы обычно запускает пользователь, какие файлы открывает, к каким доменам обращается) и supervised learning для классификации известных паттернов атак. Детектируются MITRE ATT&CK техники: T1003 (credential dumping), T1055 (process injection), T1486 (data encrypted for impact), T1059 (command and scripting interpreter), T1021 (remote services). Каждое обнаружение сопровождается risk score (0–100), объяснением (why this is suspicious) и рекомендуемым response action.","ML-поведенческое обнаружение — ключевое конкурентное преимущество EDR перед классическими антивирусами. В условиях, когда 80%+ вредоносного ПО — zero-day или polymorphic, сигнатурные методы неэффективны. Поведенческий анализ выявляет атаку на ранних стадиях по аномальным паттернам активности, снижая средний ущерб от инцидента на 60–80%. Бизнес-ценность измеряется в предотвращённых потерях: каждый час простоя критичной системы стоит от 100 тыс. до 1 млн USD в зависимости от отрасли. Быстрое обнаружение ransomware за секунды до массового шифрования спасает бизнес от многодневного простоя и многомиллионных выкупов."
функция,3,Автоизоляция endpoint (Auto-Containment),"Автоматическое отключение скомпрометированной конечной точки от корпоративной сети при обнаружении критичной угрозы. Изоляция блокирует все исходящие и входящие сетевые соединения, кроме защищённого канала к EDR management-серверу, что предотвращает распространение вредоносного ПО на соседние устройства и эксфильтрацию данных, но сохраняет возможность удалённого управления и расследования. Функция может работать в автоматическом или полуавтоматическом режиме.","Механизм реализуется на уровне агента: при получении команды isolate (автоматически по policy или вручную от SOC-аналитика) агент модифицирует локальный firewall (Windows Filtering Platform, iptables, pf) для блокировки всех сетевых соединений, кроме whitelisted destinations (EDR-сервер, DNS для разрешения его имени). Для обеспечения оперативности isolation выполняется локально — агент не ждёт подтверждения от сервера, если policy требует немедленной изоляции при detection severity = critical. Поддерживаются granular modes: full network isolation (полная блокировка), selective isolation (блокировка только корпоративной сети с сохранением интернета для cloud-based EDR communication), process-specific isolation (блокировка сетевых соединений только подозрительного процесса). При изоляции генерируется alert в SIEM и ITSM с информацией: причина изоляции, timestamp, endpoint, user, обнаруженная угроза.",Функция автоизоляции — страховой полис против распространения угроз. В типичной ransomware-атаке вредоносное ПО распространяется с первичного endpoint на сотни устройств за 1–2 часа. Автоизоляция прерывает эту цепочку на первом звене: время containment сокращается с часов (ручная реакция SOC) до секунд (автоматический response). Экономически это означает разницу между инцидентом на одном устройстве (стоимость восстановления $2–5K) и массовой компрометацией инфраструктуры (стоимость $500K–$5M). Для регуляторов и страховщиков киберрисков наличие автоизоляции — ключевой фактор при оценке зрелости security-функции и расчёте премий.
функция,3,Сбор и хранение endpoint-телеметрии,"Централизованный сбор, индексация и хранение детальной телеметрии активности на конечных точках: создание и завершение процессов, сетевые соединения, файловые операции, модификации реестра, загрузка DLL, аутентификации, DNS-запросы, PowerShell/WMI-команды. Телеметрия служит основой для расследований, threat hunting и forensic analysis, позволяя аналитикам восстановить полную картину активности на endpoint за произвольный период времени.","Endpoint-агент собирает события через kernel-level ETW (Event Tracing for Windows) providers, auditd (Linux), Endpoint Security Framework (macOS). Собираемые event types: ProcessStart/ProcessStop (command line, parent process, user, hash), FileCreate/FileDelete/FileModify (path, hash, entropy для выявления шифрования), RegistrySet/RegistryDelete (key, value, data), NetworkConnect (src/dst IP:port, protocol, process owner), DNSQuery (query name, response, process), ImageLoad (DLL path, signature status), Authentication (type, user, source IP, status), PowerShell execution (script block logging, command text). Данные буферизуются локально (ring buffer 50–500 MB) и передаются на EDR-сервер через HTTPS с batching и compression. На сервере данные индексируются в columnar storage (ClickHouse, Elasticsearch, или proprietary) с retention policy 30–365 дней. Поддерживается selective collection: для критичных endpoint — полная телеметрия, для стандартных — сокращённый набор событий для экономии storage.","Централизованное хранилище endpoint-телеметрии — инвестиция в возможность расследования. Без детальных логов расследование инцидента превращается в догадки: аналитики не могут восстановить timeline атаки, определить vector проникновения или оценить полноту компрометации. Телеметрия EDR обеспечивает forensic-ready infrastructure: каждое событие зафиксировано с точностью до миллисекунды, что позволяет построить доказательную базу для судебных разбирательств и регуляторных расследований. Retention 30–90 дней покрывает типичный цикл обнаружения APT-угроз. С точки зрения compliance, хранение телеметрии обязательно по требованиям PCI DSS, GDPR (статья 32 — безопасность обработки данных) и отраслевых регуляторов."
функция,3,Расследование инцидентов (Incident Investigation),"Централизованный investigative workbench для аналитиков SOC, предоставляющий полный контекст обнаруженной угрозы: timeline атаки, дерево процессов, сетевые соединения, файловые операции, affected users и systems. Расследование позволяет определить scope компрометации (какие endpoint затронуты), vector проникновения (как злоумышленник попал в систему), timeline атаки (когда началась и как развивалась) и root cause (первоначальная причина — фишинг, уязвимость, скомпрометированные учётные данные).","Investigation console предоставляет: Attack Timeline (хронологическая лента всех событий, связанных с инцидентом, с цветовой кодировкой по severity), Process Tree (иерархическое дерево порождений процессов с индикаторами риска и MITRE-mapping для каждого узла), Network Analysis (список всех сетевых соединений подозрительного процесса с WHOIS-информацией, reputation score, geolocation), File Analysis (детали файлов: hash, entropy, signature status, VirusTotal score, timeline перемещения по инфраструктуре), User Context (история аутентификаций пользователя, его привилегии, устройства, с которых он входил), Cross-Endpoint Correlation (поиск аналогичных индикаторов на других endpoint — тот же hash, домен, IP, technique). Поддерживается one-click response из investigation: isolate endpoint, kill process, quarantine file, block hash globally — без переключения между интерфейсами.","Investigation workbench повышает эффективность SOC-аналитиков в 3–5 раз: вместо ручного сбора артефактов с заражённых устройств (часы работы) аналитик получает полную картину атаки на одном экране (минуты). Это сокращает MTTR и позволяет команде безопасности обрабатывать больше инцидентов без увеличения штата. Качество расследования влияет на предотвращение повторных атак: если root cause установлен неполностью, злоумышленник может использовать тот же vector для повторного проникновения. Детальные расследования с MITRE-mapping демонстрируют зрелость security-функции перед регуляторами, клиентами и партнёрами — что критично для финансовых и государственных организаций."
