тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,1,Критерии общие,"Базовые организационно-экономические характеристики продукта, определяющие его легитимность на рынке РФ, совокупную стоимость владения (TCO) и доступность технической поддержки.","Определяют архитектурные и эксплуатационные ограничения при выборе решения: совместимость со стандартами, требования к инфраструктуре, SLA поддержки.","Влияют на принятие решения о закупке, соответствие регламентам закупочного законодательства, бюджетное планирование и оценку окупаемости инвестиций (ROI)."
функция,1,В реестре Минцифры,Признак включения программного продукта в реестр отечественного ПО Минцифры России.,"Технически не влияет на функционал продукта, но является юридическим статусом, подтверждающим соответствие требованиям локализации и импортозамещения.","Обязателен для государственных учреждений и компаний с государственным участием при закупках по 44-ФЗ и 223-ФЗ. Снижает риски санкционных ограничений, облегчает прохождение аудитов и тендерных процедур."
функция,1,Стоимость,"Совокупная стоимость владения (TCO), включающая лицензии, подписку, внедрение и сопровождение системы.","Может влиять на доступность модулей (например, отдельная плата за агенты, хабы или расширенные сенсоры), определяет модель лицензирования (на ядро, на устройство, на пользователя).","Определяет окупаемость инвестиций, доступность для малого и среднего бизнеса, возможность масштабирования без пересмотра бюджета. Неправильная оценка TCO приводит к скрытым затратам на внедрение и сопровождение."
функция,1,Пакеты технической поддержки на выбор с обучением: стандартный и расширенный,Модели сопровождения продукта с различным SLA и наличием программ обучения администраторов.,"Влияет на время реакции (response time), круглосуточность поддержки, каналы связи (телефон, портал, чат), а также на глубину эксплуатации функций через обучение и сертификацию.","Снижает зависимость от внутренней экспертизы, ускоряет time-to-value, минимизирует простои. Расширенный пакет критичен для круглосуточных производственных сред и компаний без резервных ИТ-кадров."
категория,3,Критерии (Базовые функции),"Фундаментальный функционал системы Discovery & Inventory, обеспечивающий автоматическое обнаружение, сбор, анализ и визуализацию данных об ИТ-активах.","От этих функций напрямую зависит полнота и точность CMDB (Configuration Management Database), качество управления активами, скорость сканирования и глубина собираемых атрибутов.","Определяет возможность соответствия лицензионной политике, информационной безопасности, управления жизненным циклом активов и подготовки отчетности для аудиторов и регуляторов."
функция,3,"Дискаверинг неизвестных IP-адресов (ARP, LLDP, SSDP)","Функция автоматического обнаружения устройств в сети по протоколам ARP, LLDP и SSDP без предварительного задания диапазонов.","Обеспечивает полноту инвентаризации без ручного ввода, выявляет 'теневые' устройства и несанкционированные подключения через анализ таблиц коммутаторов, соседей по канальному уровню и UPnP-устройств.","Снижает риски ИБ за счет выявления нелегальных подключений, исключает потери активов, дает достоверную картину инфраструктуры для планирования закупок, аудита и оптимизации сетевой топологии."
функция,3,Безагентская инвентаризация,Сбор данных об активах по сети без установки программ-агентов на конечные устройства.,"Реализуется через SNMP, WMI, SSH, REST API; снижает нагрузку на ОС и сеть, упрощает развертывание в гетерогенных средах, позволяет инвентаризировать сетевое оборудование, IoT и embedded-системы.","Ускоряет внедрение (нет этапа массовой установки агентов), снижает трудозатраты на поддержку агентов, минимизирует конфликты с антивирусами и политиками безопасности, сокращает TCO."
функция,3,Агентская инвентаризация,Сбор детальных данных через установленного на устройство легкого программного агента.,"Обеспечивает максимальную глубину сбора (установленное ПО, железо, события ОС, файлы, использование лицензий), работает вне зависимости от сетевой доступности, позволяет собирать данные с офлайн-устройств при их подключении.","Повышает точность лицензионного учета, обнаружение утечек данных и контроль соответствия политикам; критична для финансовой отчетности по ПО, аудитов и оптимизации лицензионных затрат."
функция,2,Карта сети,Автоматическое построение топологии сети на основе данных о связях между устройствами.,"Визуализирует зависимости между маршрутизаторами, коммутаторами, VLAN, подсетями и конечными устройствами; упрощает диагностику сбоев, планирование изменений и сегментацию сети.","Сокращает время восстановления после инцидентов (MTTR), помогает планировать расширение инфраструктуры и оптимизировать затраты на каналы связи, повышает прозрачность ИТ для руководства."
функция,1,Обнаружение portable версий ПО (исполняемые файлы),"Сканирование файловой системы на наличие portable-приложений и исполняемых файлов, не требующих установки.","Выявляет 'серый' софт, который не регистрируется в реестре ОС и стандартных менеджерах ПО, путем анализа сигнатур исполняемых файлов и метаданных.","Критично для лицензионной чистоты и ИБ — portable-версии часто являются источником уязвимостей, нелицензионного использования и утечек данных, что влечет штрафы и репутационные потери."
