тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Нормализация наименований и идентификаторов,"Центральная функция нормализационного движка, обеспечивающая приведение разнородных данных из множественных источников обнаружения к единому стандартизированному формату. Включает преобразование вариативных наименований программных продуктов, унификацию аппаратных идентификаторов и стандартизацию версионных схем, что позволяет downstream-системам оперировать согласованными данными независимо от способа их получения.","Движок использует правила трансформации на основе регулярных выражений, словари синонимов и алгоритмы нечёткого сопоставления (fuzzy matching) для приведения сырых строк к каноническому виду. Обрабатывает поступающие потоки e2 (сырые CI), e3 (HW/SW inventory) и e4 (облачные активы) из зоны z-disc. Например, записи «Microsoft Windows 10 Pro», «Win10Pro» и «Windows 10 Professional» приводятся к единому каноническому наименованию в справочнике. Для аппаратных идентификаторов выполняется нормализация форматов serial number, UUID, MAC-адресов. Целевой показатель полноты нормализации — не менее 98% входящих записей.","Обеспечивает сопоставимость данных между различными инструментами Discovery и Inventory, исключая ситуации, когда один продукт регистрируется как три разных. Без нормализации наименований CMDB наполняется дублирующимися записями, лицензионный учёт даёт неверные цифры, а управление уязвимостями не связывает CVE с конкретными продуктами. Инвестиции в нормализацию окупаются за счёт сокращения ошибок во всех downstream-слоях — ITSM, ITAM, Security и BI."
категория,2,Классификация и справочное управление,"Функциональная область, отвечающая за структурированную классификацию активов по общепринятым справочникам и каталогам продуктов. Обеспечивает соответствие каждого нормализованного элемента записи в едином справочнике, что позволяет downstream-системам однозначно идентифицировать продукт, его производителя, лицензионную модель и жизненный цикл.","Движок выполняет сопоставление нормализованных наименований с централизованным каталогом продуктов (Product Catalog), содержащим атрибуты: производитель, семейство продукта, редакция, метрика лицензирования, даты End-of-Life и End-of-Support. Интеграция с внешними справочниками (например, каталоги vendor-ов, базы CVE) обеспечивает enrichment нормализованных записей дополнительным контекстом. Справочники требуют регулярного обновления для поддержки новых версий ПО и появляющихся продуктов. Интеграция реализуется через REST API или batch-загрузку справочных данных.","Классификация по справочникам создаёт единый язык описания активов для всех участников IT-процессов. SAM-команда может точно сопоставить установленное ПО с закупленными лицензиями, Security-группа — определить уязвимости по продуктовому каталогу, FinOps — рассчитать стоимость владения с учётом жизненного цикла продукта. Отсутствие справочного управления приводит к «слепым зонам» в лицензионном учёте и невозможности провести compliance-аудит."
категория,2,Управление качеством нормализации,"Функциональная область, обеспечивающая непрерывный контроль качества процессов нормализации и предоставляющая метрики для оценки достоверности данных, загружаемых в CMDB. Включает мониторинг процента успешно нормализованных записей, выявление неразрешённых конфликтов и формирование quality feed для downstream-систем.","Модуль собирает метрики на каждом этапе обработки: процент успешно нормализованных записей (целевое значение ? 98%), коэффициент дедупликации (типичное соотношение входящих к исходящим записям 1.5–3.0), процент распознанного коммерческого ПО (цель ? 95%), число неразрешённых конфликтов атрибутов (допустимый порог < 1% от потока). Quality CI feed (поток e29) передаёт метрики качества в CMDB и ITSM Core, позволяя генерировать задачи на исправление при превышении порогов. Среднее время обработки одной записи не должно превышать 15 минут.","Управление качеством превращает характеристики данных из абстрактных показателей в управляемые метрики с владельцами, целевыми значениями и механизмами эскалации. Организация получает измеримую уверенность в достоверности CMDB и может обоснованно принимать решения на основе её данных. Низкое качество нормализации прямо коррелирует с финансовыми потерями: ошибки в распознавании ПО приводят к недолицензированию или избыточным закупкам лицензий, неразрешённые дубли — к завышению количества активов в отчётах."
функция,3,Нормализация наименований ПО,"Ключевая функция движка, преобразующая вариативные строковые наименования программных продуктов, полученные из различных источников Discovery, в стандартизованные канонические записи. Обеспечивает единообразие описания установленного программного обеспечения независимо от того, какой инструмент его обнаружил и в каком формате представил.","Реализована на основе словарей синонимов, правил трансформации и алгоритмов fuzzy matching. Обрабатывает различные форматы записей: полные официальные названия («Microsoft Office 2021 Professional Plus»), сокращённые («MS Office ProPlus 2021»), вендорские («Office 365 ProPlus») и системные («setup.exe», версия 5.2.1). Результатом является каноническое наименование, сопоставленное с записью в каталоге продуктов, включая производителя, продуктовую линейку, редакцию и версию. Интегрируется с Software Recognition для определения лицензионной модели нормализованного продукта. Целевой процент распознавания коммерческого ПО — не менее 95%.","Позволяет SAM-функции точно сопоставлять установленное ПО с закупленными лицензиями, исключая ситуации двойного учёта или необнаружения продуктов. Обеспечивает корректное отображение программных активов в управленческой отчётности и даёт возможность проводить compliance-аудит лицензий без длительной ручной подготовки данных. Типовая экономия от точного распознавания ПО в организации с 5000+ рабочих мест составляет 15–30% от годового бюджета на лицензии за счёт выявления неиспользуемых и дублирующих продуктов."
функция,3,Нормализация аппаратных идентификаторов,"Функция унификации аппаратных идентификаторов устройств, поступающих из различных источников обнаружения. Обеспечивает сопоставление различных форматов серийных номеров, UUID, MAC-адресов и других аппаратных меток, позволяя модулю reconciliation корректно идентифицировать одно и то же физическое устройство независимо от способа его обнаружения.","Обрабатывает идентификаторы из потоков сырых CI (e2) и HW/SW inventory (e3): серийные номера производителей (различные форматы — S/N, Serial, Service Tag), UUID в стандартах GUID и других представлениях, MAC-адреса в форматах IEEE 802 с разделителями «:», «-» или без них. Движок приводит каждый тип идентификатора к единому каноническому формату, обеспечивая точное сопоставление записей из разных источников при reconciliation. Поддерживает обработку частичных идентификаторов (например, MAC-адрес без производителя) и конфликтующих значений из различных Discovery-сканеров.","Гарантирует, что одно физическое устройство не будет зарегистрировано в CMDB множественно под разными идентификаторами. Критична для точности инвентаризации: в организации с 50 000+ устройств коэффициент дублирования без нормализации достигает 30–35%. Корректная нормализация аппаратных идентификаторов позволяет снизить этот показатель до 3–5%, что прямо сокращает затраты на лицензирование инструментов мониторинга и управления, привязанных к количеству объектов."
функция,3,Приведение версий к единому формату,"Функция стандартизации версионных схем программных продуктов и аппаратных прошивок. Приводит различные форматы представления версий (числовые, семантические, вендорские кодовые обозначения, build-номера) к единой сопоставимой структуре, обеспечивая корректность downstream-процессов анализа уязвимостей и управления жизненным циклом.","Обрабатывает версии в различных форматах: семантическое версионирование («major.minor.patch» — 10.2.1), вендорские схемы (Oracle Database 19c, Windows 10 22H2), build-номера (19045.3693), редакции (Enterprise, Standard, Datacenter). Движок приводит версии к нормализованному формату, позволяющему выполнять сравнение и сортировку. Интегрируется с модулем Software Recognition для определения лицензионной модели по сочетанию «продукт + версия + редакция». Обеспечивает корректную привязку CVE-идентификаторов к конкретным версиям продуктов для Vulnerability Management.","Позволяет Security-команде точно определять подверженность активов известным уязвимостям на основании версий установленного ПО. Обеспечивает корректность лицензионного учёта, поскольку многие лицензионные соглашения привязаны к конкретным версиям и редакциям продуктов. Упрощает планирование обновлений и миграций за счёт единого представления версионной структуры IT-ландшафта. Без стандартизации версий организация не может провести точную оценку рисков и затрат на обновление устаревших продуктов."
функция,2,Классификация по справочникам продуктов,"Функция сопоставления нормализованных записей с централизованным каталогом продуктов, содержащим структурированные атрибуты каждого программного и аппаратного продукта. Обеспечивает присвоение каждому активу классификационных признаков: тип продукта, производитель, семейство, метрика лицензирования, статус жизненного цикла.","Нормализованные наименования и версии сопоставляются с записями в Product Catalog через точное и нечёткое сопоставление. Каталог содержит иерархическую структуру: производитель ? продуктовая линейка ? продукт ? версия ? редакция. Каждая запись содержит атрибуты: метрика лицензирования (per core, per user, concurrent), даты End-of-Life и End-of-Support, класс критичности, связи с CVE. Справочник обновляется регулярно для поддержки новых релизов и продуктов. Поддерживает интеграцию с внешними базами: NVD (National Vulnerability Database), vendor lifecycle databases.","Создаёт фундамент для всех продуктоориентированных процессов: лицензионного учёта, управления уязвимостями, планирования миграций и обновлений. Позволяет рассчитывать риски End-of-Life продуктов и обосновывать бюджеты на модернизацию. Без классификации по справочникам организация не может определить, сколько активов работает на устаревших версиях ПО, и оценить связанные с этим риски безопасности и compliance."
функция,2,Стандартизация производителей и вендоров,"Функция приведения различных вариантов написания наименований производителей и вендоров к единому стандартизованному виду. Обрабатывает разнообразные формы представления имени производителя в данных Discovery, обеспечивая единообразие вендорской классификации во всём IT-ландшафте.","Обрабатывает вариативные написания: «Microsoft Corp.», «Microsoft Corporation», «MSFT», «Майкрософт» приводятся к единому каноническому виду «Microsoft». Использует словарь вендоров с синонимами, аббревиатурами и локализованными наименованиями. Интегрируется с Product Catalog для обеспечения согласованности производитель ? продукт. Поддерживает обработку производителей оборудования (Dell, HP, Cisco, Lenovo) и производителей ПО (Microsoft, Oracle, VMware, Adobe). Корректная стандартизация вендоров критична для построения отчётности по поставщикам и управления vendor-рисками.","Обеспечивает корректность управленческой отчётности по поставщикам и продуктовым портфелям. Позволяет Procurement выявлять консолидационные возможности при закупке, а Vendor Management — оценивать концентрацию рисков по ключевым поставщикам. Без стандартизации наименований производителей один и тот же вендор может фигурировать в отчётах под десятком различных имен, что искажает аналитику и затрудняет принятие решений о консолидации закупок."
функция,2,Сопоставление форматов данных из разнородных источников,"Функция преобразования разнородных форматов данных, поступающих из различных инструментов Discovery, Inventory и Cloud Inventory, в единую структуру, пригодную для загрузки в CMDB. Обеспечивает согласованность полей, типов данных и кодировок между записями из различных источников обнаружения.","Обрабатывает данные из потоков e2 (сырые CI от сетевых сканеров), e3 (HW/SW inventory от агентов) и e4 (облачные активы). Выполняет преобразование форматов: кодировок (UTF-8, CP1251, Latin-1), структур данных (JSON, XML, CSV, SNMP-таблицы), типов полей (строки, числа, даты, булевы значения), схем именования атрибутов (Hostname vs host_name vs computerName). Применяет ETL-подход: Extract из источника, Transform нормализацией, Load в единую схему данных CMDB. Поддерживает конфигурируемые mapping-правила для каждого источника.","Устраняет технические барьеры интеграции между различными инструментами обнаружения и центральным CMDB. Организация может использовать несколько специализированных Discovery-инструментов (например, один для дата-центра, другой для облака, третий для мобильных устройств) без потери согласованности данных. Сокращает затраты на интеграционные проекты за счёт централизованной нормализации форматов вместо создания pairwise-адаптеров между каждой парой систем."
функция,1,Мониторинг качества нормализации,"Функция непрерысленного контроля и отчётности по качеству процессов нормализации. Собирает метрики эффективности движка, выявляет аномалии и формирует quality feed для оценки достоверности данных, загружаемых в CMDB.","Собирает ключевые метрики: процент успешно нормализованных записей (цель ? 98%), коэффициент дедупликации (входящие/исходящие CI — типичное значение 1.5–3.0), процент распознанного коммерческого ПО (цель ? 95%), доля неразрешённых конфликтов (< 1%), среднее время обработки записи (? 15 минут). Формирует quality CI feed (поток e29), передаваемый в CMDB и ITSM Core для мониторинга качества данных. При превышении пороговых значений генерирует оповещения для команды Data Governance с детализацией проблемных записей и рекомендуемыми действиями.","Превращает качество данных из абстрактной характеристики в измеримый показатель с владельцем, целевым значением и механизмом эскалации. Позволяет руководству объективно оценивать зрелость процессов управления данными и обосновывать инвестиции в их улучшение. В организациях с высокими требованиями к compliance мониторинг качества нормализации является обязательным элементом доказательной базы при аудитах."
