тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Управление жизненным циклом идентификаций (Identity Lifecycle Management),"Централизованное управление полным жизненным циклом цифровых идентификаций сотрудников: от создания учётной записи при приёме на работу (joiner) через изменение прав при переводе между подразделениями (mover) до полного отзыва всех доступов при увольнении (leaver). Обеспечивает непрерывность процесса идентити-менеджмента и исключает «висячие» учётные записи, которые представляют собой критический вектор атаки. Является фундаментом всей IAM-системы, поскольку неконтролируемый жизненный цикл приводит к накоплению «мертвых» аккаунтов и несанкционированному доступу.","Интеграция с HRM/HRIS через протоколы SCIM, REST API или файловый обмен для получения событий JML (Joiner-Mover-Leaver). Автоматическое создание учётных записей в целевых системах (Active Directory, LDAP, SaaS-приложениях) на основе шаблонов ролей, привязанных к оргструктуре и должности. Workflow-движок маршрутизирует заявки на согласование прав доступа с руководителями и владельцами ресурсов. При событии leaver инициируется автоматический отзыв всех прав в рамках SLA (целевое время — не более 4 часов). Поддерживает bulk-операции для массовых переводов и реорганизаций. Хранит историю изменений каждой идентификации с версионированием атрибутов.","Снижает операционные затраты на ручное управление учётными записями на 60–80% за счёт автоматизации JML-процессов. Устраняет риски безопасности, связанные с «забытыми» учётными записями уволенных сотрудников — основной источник инсайдерских угроз. Обеспечивает compliance с регуляторными требованиями (SOX, GDPR, PCI DSS), которые предписывают своевременный отзыв доступов. Ускоряет адаптацию новых сотрудников: время от приёма до получения полного набора доступов сокращается с дней до часов. Снижает нагрузку на Service Desk за счёт self-service запросов на доступ и автоматического согласования."
категория,3,Управление доступом и авторизацией (Access Management & Authorization),"Управление назначением, модификацией и отзывом прав доступа пользователей к корпоративным системам и данным на основе ролевой (RBAC) и атрибутной (ABAC) моделей. Обеспечивает централизованный контроль над тем, кто и к каким ресурсам имеет доступ, с учётом оргструктуры, функциональных обязанностей и уровня критичности данных. Является ключевым элементом для реализации принципа наименьших привилегий (Least Privilege) и предотвращения несанкционированного доступа к конфиденциальной информации.","Поддержка моделей RBAC (Role-Based Access Control) и ABAC (Attribute-Based Access Control) с иерархией ролей, наследованием прав и динамическими правилами на основе атрибутов пользователя, ресурса и контекста. Механизм управления запросами на доступ (access requests) с workflow-согласованием: пользователь подает заявку, владелец роли/ресурса утверждает, IAM-система автоматически применяет изменения. Интеграция с Active Directory / LDAP для синхронизации групп безопасности и организационных юнитов. Поддержка SSO (Single Sign-On) через SAML 2.0, OAuth 2.0 / OIDC для централизованной аутентификации. Хранение политик доступа в центральном репозитории с возможностью аудита изменений.","Повышает операционную эффективность за счёт централизованного управления правами: сотрудники получают доступ к нужным ресурсам вовремя, без необходимости обращения в Service Desk. Снижает риски информационной безопасности через реализацию принципа наименьших привилегий и предотвращение избыточных полномочий. Обеспечивает доказательный контроль разделения обязанностей (SoD — Segregation of Duties), критичный для финансовых и производственных процессов. Ускоряет прохождение аудитов: полный реестр прав доступа формируется за минуты вместо недель ручного сбора."
категория,3,Управление привилегированным доступом (Privileged Access Management — PAM),"Специализированный набор инструментов для защиты учётных записей с повышенными правами (администраторов, root, service accounts, системных учётных записей). PAM является критически важным компонентом IAM, поскольку привилегированные аккаунты представляют наибольший риск для организации: их компрометация может привести к катастрофическим последствиям. Обеспечивает изоляцию, мониторинг и контроль всех операций с привилегированными доступами.","Защищённое хранилище учётных данных (Password Vault) с шифрованием AES-256 и многофакторной аутентификацией для доступа к Vault. Автоматическая ротация паролей для привилегированных учётных записей с настраиваемой периодичностью и поддержкой сложных политик паролей. Сессионный контроль (session recording): запись всех действий администратора в рамках привилегированной сессии с возможностью последующего просмотра и поиска. Механизм Just-In-Time (JIT) доступа: временное предоставление повышенных прав по запросу с автоматическим отзывом по истечении срока или завершении сессии. Брокеринг подключений (connection brokering): пользователи не знают реальные пароли привилегированных аккаунтов, аутентификация прозрачная через PAM. Интеграция с IAM для получения данных о привилегированных идентификациях (e36) и с SIEM для передачи событий привилегированных сессий.","Снижает риск компрометации привилегированных учётных записей — основной вектор атаки в 80% инцидентов информационной безопасности. Обеспечивает доказательную подотчётность (accountability): каждое действие администратора записывается и может быть проверено при расследовании инцидентов. Устраняет «теневые» административные учётные записи, которые не проходят регулярную сертификацию и ротацию паролей. Сокращает время расследований инцидентов: аудиторский след привилегированных сессий позволяет быстро определить, кто и когда получил доступ к критичным системам."
категория,3,Идентити-гovernance и соответствие требованиям (Identity Governance & Compliance),"Набор процессов и инструментов для обеспечения соответствия политикам управления идентификациями и правами доступа требованиям регуляторов, внутренних стандартов и отраслевых фреймворков. Включает сертификацию доступов, контроль разделения обязанностей (SoD), политические движки и формирование compliance-отчётности. Является обязательным компонентом для организаций, подпадающих под регуляторный надзор.","Механизм сертификации доступов (access certification campaigns): периодическая рассылка запросов владельцам ролей и руководителям для подтверждения актуальности назначенных прав. Политический движок (policy engine) для определения и автоматической проверки правил SoD, политик паролей, сроков действия доступов и ограничений по оргструктуре. Аналитический модуль для выявления аномалий: избыточные права, неиспользуемые учётные записи, нарушения SoD, аккумуляция критичных ролей. Формирование compliance-отчётов в форматах, требуемых аудиторами и регуляторами (SOX, GDPR, ISO 27001, PCI DSS, NIST). Хранение полного аудиторского следа всех операций с идентификациями и правами доступа с неизменяемыми логами.","Обеспечивает прохождение аудитов без значительных затрат: compliance-отчёты формируются автоматически, сокращая время подготовки к аудиту с недель до часов. Снижает риски финансовых санкций и репутационных потерь за нарушение требований регуляторов. Повышает прозрачность управления доступами: руководители видят полную картину прав своих подчинённых и могут оперативно принимать решения об их корректировке. Устраняет «привилегированный доступ по наследству»: регулярная сертификация гарантирует, что права соответствуют текущим функциональным обязанностям сотрудников."
категория,2,Интеграции и федерация идентификаций (Identity Integration & Federation),"Технологический слой, обеспечивающий связность IAM-системы с внешними и внутренними системами: каталогами идентификаций (Active Directory, LDAP), облачными провайдерами идентификаций (IdP), корпоративными приложениями и downstream-системами безопасности (SIEM, PAM). Федерация идентификаций позволяет реализовать единый вход (SSO) и централизованное управление доступами в гетерогенной мультиоблачной среде.","Интеграция с каталогами идентификаций через протоколы LDAP/LDAPS, Kerberos, NTLM для синхронизации учётных записей и групп безопасности. Федерация через SAML 2.0, OAuth 2.0 / OpenID Connect (OIDC) для SSO в веб-приложениях и облачных сервисах. SCIM (System for Cross-domain Identity Management) протокол для автоматической синхронизации идентификаций с облачными приложениями (SaaS). REST API для интеграции с корпоративными системами (HRM, ITSM, CMDB, SIEM). Агенты и коннекторы для подключения к legacy-системам, не поддерживающим стандартные протоколы. Поддержка мульти-доменных и мульти-лесных конфигураций Active Directory.",Снижает сложность управления доступами в гетерогенной среде: единая точка контроля для on-prem и облачных приложений. Повышает удобство пользователей: единый вход (SSO) устраняет необходимость запоминания множества паролей и снижает количество обращений в Service Desk по сбросу паролей на 40–60%. Обеспечивает гибкость при слияниях и поглощениях компаний: федерация позволяет быстро интегрировать IAM-ландшафт приобретённой организации. Ускоряет внедрение новых приложений: стандартизированные коннекторы сокращают время интеграции с IAM с недель до дней.
категория,2,Мониторинг и аудит событий доступа (Access Monitoring & Audit),"Непрерывный сбор, анализ и архивирование событий, связанных с аутентификацией, авторизацией и управлением идентификациями, для обнаружения аномалий, расследования инцидентов и формирования аудиторской доказательной базы. Включает передачу событий доступа в SIEM-системы для корреляции с другими событиями безопасности и формирование неизменяемых логов для аудиторских проверок.","Сбор событий доступа (аутентификация, авторизация, смена пароля, блокировка, изменение прав) в форматах syslog, CEF (Common Event Format), LEEF (Log Event Extended Format) или через REST API. Передача событий в SIEM (e46) для корреляции с сетевыми событиями, endpoint-телеметрией и alerts систем безопасности. Хранение аудиторского следа всех операций с идентификациями: создание, изменение, удаление учётных записей, модификация прав, сертификация доступов. Аналитика для выявления аномалий: неудачные попытки входа, доступ в нерабочее время, одновременный вход с разных географических точек, необычные паттерны доступа. Ретенционные политики хранения логов в соответствии с требованиями регуляторов (обычно 1–7 лет).","Сокращает среднее время обнаружения инцидентов безопасности (MTTD) за счёт оперативной корреляции событий доступа с другими security-событиями. Обеспечивает доказательную базу для расследований инцидентов: аудиторский след позволяет восстановить полную картину действий злоумышленника или нарушителя. Упрощает прохождение аудитов: все события доступа архивируются и доступны для проверки в стандартизированных форматах. Снижает риски инсайдерских угроз: аномалии в поведении пользователей выявляются на ранней стадии, до нанесения ущерба."
функция,3,Автоматизация JML-процессов (Joiner / Mover / Leaver),"Автоматическая обработка событий жизненного цикла сотрудников: создание учётных записей при приёме на работу (Joiner), изменение прав при переводе между подразделениями (Mover) и полный отзыв всех доступов при увольнении (Leaver). Интеграция с HRM/HRIS обеспечивает получение событий JML в режиме, близком к реальному времени, и их автоматическую обработку без участия администратора.","Интеграция с HRM через SCIM, REST API или файловый обмен (CSV, XML) для получения событий JML. Workflow-движок автоматически маршрутизирует события: при joiner — создаёт учётные записи по шаблонам ролей, привязанным к должности и подразделению; при mover — пересчитывает права доступа с учётом новой роли и отзывает неактуальные; при leaver — блокирует учётные записи и инициирует отзыв всех прав в рамках SLA (? 4 часов). Поддержка bulk-операций для массовых реорганизаций. Логирование всех операций с возможностью отката при ошибочной обработке. Целевой показатель — 100% автоматическая обработка JML-событий.","Устраняет риски безопасности, связанные с задержкой отзыва доступов при увольнении: каждый час несанкционированного доступа уволенного сотрудника увеличивает вероятность инцидента. Сокращает время вывода нового сотрудника в производство с дней до часов, повышая его продуктивность. Снижает нагрузку на IAM-администраторов и Service Desk на 60–80% за счёт полной автоматизации рутинных операций. Обеспечивает compliance с требованиями регуляторов к своевременному управлению доступами."
функция,3,Управление учётными записями (Account Management),"Централизованное управление учётными записями пользователей во всех подключенных системах: создание, активация, блокировка, удаление и восстановление аккаунтов. Обеспечивает единый репозиторий всех цифровых идентификаций с полным набором атрибутов и историей изменений. Поддерживает как интерактивные учётные записи сотрудников, так и неинтерактивные сервисные аккаунты (service accounts).","Центральный репозиторий учётных записей с атрибутной моделью: ФИО, должность, подразделение, контактные данные, тип учётной записи, статус (активна/заблокирована/удалена), дата создания и последнего изменения. Синхронизация с Active Directory / LDAP через нативные коннекторы с поддержкой bidirectional sync. Управление паролями: политики сложности, сроки действия, история паролей, self-service сброс через MFA. Разделение учётных записей по типам: персональные (сотрудники), привилегированные (администраторы), сервисные (приложения), гостевые (внешние контрагенты). Механизм деактивации и грейс-периода перед удалением. API для интеграции с ITSM (автоматическое назначение исполнителей по оргструктуре) и CMDB (связь CI с учётными записями).",Обеспечивает полную прозрачность всех учётных записей в организации — ни одна учётная запись не остаётся вне контроля IAM. Устраняет дублирование аккаунтов: один сотрудник — один профиль со всеми назначенными правами. Снижает затраты на управление паролями: self-service сброс пароля сокращает обращения в Service Desk на 40–60%. Обеспечивает быстрое реагирование на инциденты: блокировка компрометированной учётной записи выполняется централизованно за секунды.
функция,2,Синхронизация с организационной структурой (Org Structure Sync),"Непрерывная синхронизация данных об организационной структуре предприятия из HRM/HRIS в IAM-систему для обеспечения актуальности маршрутов согласования, привязки ролей к подразделениям и корректного определения функциональных руководителей. Является фундаментом для workflow-процессов и политик доступа, основанных на оргструктуре.","Регулярная синхронизация оргструктуры из HRM через SCIM, REST API или файловый обмен: подразделения, должности, штатное расписание, функциональные руководители. Иерархическая модель организационной структуры с поддержкой матричных отчётностей и временных проектных команд. Автоматическое обновление маршрутов согласования при изменении руководителя подразделения. Маппинг ролей доступа к организационным юнитам: права автоматически назначаются на основе должности и подразделения сотрудника. Разрешение конфликтов при расхождениях данных между HRM и IAM (например, различные наименования подразделений).","Гарантирует, что заявки на доступ маршрутизируются к актуальным руководителям, а не к уволенным или переведённым менеджерам. Обеспечивает корректность автоматического назначения прав: сотрудник получает доступы в соответствии с текущей должностью и подразделением. Ускоряет адаптацию при реорганизациях: изменение оргструктуры автоматически отражается на маршрутах согласования и политиках доступа. Снижает ошибки ручного управления: автоматическая синхронизация исключает человеческий фактор при обновлении данных."
функция,3,Управление ролями и правами доступа (RBAC / ABAC),"Определение, назначение и контроль прав доступа на основе ролевой (RBAC) и атрибутной (ABAC) моделей. RBAC связывает права доступа с ролями, которые назначаются пользователям на основе их функциональных обязанностей. ABAC добавляет гранулярность, позволяя принимать решения об авторизации на основе атрибутов пользователя, ресурса, действия и контекста (время, местоположение, устройство).","Модель RBAC с иерархией ролей: роли могут наследовать права от родительских ролей, что упрощает управление в крупных организациях. Матрица ролей — приложений с чётким определением прав доступа для каждой роли в каждой системе. ABAC-движок для определения политик на основе атрибутов: пользователя (должность, отдел, геолокация), ресурса (классификация данных, критичность), действия (чтение, запись, удаление) и контекста (время суток, тип устройства, уровень риска). Механизм имперсонации (impersonation) для делегирования прав. Анализ эффективных прав (effective permissions): определение итогового набора прав пользователя с учётом всех ролей, групп и исключений.","Снижает риски избыточных прав: чёткая модель ролей исключает ситуации, когда сотрудник имеет доступ к ресурсам, не связанным с его обязанностями. Упрощает управление правами в масштабе: изменение роли автоматически обновляет доступы во всех связанных системах. Повышает гибкость политик безопасности: ABAC позволяет реализовать сложные сценарии (например, запрет доступа к критичным данным вне офиса). Обеспечивает доказательный контроль: полный реестр ролей и назначений доступен для аудита в любой момент."
